Key,English,French
PROPMOTION_TXT_000000,,
PROPMOTION_TXT_000001,Combat Stance,Position de combat
PROPMOTION_TXT_000002,,
PROPMOTION_TXT_000003,Sit Down,S'asseoir
PROPMOTION_TXT_000004,,
PROPMOTION_TXT_000005,Pick Up Nearby Item,Ramasser un objet
PROPMOTION_TXT_000006,,
PROPMOTION_TXT_000007,Shake Hands,Serrer la main
PROPMOTION_TXT_000008,,
PROPMOTION_TXT_000009,Tilt Head,Se montrer dubitatif
PROPMOTION_TXT_000010,,
PROPMOTION_TXT_000011,Nod Head,Approuver
PROPMOTION_TXT_000012,,
PROPMOTION_TXT_000013,Shake Head,Montrer son désaccord
PROPMOTION_TXT_000014,,
PROPMOTION_TXT_000015,Run in Place,Marcher au pas
PROPMOTION_TXT_000016,,
PROPMOTION_TXT_000017,Parade Rest,Être en attente
PROPMOTION_TXT_000018,,
PROPMOTION_TXT_000019,Attention,Être à l'écoute
PROPMOTION_TXT_000020,Scissors,Faire le signe du ciseau
PROPMOTION_TXT_000021,Scissors,Faire le signe du ciseau
PROPMOTION_TXT_000022,Rock,Faire le signe de la pierre
PROPMOTION_TXT_000023,Rock,Faire le signe de la pierre
PROPMOTION_TXT_000024,Paper,Faire le signe du papier
PROPMOTION_TXT_000025,Paper,Faire le signe du papier
PROPMOTION_TXT_000026,North,Vers le Nord
PROPMOTION_TXT_000027,Point North,Pointer vers le nord
PROPMOTION_TXT_000028,South,Vers le Sud
PROPMOTION_TXT_000029,Point South,Pointer vers le sud
PROPMOTION_TXT_000030,East,Vers l'Est
PROPMOTION_TXT_000031,Point East,Pointer vers l'est
PROPMOTION_TXT_000032,West,Vers l'Ouest
PROPMOTION_TXT_000033,Point West,Pointer vers l'ouest
PROPMOTION_TXT_000034,,
PROPMOTION_TXT_000035,Kneel,Se mettre à genoux
PROPMOTION_TXT_000036,,
PROPMOTION_TXT_000037,Push-Ups,Faire des pompes
PROPMOTION_TXT_000038,,
PROPMOTION_TXT_000039,Shake Butt,Narguer quelqu'un
PROPMOTION_TXT_000040,Pow!,Pow!
PROPMOTION_TXT_000041,Punch,Donner des coups de poing
PROPMOTION_TXT_000042,,
PROPMOTION_TXT_000043,Put Head to the Ground,Essayer de faire le poirier
PROPMOTION_TXT_000044,,
PROPMOTION_TXT_000045,Raise Weapon,Saluer
PROPMOTION_TXT_000046,,
PROPMOTION_TXT_000047,Collect Supplement,Utiliser un collecteur
PROPMOTION_TXT_000048,,
PROPMOTION_TXT_000049,Nearest Town Teleport (5 min. casting time),Se téléporter à la ville la plus proche (durée de l'incantation : 5mn)
PROPMOTION_TXT_000050,,
PROPMOTION_TXT_000051,Cheer Up Another Player,Encourager un autre joueur
PROPMOTION_TXT_000052,,
