Key,English,German
PROPMOTION_TXT_000000,,
PROPMOTION_TXT_000001,Combat Stance,Kampfstellung
PROPMOTION_TXT_000002,,
PROPMOTION_TXT_000003,Sit Down,Hinsetzen
PROPMOTION_TXT_000004,,
PROPMOTION_TXT_000005,Pick Up Nearby Item,Gegenstand aufheben
PROPMOTION_TXT_000006,,
PROPMOTION_TXT_000007,Shake Hands,Hand schütteln
PROPMOTION_TXT_000008,,
PROPMOTION_TXT_000009,Tilt Head,Fragend ansehen
PROPMOTION_TXT_000010,,
PROPMOTION_TXT_000011,Nod Head,Nicken
PROPMOTION_TXT_000012,,
PROPMOTION_TXT_000013,Shake Head,Kopf schütteln
PROPMOTION_TXT_000014,,
PROPMOTION_TXT_000015,Run in Place,Auf der Stelle laufen
PROPMOTION_TXT_000016,,
PROPMOTION_TXT_000017,Parade Rest,Hände hinter dem Rücken verschränken
PROPMOTION_TXT_000018,,
PROPMOTION_TXT_000019,Attention,Stillgestanden
PROPMOTION_TXT_000020,Scissors,Schere
PROPMOTION_TXT_000021,Scissors,Schere
PROPMOTION_TXT_000022,Rock,Stein
PROPMOTION_TXT_000023,Rock,Stein
PROPMOTION_TXT_000024,Paper,Papier
PROPMOTION_TXT_000025,Paper,Papier
PROPMOTION_TXT_000026,North,Norden
PROPMOTION_TXT_000027,Point North,Figur zeigt mit der Hand nach Norden
PROPMOTION_TXT_000028,South,Süden
PROPMOTION_TXT_000029,Point South,Figur zeigt mit der Hand nach Süden
PROPMOTION_TXT_000030,East,Osten
PROPMOTION_TXT_000031,Point East,Figur zeigt mit der Hand nach Osten
PROPMOTION_TXT_000032,West,Westen
PROPMOTION_TXT_000033,Point West,Figur zeigt mit der Hand nach Westen
PROPMOTION_TXT_000034,,
PROPMOTION_TXT_000035,Kneel,Niederknien
PROPMOTION_TXT_000036,,
PROPMOTION_TXT_000037,Push-Ups,Liegestütze machen
PROPMOTION_TXT_000038,,
PROPMOTION_TXT_000039,Shake Butt,Hintern schütteln
PROPMOTION_TXT_000040,Pow!,Pow!
PROPMOTION_TXT_000041,Punch,Faustschläge machen
PROPMOTION_TXT_000042,,
PROPMOTION_TXT_000043,Put Head to the Ground,Kopf in den Sand stecken
PROPMOTION_TXT_000044,,
PROPMOTION_TXT_000045,Raise Weapon,Salutieren
PROPMOTION_TXT_000046,,
PROPMOTION_TXT_000047,Collect Supplement,Collector benutzen
PROPMOTION_TXT_000048,,
PROPMOTION_TXT_000049,Nearest Town Teleport (5 min. casting time),In die nächste Stadt teleportieren (5 Min Beschwörungszeit. Funktioniert auch auf dem Board)
PROPMOTION_TXT_000050,,
PROPMOTION_TXT_000051,Cheer Up Another Player,Einen anderen Spieler anfeuern.
PROPMOTION_TXT_000052,,
PROPMOTION_TXT_000053,Attack the Selected Target,Ausgewähltes Ziel angreifen.
PROPMOTION_TXT_000054,,
PROPMOTION_TXT_000055,You propose to the selected player.,Du machst dem ausgewählten Charakter einen Antrag.
PROPMOTION_TXT_000057,Toggle Weapons,Waffen verstecken
PROPMOTION_TXT_000058,Activate Your Summoned Pet's Grace,Setze den Grace Skill deines Pets ein.
PROPMOTION_TXT_000059,Follow the Selected Target,Folge dem ausgewählten Ziel
PROPMOTION_TXT_000060,Switch Your Current Stat Page,Wechsel deine aktuelle Stat Seite.
PROPMOTION_TXT_000061,Play Dead,Totstellen
PROPMOTION_TXT_000062,Propose,Heiratsantrag
PROPMOTION_TXT_000063,High Five (Couple),High Five (Couple)
PROPMOTION_TXT_000064,Hug (Couple),Umarmung (Couple)
PROPMOTION_TXT_000065,Half Heart (Couple),Halbes Herz (Couple)
PROPMOTION_TXT_000066,Frustrated,Frustriert
PROPMOTION_TXT_000067,Cross Arms (Couple),Arme verkreuzt (Couple)
PROPMOTION_TXT_000068,Eye Contact (Couple),Augenkontakt (Couple)
PROPMOTION_TXT_000069,Jump (Couple),Springen (Couple)
PROPMOTION_TXT_000070,Dance 1,Tanz 1
PROPMOTION_TXT_000071,Dance 2,Tanz 2
PROPMOTION_TXT_000072,Dance 3,Tanz 3
PROPMOTION_TXT_000073,Dance 4,Tanz 4
PROPMOTION_TXT_000074,Dance 5,Tanz 5
PROPMOTION_TXT_000075,Dance 6,Tanz 6
PROPMOTION_TXT_000076,Dance 7,Tanz 7
PROPMOTION_TXT_000077,Dance 8,Tanz 8
PROPMOTION_TXT_000078,Dance 9,Tanz 9
PROPMOTION_TXT_000079,Meditation,Meditieren
PROPMOTION_TXT_000080,Flip Jump 1,Salto 1
