Key,English,Traditional_Chinese
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,擊退獨眼蝙蝠，拿來閃耀石。
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,傳達給 [魔法師訓練助教] 洛帕斯。
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,傳達給 [雜技師訓練助教] 塔利爾。
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,擊退在聖音特南方的伊普里司神殿附近的蓮。
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,擊退西西普，拿來英雄的寶石。
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,擊退貝內爾守衛，拿來心臟。
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,請擊退陸波，拿來哈伊南的信。
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,請擊退普朗斯特，拿來英雄砂器。
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,把海蓮的耳環拿去給阿塔。
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,請擊退撒卡皮延，獲得黑暗眼淚。
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,請擊退奇特羅，尋找黃金頭盔的線索。
QUEST_DESTINATION_0018,Meet Kurumin.,和庫勒民見面。
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,擊退惠爾倫，拿來紓壓石。
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,擊退虎亞蓮，拿來圖章文書。
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),擊退蒸汽機，拿來技術的海報 (極盡)。
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,和塞克號見面，給他圖章文書。
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,擊退蓮，拿來艾伊恩尼的圖章。
QUEST_DESTINATION_0024,Meet Tesar and give him the Seal of Aenn.,將艾伊恩尼的圖章交給泰薩勒。
QUEST_DESTINATION_0025,Defeat the hunter X and get the Teardrop of Aenn.,擊退獵人 X，拿來艾伊恩尼之淚。
QUEST_DESTINATION_0026,Defeat the kinsay and get the Magic Underwear of Power.,擊退肯薩伊，拿來強化的魔法內衣。
QUEST_DESTINATION_0027,"Meet Rufan, the boss of the blue flag and give him the Magic Underwear of Power.",把強化的魔法內衣交給藍旗頭目劉傍。
