Key,English,Traditional_Chinese
PROPITEMETC_INC_000001,Leaf Set,黎夫套裝
PROPITEMETC_INC_000002,Parmil Set,柏滅套裝
PROPITEMETC_INC_000003,Flower Set,幅羅套裝
PROPITEMETC_INC_000004,Petal Set,裴托套裝
PROPITEMETC_INC_000005,Stinger Set,斯丁套裝
PROPITEMETC_INC_000006,Slepint Set,喜來套裝
PROPITEMETC_INC_000007,Curus Set,盔羅斯套裝
PROPITEMETC_INC_000008,Sardine Set,沙丁套裝
PROPITEMETC_INC_000009,Niz Set,尼枝套裝
PROPITEMETC_INC_000010,Seer Set,矽爾套裝
PROPITEMETC_INC_000011,Cylos Set,希洛斯套裝
PROPITEMETC_INC_000012,Comet Set,卡梅特套裝
PROPITEMETC_INC_000013,Miracle Set,濔剌茲套裝
PROPITEMETC_INC_000014,Layered Set,雷亞德套裝
PROPITEMETC_INC_000015,Sayram Set,塞利郎套裝
PROPITEMETC_INC_000016,Talin Set,托麟套裝
PROPITEMETC_INC_000017,Merr Set,美樂套裝
PROPITEMETC_INC_000018,Sorain Set,肅雷茵套裝
PROPITEMETC_INC_000019,Stitch Set,祏焍馳套裝
PROPITEMETC_INC_000020,Panggril Set,怦格黎套裝
PROPITEMETC_INC_000021,Hyper Set,夏依普套裝
PROPITEMETC_INC_000022,Cruiser Set,喀爐斯套裝
PROPITEMETC_INC_000023,Flury Set,布洛梨套裝
PROPITEMETC_INC_000024,Wedge Set,維基套裝
PROPITEMETC_INC_000025,Misty Set,謎西綈套裝
PROPITEMETC_INC_000026,Teba Set,泰捌套裝
PROPITEMETC_INC_000027,Recorn Set,黎坤套裝
PROPITEMETC_INC_000028,Rescorn Set,黎斯坤套裝
PROPITEMETC_INC_000029,Rebron Set,賴玻崙套裝
PROPITEMETC_INC_000030,Restron Set,賴斯特崙套裝
PROPITEMETC_INC_000031,Shurand Set,秀蘭特套裝
PROPITEMETC_INC_000032,Shuran Set,秀蘭套裝
PROPITEMETC_INC_000033,Ahes Set,雅伊斯套裝
PROPITEMETC_INC_000034,Anoos Set,雅雷絲套裝
PROPITEMETC_INC_000035,Warpon Set,微紛套裝
PROPITEMETC_INC_000036,Warspon Set,微斯紛套裝
PROPITEMETC_INC_000037,Wees Set,維慈套裝
PROPITEMETC_INC_000038,Weeshian Set,維慈安套裝
PROPITEMETC_INC_000039,Ectro Set,艾斯特龍套裝
PROPITEMETC_INC_000040,Extro Set,艾斯特龍套裝
PROPITEMETC_INC_000041,Einy Set,艾尼亞套裝
PROPITEMETC_INC_000042,Akan Set,菈坎套裝
PROPITEMETC_INC_000043,Dayst Set,德里斯特套裝
PROPITEMETC_INC_000044,Dest Set,德斯特套裝
PROPITEMETC_INC_000045,Hanes Set,核內斯套裝
PROPITEMETC_INC_000046,Haganes Set,核凱內斯套裝
PROPITEMETC_INC_000047,Katria Set,凱特利亞套裝
PROPITEMETC_INC_000048,Kanarin Set,凱那琳套裝
PROPITEMETC_INC_000049,Restra Set,麗斯特羅套裝
PROPITEMETC_INC_000050,Rasra Set,蘿絲蘿套裝
PROPITEMETC_INC_000051,Neis Set,耐利絲套裝
PROPITEMETC_INC_000052,Neition Set,耐利宣套裝
PROPITEMETC_INC_000053,Oska Set,吾思凱套裝
PROPITEMETC_INC_000054,Okas Set,吾凱斯套裝
PROPITEMETC_INC_000055,Asren Set,雅斯蘭套裝
PROPITEMETC_INC_000056,Aren Set,雅絡套裝
PROPITEMETC_INC_000057,Tyrent Set,泰利蘭套裝
PROPITEMETC_INC_000058,Tight Set,泰利特套裝
PROPITEMETC_INC_000059,Pact Set,裴特套裝
PROPITEMETC_INC_000060,Paxt Set,裴斯特套裝
PROPITEMETC_INC_000061,Shupon Set,士紛套裝
PROPITEMETC_INC_000062,Shrian Set,席利安套裝
PROPITEMETC_INC_000063,Navil Set,納利套裝
PROPITEMETC_INC_000064,Neclus Set,那克勞斯套裝
PROPITEMETC_INC_000065,Alext Set,艾勒特套裝
PROPITEMETC_INC_000066,Ales Set,艾勒斯套裝
PROPITEMETC_INC_000067,Akent Set,雅凱特套裝
PROPITEMETC_INC_000068,Aken Set,雅凱套裝
PROPITEMETC_INC_000069,Rody Set,蘿提套裝
PROPITEMETC_INC_000070,Rodey Set,蘿特怡套裝
PROPITEMETC_INC_000071,Ropang Set,蘿乓套裝
PROPITEMETC_INC_000072,Roshel Set,蘿斯雷套裝
PROPITEMETC_INC_000073,Geniun Set,基尼安套裝
PROPITEMETC_INC_000074,Gynas Set,吉納斯套裝
PROPITEMETC_INC_000075,Mekatro Set,梅克特蘿套裝
PROPITEMETC_INC_000076,Mekaron Set,梅克崙套裝
PROPITEMETC_INC_000077,Myuran Set,沐蘭套裝
PROPITEMETC_INC_000078,Myurian Set,沐梨安套裝
PROPITEMETC_INC_000079,Elder Set,艾德套裝
