Key,English,Russian
TEXTCLIENT_CONNECTING,Connecting. Please wait.,Соединение…
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,Не удалось подключиться к игре. Проверьте соединение. Вы также можете обратиться к администрации для решения проблемы.
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,"Игра обновлена. Пожалуйста, закройте страницу и откройте её снова."
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,Неправильный идентификатор сервера.
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.","Неизвестная ошибка, пожалуйста попробуйте ещё раз."
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,Ваш аккаунт уже подключен.
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,Вы хотите отключить другое устройство?
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,The device is being disconnected. Please login again in 10 seconds.
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.","Данный канал полностью заполнен, пожалуйста подождите или попробуйте выбрать другой."
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,Это имя занято.
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,Появился босс!
TEXTCLIENT_APP_MAP,World Map,Карта мира
TEXTCLIENT_APP_OPTION,Options,Настройки
TEXTCLIENT_APP_LOGOUT,Log Out,Выход из мира
TEXTCLIENT_APP_QUIT,Quit,Выход из игры
TEXTCLIENT_APP_SUPPORT,Support,Поддержка
TEXTCLIENT_APP_PRIVACY,Privacy,Privacy
TEXTCLIENT_APP_NAVIGATOR,Navigator,Навигатор
TEXTCLIENT_APP_DEBUG,Debug,Устранение ошибок
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,Вы выйдете из игры через %d сек.
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,Смена персонажа через %d сек.
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,Linking account in %d sec(s).
TEXTCLIENT_LOGOUT,Do you want to disconnect?,Отсоединиться?
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,#cffff0000You will lose your guest character.#nc Please link an account.
TEXTCLIENT_EXIT,Do you want to exit the program?,Выйти из игры?
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,Потеряна связь с сервером.
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,На данном сервере запрещено создание персонажей.
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,Чары Тени не позволяют разглядеть местность.
TEXTCLIENT_ITEM_DESC,Description:,Описание:
TEXTCLIENT_INVALIDCHARACTERS,This name contains unauthorized characters.,Данное имя содержит запрещенные символы.
TEXTCLIENT_INVALIDNAME,This name contains unauthorized words.,Данное имя содержит запрещенные слова.
