Key,English,French
DUASYLUM_WLD_000000,Ankou's Asylum,Asile d'Ankou
DUASYLUM_WLD_000001,Ankou's Cell,La cellule d’Ankou
DUCAVERN_WLD_000000,Leren Chasm (Instance Dungeon),Gouffre de Leren (Donjon Instancié)
DUHERNEOS_WLD_000000,Herneos (Dungeon),Herneos (Donjon)
DUDADK_WLD_000000,Dekane Mine (Dungeon),Mine de Dekane (Donjon)
WORLD_DUFLMAS_DUFLMAS_RGN_000000,Mars Mine (Dungeon),Mine de Mas (donjon)
DUGUARDIANE_WLD_000000,Guardiane Sanctuary (Instance Dungeon),Sanctuaire de Gardiane (Donjon Instancié)
DURUINS_WLD_000000,Rhisis Catacombs (Instance Dungeon),Catacombes de Rhisis (Donjon Instancié)
DURUSTIA_WLD_000000,The Wilds,Désiréa (Donjon Instancié)
DUSATEMPLE_WLD_000000,Iblis Temple (Dungeon),Temple d'Ivillis (Donjon)
DUSTORM_WLD_000000,Storm Peak (Instance Dungeon),Pic de Tempête (Donjon Instancié)
DUUNDERWATER_WLD_000000,Envy Depths (Instance Dungeon),Abîme de l'Envie (Donjon Instancié)
DUUPRESIA_WLD_000000,Euphresia,Euphresia
DUVOLKANE_WLD_000000,Volkane,Volcane
DUVOLKANE_WLD_000001,Volkane (Dungeon),Volcane (Donjon)
WDARENA_WLD_000000,Arena,Arène
WDARENA_WLD_000001,You can PvP in the Arena.,Le combat entre joueurs (PvP) est autorisé dans l'arène.
WDARENA_WLD_000002,Training Center,Centre d'entraînement
WDARENA_WLD_000003,Test your capabilities against dummies!,Testez vos capacités contre des mannequins d'entraînement !
WDARENA_WLD_000004,,
WDARENA_WLD_000005,,
WDARENA_WLD_000006,The Bronze Vagrant,Le vagabond de Bronze
WDARENA_WLD_000007,The Bronze Elementor,L'élémentaliste de bronze
WDARENA_WLD_000008,The Bronze Knight,Le chevalier de bronze
WDARENA_WLD_000009,The Bronze Psykeeper,Le sorcier de bronze
WDARENA_WLD_000010,The Bronze Billposter,Le moine de bronze
WDARENA_WLD_000011,The Bronze Blade,L'assassin de bronze
WDARENA_WLD_000012,The Bronze Jester,Le jester de bronze
WDARENA_WLD_000013,The Bronze Ranger,Le ranger de bronze
WDARENA_WLD_000014,The Bronze Ringmaster,Le prêtre de bronze
WDCOLOSSEUM_WLD_000001,The Colosseum,Le Colisée
WDCOLOSSEUM_WLD_000002,Colosseum Stadium,Colisée
WDCOLOSSEUM_WLD_000003,The Cage of Clockworks,La Cage de Clockworks
WDCOLOSSEUM_WLD_000004,Clockworks was sealed here after the Clockworks War.,La cage où Clockworks fut enfermé après la Guerre.
WDEVENT_WLD_000000,Duel Zone,Zone de duel
WORLD_WDGUILDWAR_WDGUILDWAR_RGN_000000,Prove yourself!\nShow them that you are the best!,Affirme toi !\nMontre-leur de quoi tu es capable.
WDGUILDWARBIG_WLD_000000,Prove yourself!\nShow them that you are the best!,Affirme toi !\nMontre-leur de quoi tu es capable.
WORLD_WDGUILDWAR_CAVERN_RGN_000000,Prove yourself!\nShow them that you are the best!,Affirme toi !\nMontre-leur de quoi tu es capable.
WORLD_WDGUILDWAR_CORAL_RGN_000000,Prove yourself!\nShow them that you are the best!,Affirme toi !\nMontre-leur de quoi tu es capable.
WORLD_WDGUILDWAR_GUARDIANE_RGN_000000,Prove yourself!\nShow them that you are the best!,Affirme toi !\nMontre-leur de quoi tu es capable.
WORLD_WDGUILDWAR_KAILLUN_RGN_000000,Prove yourself!\nShow them that you are the best!,Affirme toi !\nMontre-leur de quoi tu es capable.
WORLD_WDGUILDWAR_SNOW_RGN_000000,Prove yourself!\nShow them that you are the best!,Affirme toi !\nMontre-leur de quoi tu es capable.
WORLD_WDGUILDWAR_UNDERWATER_RGN_000000,Prove yourself!\nShow them that you are the best!,Affirme toi !\nMontre-leur de quoi tu es capable.
WORLD_WDGUILDWAR_VOLCANO_RGN_000000,Prove yourself!\nShow them that you are the best!,Faites vos preuves !\nMontrez-leur que vous êtes le meilleur !
WDKEBARAS_WLD_000000,Lodelight,Havre de Vie
WDKEBARAS_WLD_000001,This is a safe place.,Cet endroit semble sûr…
WORLD_WDKEBARAS_WDKEBARAS_RGN_000000,Kebaras,Kebaras
WORLD_WDKEBARAS_WDKEBARAS_RGN_000001,"Welcome to the town of Kebaras!\nLong ago, this place served as a prison for criminals...","Bienvenue dans le village de Kebaras !\nIl y a bien longtemps, cet endroit était une prison pour les criminels..."
WDKEBARAS2_WLD_000000,Lodelight,Lodelight
WDKEBARAS2_WLD_000001,This is a safe place.,This is a safe place.
WORLD_WDKEBARAS2_WDKEBARAS_RGN_000000,Kebaras 2,Kebaras 2
