Key,English,Indonesian
TUTORIAL_INTRO,"Hello there, I am #b#cffa0a0ffInfo Pang#nc#nb!\n\nI am your guide to survive in #bMadrigal#nb and I have a lot of useful information.\n\nAre you ready to #blearn the lessons#nb needed to survive in this world?\n\nYou can also check the information that you've learned by using my menu.","Halo, aku #b#cffa0a0ffInfo Pang#nc#nb!\n\nAku adalah pemandumu untuk bertahan hidup di #bMadrigal#nb dan aku memiliki banyak informasi berguna.\n\nApakah kamu siap untuk #mempelajari pelajaran #nb yang dibutuhkan untuk bertahan hidup di dunia ini?\n\nKamu juga dapat memeriksa informasi yang telah dipelajari dengan menggunakan menuku."
TUTORIAL_MOVE_PLAYER_TEXT,"Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]","Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]"
TUTORIAL_MOVE_PLAYER_TITLE,Moving Method,Moving Method
TUTORIAL_MOVE_PLAYER_CONTENT,"#b#cff0000ff■ Move[[ using mouse|]]#nb#nc\n[[Click left-mouse on|Touch on the screen]] the spot you want to move.[[\n\n#b#cff0000ff■ Move using keyboard#nb#nc\nYou can move your character by pressing keys below.\nForward : W\nBackward : S\nLeftward : A\nRightward : D\n\n#b#cff0000ff■ Walking#nb#nc\nPress X. If you want to run again, then press X again.|]]\n\n#b#cff0000ff■ Jumping#nb#nc\n[[Press SPACE BAR|Long press on the screen]] when you want to jump.","#b#cff0000ff■ Pindahkan[[ menggunakan mouse|]]#nb#nc\n[[Klik kiri-mouse pada|Sentuh pada layar]] tempat yang ingin kamu pindahkan.[[\n\n#b#cff0000ff■ Bergerak menggunakan keyboard#nb#nc\nKamu dapat memindahkan karaktermu dengan menekan tombol di bawah ini.\nMaju : W\nMundur : S\nKe kiri : A\nKanan: D\n\n#b#cff0000ff■ Berjalan#nb#nc\nTekan X. Jika ingin menjalankannya lagi, tekan X lagi.|]]\n\n#b#cff0000ff■ Melompat#nb#nc\n[[Tekan SPACE BAR|Tekan lama pada layar]] saat kamu ingin melompat."
TUTORIAL_MOVE_PLAYER_KEYBOARD_TEXT,"Character movement by Keyboard is as follows.\n\nForward : W\nBackward : S\nTurn Left : A\nTurn Right : D\n\nEasy, huh? Move your character now.\n\n#cffff0000Clear Condition: Move the character(Keyboard)","Karakter movement dengan Keyboard adalah sebagai berikut.\n\nMaju : W\nMundur : S\nBelok Kiri : A\nBelok Kanan : D\n\nMudah, kan? Pindahkan karaktermu sekarang.\n\n#cffff0000Clear Condition: Pindahkan karakter (Keyboard)"
TUTORIAL_WALK_PLAYER_TEXT,"Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]","Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]"
TUTORIAL_JUMP_PLAYER_TEXT,"Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]","Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]"
TUTORIAL_ROTATE_CAMERA_TEXT,Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]],Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]]
TUTORIAL_ROTATE_CAMERA_TITLE,Camera Manage Method,Camera Manage Method
TUTORIAL_ROTATE_CAMERA_CONTENT,"#b#cff0000ff■ Change view[[ with mouse|]]#nb#nc\nYou can view any direction just by [[rotating your mouse while pressing on the right button of the mouse|sliding your finger on the screen]].[[\n\n#b#cff0000ff■ Change view with keyboard#nb#nc\nYou can change view by pressing keys below.\nUp : ↑\nDown : ↓\nLeft : ←\nRight : →|]]\n\n#b#cff0000ff■ For zoom in and out#nb#nc\n[[you can use mouse wheel. Also Page Up, Page Down keys can be used for change view step by step|pinch the screen and spread or bring your fingers together]].","#b#cff0000ff■ Ubah tampilan[[ dengan mouse|]]#nb#nc\nKamu dapat melihat segala arah hanya dengan [[memutar mouse sambil menekan tombol kanan mouse|geser jarimu di layar]].[[\n\n#b#cff0000ff■ Ubah tampilan dengan keyboard#nb#nc\nKamu dapat mengubah tampilan dengan menekan tombol di bawah ini.\nAtas :\nBawah :\nKiri :\nKanan : →|]]\n\n#b#cff0000ff■ Untuk memperbesar dan memperkecil#nb#nc\n[[Kamu dapat menggunakan scroll mouse. Juga tombol Page Up, Page Down dapat digunakan untuk mengubah tampilan|cubit layar lalu rentangkan atau satukan jarimu]]."
