Key,English,German
MMI_0,Dialog,Dialog
MMI_1,Quest,Quest
MMI_2,Trade,Handel
MMI_3,Attack,Angriff
MMI_4,Message,Nachricht
MMI_5,Add to my list,Meiner Liste hinzufügen
MMI_6,Invite to join party,In Party einladen
MMI_7,Invite to join guild,In Gilde einladen
MMI_8,Place of Resurrection,Ort der Wiederbelebung
MMI_9,Bank,Bank
MMI_10,Duel,Duell
MMI_11,Request party duel,Zum Partyduell herausfordern
MMI_12,Follow,Folgen
MMI_13,Beauty Shop,Schönheits-Salon
MMI_14,Repair,Reparatur
MMI_15,Guild Bank,Gildenlager
MMI_16,Guild Rankings,Gildenrangliste
MMI_17,Guild Duel Rankings,Rangliste des Gildenkrieges
MMI_18,Guild Statistics Rankings,Rangliste aller Gildenkriege
MMI_21,Register Bounty,Belohnung aussetzen
MMI_22,Bounty List,Sieh dir die Kopfgeldliste an
MMI_24,View equipment,Ausrüstung ansehen
MMI_25,Mailbox,Briefkasten
MMI_26,Apply,OK
MMI_27,Status,Status
MMI_28,Cancel,Abbrechen
MMI_29,Enter,Eintreten
MMI_30,Ranking,Rangliste
MMI_31,Cheer,Cheer
MMI_32,Remove piercing card,Sockelkarte entfernen
MMI_33,Lineup Setup,Für Guildwar anmelden.
MMI_34,Claim Guild Penya,Erhalte das Preisgeld und die Anmeldegebühr
MMI_35,Reward Information,Die Information des Preisgeldes
MMI_36,Claim MVP Penya Reward,Der Erhalt des Preisgeldes für den MVP
MMI_37,Participation Information,Die Information zur Teilnahme
MMI_38,Basic Rules,Grundregeln
MMI_39,Winning Conditions,Siegbedingung
MMI_40,Application Fee Information,Auftragsinformationen
MMI_41,The refund of application fee,Die Erstattung der Anmeldegebühr
MMI_42,Cosmetic Upgrades,Kosmetische Behandlung
MMI_44,Rock-Paper-Scissors,Schere-Stein-Papier
MMI_49,Pet State,Begleiter Status
MMI_50,Un-summon pet,Pet abbrechen
MMI_51,Create Shining Power Dice,Shining Power Dice erstellen
MMI_53,Create Jewels,Juwelen erstellen
MMI_54,Create Unique Weapon,Einzigartige Waffe erstellen
MMI_59,Remove Element,Element entfernen
MMI_71,Remove Level Reduction,Level Down entfernen
MMI_74,Get Buffed!,Buff Event
MMI_75,Exchange Rare Item Pieces,Seltene Stücke eintauschen
MMI_76,Exchange Card Pieces,Card Piece eintauschen
MMI_79,Remove Premium Item Blessing,Blessing of Goddess entfernen
MMI_80,Enter Arena,Arena betreten
MMI_81,Leave Arena,Arena verlassen
MMI_82,Arena Ranking,Arena Rangliste
MMI_83,Arena Reward,Arena Belohnung
MMI_91,Lord Ranking,Lord Ranking
MMI_134,Upgrading,Upgrade
MMI_136,Piercing,Piercing
MMI_167,Element Upgrading,Element Upgrade
MMI_142,Store Pet,Sammelbegleiter einpacken
MMI_272,Exchange RPS Coupon,Tausche Schere-Stein-Papier Coupon
MMI_309,Card Upgrade,Kartenverbesserung
MMI_310,Weapon Socket Card Reshuffle,Neuordnung der Waffensockelkarte
MMI_311,Couple proposal,Couple proposal
MMI_1000,Drop Filter,Begleiter Sammel-Filter
MMI_1001,Report,Melden
MMI_1002,Inspect,Ansehen
MMI_1003,Unbinding,Charakterbindung aufheben
MMI_1004,Exchange,Tauschen
MMI_1005,Combat Power Ranking,Kampfkraft-Rangliste
MMI_1006,Giant Hunt Ranking ,Giant Hunt Rangliste
MMI_1007,Accessory Upgrade,Schmuckupgrade
MMI_1008,Mute,Stumm
MMI_1009,Unmute,Stummschaltung aufheben
MMI_1010,Freeze,Freeze
MMI_1011,Unfreeze,Unfreeze
MMI_1012,Shadow Mute,Shadow-Mute
MMI_1013,Pet Candy Crafting,Pet Candy herstellen
MMI_1014,Exchange Dice,Dice eintauschen
MMI_1015,Pet Sacrificing,Pet-Recycling
MMI_1016,Red Chip Shop,Red Chips eintauschen
MMI_1017,Cosmetic Wardrobe,Garderobe
MMI_1018,Lv80 GS Apply,Lvl 80 GS Anwenden
MMI_1019,Lv80 GS Status,Lvl 80 GS Status
MMI_1020,Lv80 GS Cancel,Lvl 80 GS abbrechen
MMI_1021,Lv80 GS Enter,Lvl 80 GS Beitreten
MMI_1022,Lv80 GS Lineup Setup,Lvl 80 GS aufstellen
MMI_1023,Lv80 GS Ranking,Lvl 80 GS Rangliste
MMI_1024,Lv80 GS Information,Lvl 80 GS Informationen
MMI_1025,Lv60 GS Apply,Lvl 60 GS Anwenden
MMI_1026,Lv60 GS Status,Lvl 60 GS Status
MMI_1027,Lv60 GS Cancel,Lvl 60 GS abbrechen
MMI_1028,Lv60 GS Enter,Lvl 60 GS Beitreten
MMI_1029,Lv60 GS Lineup Setup,Lvl 60 GS aufstellen
MMI_1030,Lv60 GS Ranking,Lvl 60 GS Rangliste
MMI_1031,Lv60 GS Information,Lvl 60 GS Informationen
MMI_1032,Blue Chip Shop,Blue Chip Laden
MMI_1033,Valentine's Letter Exchange,Briefwechsel zum Valentinstag
MMI_1034,Dungeon,Instanz
MMI_1035,PK Chip Shop,PK Chip Laden
MMI_1036,Exchange,Tauschen
MMI_1037,Green Chip Shop,Grüne Chips Shop
MMI_1038,FWC Gear Exchange,FWC Gear Exchange
MMI_1039,FWC Jewel Exchange,FWC Juwelen Austausch
MMI_1040,Use Capsule Coins,Kapselmünzen verwenden
MMI_1041,Music Festival Exchange,Musik Festival Austausch
MMI_1042,Fitting Room,Umkleidekabine
MMI_1043,FWC PVP Registrations Board,Brett für FWC PVP Registrierungen
MMI_1047,Join FWC PVP Arena,FWC PVP-Arena beitreten
MMI_1046,FWC PVP Ranking,FWC PVP Rangliste
MMI_1048,Spectate FWC PVP Contest,FWC PVP Wettbewerb zusehen
MMI_1049,Rock Paper Scissors,Schere Stein Papier
MMI_1050,W-Token Shop,W-Token Shop
MMI_1051,Costume Box Upgrade,Kostüm Box Upgrade
MMI_1054,Exchange Rings,Austausch von Ringen
MMI_1055,Dismantle Item,Item zerlegen
MMI_1056,Purchase Guild Ship,Das Gildenhaus kaufen 
MMI_1057,Enter Guild Ship,Eintritt in das Gildenhaus
MMI_1058,Enter Your House,Dein Haus betreten
MMI_1059,Select House Template,Hausvorlage auswählen
MMI_1060,Visit Friend's House,Haus eines Freundes besuchen
MMI_1061,Edit,Bearbeiten
MMI_1062,Remove,Entfernen
MMI_1063,Exchange Earrings,Ohrringe austauschen
MMI_1064,Exchange Necklaces,Halsketten austauschen
MMI_1065,Rainbow Race,Regenbogenrennen
MMI_1066,Create Ultimate Weapon,Upgrade zur ultimativen Waffe
MMI_1069,Open Guest Book,Gästebuch öffnen
MMI_1070,Orphanage Keeper Shop,Waisenhauswächter Shop
MMI_1071,Kalgas Assault Registration,Kalgas Angriff Registrierung
MMI_1072,Kalgas Assault Enter,Kalgas Angriff betreten
MMI_1073,Kalgas Assault Rank,Kalgas Angriff Rangliste
MMI_1074,Kalgas Assault Info,Kalgas Angriff Information
MMI_1075,Kalgas Chip Shop,Kalgas Chip Shop
MMI_1076,Couple's Storage,Partnerlager
MMI_1077,Create Ultimate Jewel,Ultimativen Juwel herstellen
MMI_1078,Fuse Ultimate Jewel,Ultimativen Juwel verschmelzen
MMI_1079,Teleport,Teleport
MMI_1080,Sea Shell Upgrading,Sea Shell Verbesserung
MMI_1081,Fuse Rainbow Jewel,Regenbogen Juwel verschmelzen
MMI_1082,Dismantle Rainbow Jewel,Regenbogen Juwel zerlegen
MMI_1083,Pet Training,Pet Training
MMI_1084,Teleport,Teleport
MMI_1085,Individual Race (Item),Individuelles Rennen (Item)
MMI_1086,Individual Race (Speed),Individuelles Rennen (Speed)
MMI_1087,Duo Team Race (Item),Duo Team Rennen (Item)
MMI_1088,Duo Team Race (Speed),Duo Team Rennen (Speed)
MMI_1089,Sit,Sitzen
MMI_1090,Sleep,Schlafen
MMI_1091,Yellow Chip Shop,Gelber Chip Shop
MMI_1092,Madrigal Tournament Registration,Madrigal-Turnier Registrierung
MMI_1093,Enter Madrigal Tournament,Madrigal-Turnier betreten
MMI_1094,Madrigal Tournament Ranking,Madrigal-Turnier  Rangliste
MMI_1095,Madrigal Tournament Reward,Madrigal-Turnier Belohnung
MMI_1096,Madrigal Tournament Bidding,Madrigal-Turnier Bieten
MMI_1097,Remove Ultimate Jewel,Ultimativen Juwel entfernen
MMI_1098,Customize,Anpassen
MMI_1099,Enter Couple House,Partnerhaus betreten
MMI_1100,Select Couple House Template,Partnerhaus Template auswählen
MMI_1101,Wandering Shop,Wandering Shop
MMI_1102,Master Chip Shop - Alchemy,Master Chip Shop - Alchemie
MMI_1103,Product Upgrade,Product Verbesserung
MMI_1104,Life Mastery Ranking,Life Mastery Rangliste
MMI_1105,Life Mastery Ranking Reward,Life Mastery Ranglistenbelohnung
MMI_1106,Alchemy,Alchemie
MMI_1107,Cooking,Kochen
MMI_1108,Carpentry,Schreinerei
MMI_1109,Smithing,Schmiedekunst
MMI_1110,Enter Race,Rennen beitreten
MMI_1111,Master Chip Shop - Cooking,Master Chip Shop - Kochen
MMI_1112,Master Chip Shop - Carpentry,Master Chip Shop - Schreinerei
MMI_1113,Master Chip Shop - Smithing,Master Chip Shop - Schmiedekunst
MMI_1115,Join Boss Raid,Boss Raid beitreten
MMI_1120,3rd Anniversary Egg Upgrade Event,3. Jubiläums-Event: Ei-Aufwertung
MMI_1121,Champion Coin Exchange,Champion-Münzen tauschen
MMI_1116,Synthesize Ultimate Jewel,Ultimativen Juwel kombinieren
MMI_1117,Convert Ultimate Jewel,Ultimativen Juwel umwandeln
MMI_2025,PTS Exchange (Equipment),PTS Austausch (Equipment)
MMI_2026,Give Feedback,Feedback geben
MMI_2027,PTS Exchange (Materials),PTS Austausch (Materials)
MMI_2028,PTS Exchange (Essentials),PTS Austausch (Essentials)
MMI_2029,PTS Exchange (Jewelry),PTS Austausch (Jewelry)
MMI_2030,PTS Exchange (Other Equipment),PTS Austausch (Other Equipment)
MMI_2031,Reset Cooldowns,Cooldowns zurücksetzen
MMI_2032,PTS Exchange (New Equipment),PTS Austausch (New Equipment)
MMI_2033,Item Exchange,Item Exchange
MMI_1122,Lv165 GS Apply,Lv165 GS Apply
MMI_1123,Lv165 GS Status,Lv165 GS Status
MMI_1124,Lv165 GS Cancel,Lv165 GS Cancel
MMI_1125,Lv165 GS Join,Lv165 GS Join
MMI_1126,Lv165 GS Line Up,Lv165 GS Line Up
MMI_1127,Lv165 GS Ranking,Lv165 GS Ranking
MMI_1128,Lv165 GS Information,Lv165 GS Information
MMI_1129,Yellow Chip Shop 2,Yellow Chip Shop 2
MMI_1130,Red Chip Shop 2,Red Chip Shop 2
MMI_1131,Kalgas Chip Shop 2,Kalgas Chip Shop 2
MMI_1132,Mysterious Castle Enter,Mysterious Castle Enter
MMI_1133,Mysterious Castle Reward,Mysterious Castle Reward
MMI_1134,Kebaras 2 Costumes,Kebaras 2 Costumes
