Key,English,Indonesian
TEXTCLIENT_CONNECTING,Connecting. Please wait.,Menghubungkan. Mohon tunggu.
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,Tidak dapat terhubung ke game. Silakan periksa jaringan.
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,Permainan telah diperbarui. Silakan tutup halaman dan buka lagi.
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,Pengidentifikasi server salah.
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.","Kesalahan tidak diketahui, harap coba lagi."
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,Akunmu sudah terhubung.
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,Apakah kamu ingin memutuskan sambungan perangkat lain?
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,Perangkat terputus. Silakan login kembali dalam 10 detik.
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.","Channel ini sedang penuh, mohon tunggu sebentar atau pilih channel lain."
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,Nama karakter sudah digunakan.
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,Boss Monster terdeteksi!
TEXTCLIENT_APP_MAP,World Map,World Map
TEXTCLIENT_APP_OPTION,Options,Opsi
TEXTCLIENT_APP_LOGOUT,Log Out,Log Out
TEXTCLIENT_APP_QUIT,Quit,Keluar
TEXTCLIENT_APP_SUPPORT,Support,Dukungan
TEXTCLIENT_APP_PRIVACY,Privacy,Privasi
TEXTCLIENT_APP_NAVIGATOR,Navigator,Navigator
TEXTCLIENT_APP_DEBUG,Debug,Debug
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,Logging out in %d sec(s).
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,Changing character in %d sec(s).
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,Linking account in %d sec(s).
TEXTCLIENT_LOGOUT,Do you want to disconnect?,Apakah kamu ingin disconnect?
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,#cffff0000Kamu akan kehilangan guest karaktermu.#nc Harap tautkan akun.
TEXTCLIENT_EXIT,Do you want to exit the program?,Apakah kamu ingin keluar dari program?
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,Terputus dari server.
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,Pembuatan karakter dinonaktifkan di server ini.
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,Tampaknya ada kekuatan jahat yang mengaburkan visimu tentang area tersebut.
TEXTCLIENT_ITEM_DESC,Description:,Deskripsi:
TEXTCLIENT_INVALIDCHARACTERS,This name contains unauthorized characters.,Nama ini mengandung karakter yang tidak sah.
TEXTCLIENT_INVALIDNAME,This name contains unauthorized words.,Nama ini mengandung kata-kata yang tidak sah.
TEXTCLIENT_IPBANNED,Your public internet address has been banned. Contact the administrator for more informations.,Alamat internet publikmu telah diblokir. Hubungi administrator untuk informasi lebih lanjut.
TEXTCLIENT_IPRESTRAINTED,The game is currently not available in your country.,Game saat ini tidak tersedia di negaramu.
TEXTCLIENT_IPBLOCKED,An important activity has been detected on your public internet address. Please wait %s before trying again.,Aktivitas penting telah terdeteksi di alamat internet publikmu. Harap tunggu %s sebelum mencoba lagi.
TEXTCLIENT_SECS,second(s),detik(s)
TEXTCLIENT_MINS,minute(s),menit(s)
TEXTCLIENT_HOURS,hour(s),jam(s)
TEXTCLIENT_SESSIONEXPIRED,"Your session has expired, please enter your login and password again.","Sesi telah kedaluwarsa, silakan masukkan lagi login dan kata sandimu."
TEXTCLIENT_ADMIN,Admin,Admin
TEXTCLIENT_DEVELOPER,Dev,Dev
TEXTCLIENT_GAMEMASTER,Game Master,Game Master
TEXTCLIENT_MODERATOR,MOD,MOD
TEXTCLIENT_VENDOR_NPC,[Vendor],[Vendor]
TEXTCLIENT_APP_CHAT,Chat Window,Chat Window
TEXTCLIENT_INVALIDLOGIN,Your login or password is invalid.,Login atau kata sandimu tidak valid.
TEXTCLIENT_INVALIDAUTHTOKEN,Authentication failed. Please try again.,Otentikasi gagal. Silakan coba lagi.
TEXTCLIENT_NOWPOSITION,"Position: x = %f, y = %f, z = %f, angle = %f","Posisi: x = %f, y = %f, z = %f, angle = %f"
TEXTCLIENT_NOTTRANSSELF,You cannot send a PM to yourself.,Kamu tidak dapat mengirim PM ke diri sendiri.
TEXTCLIENT_PLAYERNOTEXIST,%s does not exist or is offline.,%s tidak ada atau tidak online.
TEXTCLIENT_APP_NOTICE,Notice,Notice
TEXTCLIENT_APP_STATUS,Status,Status
TEXTCLIENT_PLAYERINFORMATION,%s - Lv: %d,%s - Lv: %d
TEXTCLIENT_BLINK_LIMIT,You cannot use it during skill motion.,Kamu tidak dapat menggunakannya selama skill motion.
TEXTCLIENT_NOTSIT_BLINK,You cannot use a Blinkwing while sitting.,Kamu tidak dapat menggunakan Blinkwing ketika duduk.
TEXTCLIENT_STAND_LIMIT,You can use it when you stand up.,Kamu dapat menggunakannya saat berdiri.
TEXTCLIENT_FLIGHT_NOUSE,Unable to use while flying.,Tidak dapat digunakan saat terbang.
TEXTCLIENT_ERROR_NOFLY,You cannot fly here.,Kamu tidak bisa terbang ke sini.
TEXTCLIENT_ERROR_NOTALK,You are not allowed to talk.,Kamu tidak diperbolehkan untuk berbicara.
TEXTCLIENT_ERROR_CHATSPAM,You received %d minutes penalty because of too much of chatting.,Kamu menerima penalti %d menit karena terlalu banyak mengobrol.
TEXTCLIENT_APP_MOTION,Emotes,Emotes
TEXTCLIENT_APP_CHARINFO,Character,Karakter
TEXTCLIENT_LIMIT_RECOVER,%s recovery limited to %d.,%s recovery limited to %d.
TEXTCLIENT_ATTENTIONCOOLTIME,Please wait a while before using the item again.,Harap tunggu beberapa saat sebelum menggunakan item tersebut kembali.
TEXTCLIENT_DEATH,Press Lodestar to resurrect (Nearest Town) or use an item to resurrect in place.,Tekan Lodestar untuk resurrect (Kota Terdekat) atau menggunakan item untuk resurrect di tempat.
TEXTCLIENT_DEATH_ARENA,Press Lodestar to resurrect near the Arena.,Tekan Lodestar untuk resurrect di dekat Arena.
TEXTCLIENT_MOBPRIORITY,You cannot attack a monster that is fighting against another player.,Kamu tidak dapat menyerang monster yang sedang bertarung melawan pemain lain.
TEXTCLIENT_NOQUITCOMBAT,You cannot quit during combat.,Kamu tidak bisa berhenti selama pertempuran.
TEXTCLIENT_LEVELUP,Level up! You can increase your stats in your character window.,Level up! Kamu dapat meningkatkan statistikmu di window karakter.
TEXTCLIENT_LEVELUP_CAPTION,Congratulations! Level up!,Selamat! Level up!
