Key,English,Traditional_Chinese
PROPQUEST_SCENARIO_INC_000299,Prologue,序 -疑問的開始-
PROPQUEST_SCENARIO_INC_000304,Questioning,疑問的開始
PROPQUEST_SCENARIO_INC_000305,"Hmm... What should I do? Hey, can you help me?",嗯……我該怎麼辦呢？欸，你可以幫我嗎？
PROPQUEST_SCENARIO_INC_000306,"I have been worried for so long, I know I must look a mess. It is good to have a friendly ear to turn to.",真的很感謝你啊~其實，最近有一件事情讓我很煩惱，皮膚也變的很差…
PROPQUEST_SCENARIO_INC_000307,"I am studying recent history, but it is really hard. So would you please help me? Please?",我最近啊~在研究一個歷史…可是好難喔…可以幫我一下嗎？
PROPQUEST_SCENARIO_INC_000308,Really? Wow! Thanks a lot! Please go to the office and deliver my application for a scholarship. Thank you.,哈哈哈，那請到管理所去申請研究費用，然後親自把請款單拿去給市長吧。
PROPQUEST_SCENARIO_INC_000309,What? Awww I knew it was too good to be true.,哎唷~~好過份啊…看在我這麼可愛的份上…幫我一次好嗎？
PROPQUEST_SCENARIO_INC_000310,"Oh, it seems like Martinyc is too busy to deliver her own applications.",喔，馬特尼提特這麼忙啊？既然叫你把請款單拿過來…好！我知道了，幫我告訴他，研究費用我會支付給他。
PROPQUEST_SCENARIO_INC_000311,May I help you? You want to fill out an application? The form is on the right side of the office.,有什麼事嗎？喔~你說你要填寫請款單啊…請款單在管理所的後面…
PROPQUEST_SCENARIO_INC_000312,Go to the office and deliver a scholarship application to the Mayor.,請到管理所填寫請款單的內容之後，把這個內容拿給市長看吧！
PROPQUEST_SCENARIO_INC_000314,Cracked Continent,大陸分裂的理由
PROPQUEST_SCENARIO_INC_000315,"Thank you very much for your help! I received plenty of money to study history thanks to you. Listen, it looks like all of the data about Madrigal is distorted.",研究費用已經收到了！我發現一個很可疑的事情耶…我跟你說喔…關於瑪德利賈的歷史紀錄，好像不太對耶…
PROPQUEST_SCENARIO_INC_000316,I have been studying Madrigal history apart from the History Society and it seems that they do not want to correct the distorted history in these books.,有很多可疑的地方呢…不知道爲什麼歷史協會的人知道此事實也不會想去修改…所以我就自己調查了一下喔~
PROPQUEST_SCENARIO_INC_000317,The other day I was almost killed by renegade Blades but I cannot stop now. No matter what the History Society wants.,有一天，我差一點被殺了呢~~那時候我才知道，歷史協會的人為什麼不去修改了。可是，我絕對不會在這裡放棄。
PROPQUEST_SCENARIO_INC_000318,"I will find out the true history of Madrigal, I have to. Would you please help me? The danger for you could be great however.",我一定要查出瑪德利賈真正的歷史。你願意幫我嗎？不過，這件事對你來說可能也很危險。
PROPQUEST_SCENARIO_INC_000319,Will you help me regardless of the danger?,這樣你也會爲了正義來幫我嗎？
PROPQUEST_SCENARIO_INC_000320,"I knew you would! First, bring me 5 rocks from each of the 3 inhabited continents. Each continent has an Altar, bring me the rocks from each of these.",果然，我沒有看錯人。首先 3 個大陸裡，有古代的祭團。請幫我到各大陸的祭團，找 5 個岩石回來。
PROPQUEST_SCENARIO_INC_000321,Thanks for listening to me anyway. I understand if you are unwilling to risk your life.,嗯…你覺得不值得爲這種事情犧牲生命啊…那就沒辦法囉~我去找其他人來幫我好了！
PROPQUEST_SCENARIO_INC_000322,Hmm... This is exactly what I expected. I will study these some more but before you go please...,嗯……果然和我想的一樣。我得再研究一下，不過在你走之前……
PROPQUEST_SCENARIO_INC_000323,"...you should be very, very careful. I am almost sure that the assassins that tried to kill me will come after you.",……你一定要非常、非常小心。我幾乎可以肯定，那些之前想殺我的刺客也會盯上你。
