Key,English,Spanish
PROPSKILL_TXT_000309,,
PROPSKILL_TXT_000000,Clean Hit,Golpe Limpio
PROPSKILL_TXT_000001,"A powerful, downward strike.",Poderoso golpe descendente.
PROPSKILL_TXT_000002,Flurry,Ráfaga
PROPSKILL_TXT_000003,A rapid stabbing attack.,Golpes rápidos de puñalada.
PROPSKILL_TXT_000004,Over Cutter,Corte Final
PROPSKILL_TXT_000005,A powerful upward finishing move.,Poderoso golpe ascendente final.
PROPSKILL_TXT_000006,Slash,Cuchillada
PROPSKILL_TXT_000007,Strikes the enemy twice in rapid succession.,"Ataca al enemigo dos veces, en rápida sucesión."
PROPSKILL_TXT_000008,Keenwheel,Giro Afilado
PROPSKILL_TXT_000009,A continuous spinning attack.,Ataque giratorio continuo.
PROPSKILL_TXT_000010,Blindside,Punto Ciego
PROPSKILL_TXT_000011,A spinning finishing move that may stun the enemy.,Ataque giratorio final. Inflige un golpe terrible en el punto débil del enemigo.
PROPSKILL_TXT_000012,Protection,Protección
PROPSKILL_TXT_000013,Draws out the wielded shield's power to increase defense against physical attacks and significantly increase Ranged Block.,Incrementa la defensa de un Escudo contra ataques cuerpo a cuerpo e incrementa significativamente el Bloqueo a Distancia.
PROPSKILL_TXT_000014,Pan Barrier,Barrera Protectora
PROPSKILL_TXT_000015,Significantly increases Ranged Block.,Incrementa significativamente el Bloqueo a Distancia.
PROPSKILL_TXT_000016,Blazing Sword,Espada Llameante
PROPSKILL_TXT_000017,Increases accuracy and enhances the power of the wielded sword.,Aumenta la Precisión y el poder de la Espada.
PROPSKILL_TXT_000018,Smite Axe,Hacha Dolorosa
PROPSKILL_TXT_000019,Increases accuracy and enhances the power of the wielded axe.,Aumenta la Precisión y el poder del Hacha.
PROPSKILL_TXT_000020,Empower Weapon,Arma Imbuida
PROPSKILL_TXT_000021,Enhances the weapon's elemental power.,Usa el elemento de un arma para potenciar tu poder de ataque.
PROPSKILL_TXT_000022,Bloody Strike,Golpe Sangriento
PROPSKILL_TXT_000024,Sword Mastery,Dominio de la Espada
PROPSKILL_TXT_000025,Enhances the power of the wielded sword.,Incrementa el poder de una espada.
PROPSKILL_TXT_000026,Axe Mastery,Dominio del Hacha
PROPSKILL_TXT_000027,Enhances the power of the wielded axe.,Incrementa el poder de un hacha.
PROPSKILL_TXT_000028,Special Hit,Golpe Especial
PROPSKILL_TXT_000029,A single powerful strike that hits all enemies around you.,"Un simple, pero poderoso golpe que ataca a todos los enemigos de alrededor."
PROPSKILL_TXT_000030,Guillotine,Guillotina
PROPSKILL_TXT_000031,A powerful ranged attack.,Un poderoso ataque a distancia.
PROPSKILL_TXT_000032,Sneaker,Red Furtiva
PROPSKILL_TXT_000033,"Traps the enemy in a net, immobilizing them.",Detiene a un enemigo.
PROPSKILL_TXT_000034,Reflex Hit,Venganza
PROPSKILL_TXT_000035,Absorbs an incoming attack and strikes an enemy with the absorbed damage.,Habilidad que absorbe un ataque y lo refleja de vuelta al enemigo.
PROPSKILL_TXT_000036,Guard,Guardia
PROPSKILL_TXT_000037,Reduces all incoming damage from enemies at the cost of attack power.,Disminuye todo el daño recibido de los enemigos sacrificando el poder de ataque. Requiere un arma para usarse.
PROPSKILL_TXT_000038,Pain Reflection,Reflejo Doloroso
PROPSKILL_TXT_000039,Reflects a portion of the damage received back at the enemy.,Refleja parte del daño recibido por el enemigo.
PROPSKILL_TXT_000040,Rage,Furia
PROPSKILL_TXT_000041,Increases striking power but makes you more vulnerable to all incoming attacks.,Aumenta el poder de ataque. Te vuelves más vulnerable a todos los ataques recibidos.
PROPSKILL_TXT_000042,Power Swing,Balanceo Energético
PROPSKILL_TXT_000043,Swings the weapon to strike surrounding enemies and push them back. Requires a two-handed weapon.,Asesta un golpe al enemigo blandiendo un arma. Requiere un Arma de dos manos.
PROPSKILL_TXT_000044,Earth Divider,Divisor de Tierras
PROPSKILL_TXT_000045,A powerful downward strike that may reduce HP Restoration on the target. Requires a two-handed weapon.,Poderoso golpe descendente. Tiene probabilidad de reducir la curación del objetivo. Requiere un arma a dos manos.
PROPSKILL_TXT_000046,Charge,Embestida
PROPSKILL_TXT_000047,A powerful upward strike that stuns the enemy. Requires a two-handed weapon.,Golpe potente y ascendente. Aturde al enemigo. Requiere un arma a dos manos.
PROPSKILL_TXT_000048,Pain Dealer,Distribución de Dolor
PROPSKILL_TXT_000049,A powerful downward strike that lowers the defense of the target. Requires a two-handed weapon.,Ataque poderoso hacia abajo. Disminuye la defensa del enemigo. Requiere un Arma de dos manos.
PROPSKILL_TXT_000050,Power Stomp,Pisotón Poderoso
PROPSKILL_TXT_000051,"Pounds the ground, hitting surrounding enemies with a chance to stun them. Requires a two-handed weapon.",Golpea el suelo y aturde a los enemigos cercanos. Requiere un Arma de dos manos.
PROPSKILL_TXT_000052,Cross Strike,Golpe Cruzado
PROPSKILL_TXT_000053,A powerful dual-weapon strike that knocks down the enemy.,Ataque poderoso utilizando dos Armas.
