Key,English,Thai
PROPQUEST_INC_000000,,
PROPQUEST_INC_010000,Daily,รายวัน
PROPQUEST_INC_000291,Save the Garden! (Part 1),ปกป้องสวน! (ตอนที่ 1)
PROPQUEST_INC_000292,The Garden of Rhisis is dying! Could you help me?,สวนของ Rhisis กำลังจะตาย คุณช่วยฉันได้ไหม?
PROPQUEST_INC_000293,You need 10 Bearer Hearts from Tombstone Bearers to save the Garden of Rhisis.,คุณต้องมี Bearer Hearts 10 ชิ้นจาก Tombstone Bearers เพื่อช่วย Garden of Rhisis
PROPQUEST_INC_000294,Thank you!,ขอบคุณ!
PROPQUEST_INC_000295,"If you change your mind later, please come back to me!",หากคุณเปลี่ยนใจในภายหลัง โปรดกลับมาหาฉัน!
PROPQUEST_INC_000296,Thank you! You should really talk to Janne.,ขอบคุณ! คุณควรคุยกับ Janne จริงๆ
PROPQUEST_INC_000297,Come back when you have the Bearer Hearts.,กลับมาเมื่อคุณมี Bearer Hearts
PROPQUEST_INC_000298,Save the Garden! (Part 2),ปกป้องสวน! (ตอนที่ 2)
PROPQUEST_INC_000299,You have a message from my sister!,คุณมีข้อความจากพี่สาวของฉัน!
PROPQUEST_INC_000300,I see. The Garden of Rhisis is dying... Could you inform my sister Kimberley?,เข้าใจแล้ว สวน Rhisis กำลังจะตาย... คุณช่วยแจ้ง Kimberley น้องสาวฉันหน่อยได้ไหม
PROPQUEST_INC_000302,The problem with the Garden of Rhisis can wait. I guess...,ปัญหาเกี่ยวกับ Garden of Rhisis สามารถรอได้ ฉันคิดว่า...
PROPQUEST_INC_000303,Thank you from bringing me this message. I think you should talk to Marche in Eastern Flarine.,ขอบคุณที่นำข้อความนี้มาให้ฉัน ฉันคิดว่าคุณควรคุยกับ Marche ที่ Eastern Flarine
PROPQUEST_INC_000304,You still haven't found Kimberley? She is in Saint City.,คุณยังไม่เจอ Kimberley เหรอ? เธออยู่ใน Saint City
PROPQUEST_INC_000308,Save the Garden! (Part 3),ปกป้องสวน! (ตอนที่ 3)
PROPQUEST_INC_000309,The Saint City sisters say that the Garden of Rhisis is dying.,เหล่าซิสเตอร์ของ Saint City บอกว่า Garden of Rhisis กำลังจะตาย
PROPQUEST_INC_000310,Could you bring a Live Tea to Ann? You can find it the east of the Leren Mountains.,คุณช่วยนำ Live Tea ไปให้ Ann ได้ไหม คุณจะพบได้ทางทิศตะวันออกของ Leren Mountains
PROPQUEST_INC_000311,Thank you! If you help her she will give you an Earring.,ขอบคุณ! หากคุณช่วยเธอ เธอจะมอบ Earring ให้คุณ
PROPQUEST_INC_000313,I will save the Garden of Rhisis with this tea! Here is an Earring to thank you.,ฉันจะช่วย Garden of Rhisis ด้วยชานี้! นี่คือ Earring เพื่อขอบคุณ
PROPQUEST_INC_000314,Bring a Live Tea to Ann at Saint City.,นำ Live Tea มาให้ Ann ที่ Saint City
PROPQUEST_INC_000422,Find Santa's Socks!,หา Santa's Socks!
PROPQUEST_INC_000423,It is a sad Christmas here in Madrigal. Santa Claus has lost all of the stockings that hold the children's presents! We must find the red stockings!,มันเป็นคริสต์มาสที่น่าเศร้าที่เมือง Madrigal ซานตาคลอสทำถุงเท้าที่ใส่ของขวัญเด็กหาย! เราต้องหาถุงเท้าสีแดงให้เจอ!
PROPQUEST_INC_000461,A Favor for the Pastor,ความช่วยเหลือเพื่อบาทหลวง
PROPQUEST_INC_000462,The pastor would like me to deliver 20 bouquets! I wonder what the reward will be!,บาทหลวงต้องการให้ฉันส่งมอบช่อดอกไม้ถึง 20 ช่อ! ฉันสงสัยว่ารางวัลจะเป็นอะไร!
PROPQUEST_INC_000465,Give Back the Love.,มอบความรักกลับมา
PROPQUEST_INC_000466,I have to gather 10 pieces of hearts. It's time to hunt some masquerpets.,ฉันต้องรวบรวมหัวใจ 10 ชิ้น ได้เวลาล่า masquerpets แล้ว
PROPQUEST_INC_000469,Vagrant Master (Acrobat),Vagrant Master(Acrobat)
PROPQUEST_INC_000470,"So you want to be an Acrobat, huh? You won't regret it! I have a simple test for you before starting the training. Are you ready? …hic!",อา... คุณต้องการที่จะเป็น Acrobat หรือ? คุณจะไม่เสียใจ! ฉันมีการทดสอบแบบง่ายๆ สำหรับคุณก่อนเริ่มการฝึก คุณพร้อมไหม? ...ฮิค!
PROPQUEST_INC_000472,Good luck! You'll need it!,โชคดี! คุณจะต้องการมัน!
PROPQUEST_INC_000473,"What are you afraid of? The path to become an Acrobat may be difficult for some, but it's so worth it! Come back if you change your mind, friend.",คุณจะกลัวอะไรล่ะ? เส้นทางที่จะกลายเป็น Acrobat อาจเป็นเรื่องยากสำหรับบางคน แต่มันก็คุ้มค่า! กลับมาถ้าคุณเปลี่ยนใจนะ เพื่อน
PROPQUEST_INC_000474,Well done. You've passed the first test!,ทำได้ดี คุณผ่านการทดสอบครั้งแรก!
PROPQUEST_INC_000475,"I'm still waiting for you to hunt $QUEST_END_KILL_COUNT$ Small Aibatts. If you want to become an Acrobat, you must complete this simple task.",ฉันยังคงรอให้คุณล่า $QUEST_END_KILL_COUNT$ Small Aibatts ถ้าคุณต้องการเป็น Acrobat คุณต้องทำตามขั้นตอนง่ายๆนี้
PROPQUEST_INC_000476,You have already chosen to pursue another path. I cannot help you any further. You can still cancel the other job quest in the Quest Window and come back to me.,คุณได้เลือกที่จะไล่ตามเส้นทางอื่นแล้ว ฉันช่วยคุณไม่ได้อีก คุณยังสามารถยกเลิกภารกิจอาชีพอื่นในหน้าต่างเควสและกลับมาหาฉันได้
PROPQUEST_INC_000477,"For starters, let's go with something easy. I would like you to hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$s.",สำหรับการเริ่มต้น มาทำอะไรง่ายๆ กันดีกว่า ฉันอยากให้คุณตามล่า $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$s 
PROPQUEST_INC_000479,Acrobat Weaponry,Acrobat Weaponry
PROPQUEST_INC_000480,Now it's time for the next step on your path to becoming an Acrobat.,ตอนนี้ก็ถึงเวลาสำหรับขั้นตอนต่อไปในเส้นทางของคุณในการเป็น Acrobat
PROPQUEST_INC_000481,"I want you to return to collect 10 Twinkle Stones from Aibatts in the area, 5 Peakyrinds from Peakyturtles and 1 Slain from Lawolf.","ฉันต้องการให้คุณกลับไปเก็บ Twinkle Stones 10 ชิ้น จาก Aibatts ในพื้นที่, Peakyrinds 5 ชิ้น จาก Peakyturtles และ Slain 1 ชิ้น จาก Lawolf"
PROPQUEST_INC_000482,"Once you've gathered the Twinkle Stones, bring them to Pyre in the north of Flarine.",หลังจากที่คุณได้รวบรวม Twinkle Stones แล้วนำสิ่งเหล่านั้นไปที่ Pyre ในทางตอนเหนือของ Flarine.
