Key,English,Vietnamese
EXCHANGE_ROSHAMBO_EVENT,"Exchange 10 mosquitoes and 50,000 Penya for a Rock-Paper-Scissors coupon.",Đổi 10 con muỗi và 50.000 penyas để lấy phiếu giảm giá Rock-Paper-Scissors.
EXCHANGE_CHRISTMAS_EVENT,"Exchange 10 red socks and 50,000 Penya for a Rock-Paper-Scissors coupon.",Đổi 10 đôi tất đỏ và 50.000 penyas để lấy phiếu giảm giá Rock-Paper-Scissors.
EXCHANGE_PIECE,"If you bring me 10 pieces of any item, I will exchange them for a whole one! Just click the item you want to exchange and press Ok!","Nếu bạn mang cho tôi 10 miếng của bất kỳ vật phẩm nào, tôi sẽ đổi lấy cả một miếng! Chỉ cần nhấp vào vật phẩm muốn đổi và nhấn Ok!"
EXCHANGE_DICE,I can exchange your dice with Penya. Just click the item you want to exchange and press Ok!,Tôi có thể đổi con xúc xắc của bạn với Penya. Chỉ cần nhấp vào vật phẩm muốn đổi và nhấn Ok!
EXCHANGE_REDCHIPS,"The armor sets I sell here in my shop are absolutely the best you can find! So, how many Red Chips do you have, hmmm?","Những bộ áo giáp tôi bán ở đây trong cửa hàng của tôi hoàn toàn là những bộ tốt nhất mà bạn có thể tìm thấy! Vậy, bạn có bao nhiêu Red Chips, hmmm?"
EXCHANGE_SUMMER_EVENT,"Exchange Beach Ball, Parasol and Penya for great Beach Boxes!","Đổi Beach Ball, Parasol và Penya để lấy những Beach Boxes tuyệt vời!"
EXCHANGE_GREENCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Green Chips do you have, hmmm?","Các vật phẩm tôi bán ở đây trong cửa hàng của tôi chắc chắn sẽ hữu ích! Vậy bạn có bao nhiêu Green Chip, hmmm?"
EXCHANGE_BLUECHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Blue Chips do you have, hmmm?","Các mặt hàng tôi bán ở đây hoàn toàn là những thứ tốt nhất mà bạn có thể tìm thấy! Vậy, bạn có bao nhiêu Blue Chips, hmmm?"
EXCHANGE_CHRISTMAS_GIFTS,Bring me back my lost gifts and I’ll think about getting you something in return..,Mang lại những món quà bị mất cho tôi và tôi sẽ nghĩ về việc trả lại cho bạn thứ gì đó..
EXCHANGE_RICE_CAKE,I noticed you had a lot of rice cake. You want me to cook them to make them better?,Tôi nhận thấy bạn có rất nhiều bánh gạo. Bạn muốn tôi nấu để bánh ngon hơn?
EXCHANGE_VALENTINE,"A lot of people have come to me and said they've lost their love letters.. Can you find them and bring them back to me? I’ll give you some great rewards in return.\n\n#cffff0000For the exchange of 5 Letters, you will be rewarded with 1 of the 4 bonus items randomly. Only one can be active at a time, so be careful!#nc","Rất nhiều người đã tìm đến tôi và nói rằng họ đã đánh mất những bức thư tình.. Bạn có thể tìm thấy chúng và mang chúng về cho tôi không? Đổi lại, tôi sẽ tặng bạn một số phần thưởng tuyệt vời.\n\n#cffff0000Khi đổi 5 bức thư, bạn sẽ được thưởng ngẫu nhiên 1 trong 4 vật phẩm thưởng. Mỗi lần chỉ có một người có thể hoạt động, vì vậy hãy cẩn thận!#nc"
EXCHANGE_PKCHIPS,"So you like to kill players and steal their chips... No problem, the origin of these items does not interest me. Look what I have to offer you.","Vì vậy, bạn thích giết players và ăn cắp chip của họ... Không sao, nguồn gốc của những món đồ này tôi không quan tâm. Hãy xem những gì tôi phải cung cấp cho bạn."
