Key,English,Filipino
TUTORIAL_INTRO,"Hello there, I am #b#cffa0a0ffInfo Pang#nc#nb!\n\nI am your guide to survive in #bMadrigal#nb and I have a lot of useful information.\n\nAre you ready to #blearn the lessons#nb needed to survive in this world?\n\nYou can also check the information that you've learned by using my menu.","Kamusta, ako si #b#cffa0a0ffInfo Pang#nc#nb!\n\nAko ang iyong gabay upang ikaw ay maging ligtas sa Madrigal at marami akong mahalagang impormasyon.\n\nHanda ka na bang matutunan ang mga leksyon na kailangan mo para maging ligtas sa mundong ito?\n\nMaaari mo ring malaman ang mga impormasyong natutunan mo dito sa pamamagitan ng aking menu."
TUTORIAL_MOVE_PLAYER_TEXT,"Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]","Magsimula tayo sa pag kontrol ng iyong karakter.\n\n[[Pwede mong kontrolin ang iyong karakter gamit ang iyong keyboard o mouse. Kaliwang pindutan sa iyong mouse |#bPindutin kung saan mo gustong pumunta#nb]] sa iyong screen, at ang karakter mo ay pupunta doon hanggat walang nakaharang.[[|\n\nPwede mo din gamitin ang #bdirectional pad#nb sa kaliwang bahagi sa baba ng iyong screen.]]\n\n#cffff0000Kinakailangang Gawin: Pagalawin ang Karakter[[ (Mouse)|]]"
TUTORIAL_MOVE_PLAYER_TITLE,Moving Method,Paraan sa pag-galaw
TUTORIAL_MOVE_PLAYER_CONTENT,"#b#cff0000ff■ Move[[ using mouse|]]#nb#nc\n[[Click left-mouse on|Touch on the screen]] the spot you want to move.[[\n\n#b#cff0000ff■ Move using keyboard#nb#nc\nYou can move your character by pressing keys below.\nForward : W\nBackward : S\nLeftward : A\nRightward : D\n\n#b#cff0000ff■ Walking#nb#nc\nPress X. If you want to run again, then press X again.|]]\n\n#b#cff0000ff■ Jumping#nb#nc\n[[Press SPACE BAR|Long press on the screen]] when you want to jump.","#b#cff0000ff■ Gumalaw[[ gamit ang mouse|]]#nb#nc\n[[pindutin ang kaliwang buton ng mouse |Pindutin ang screen]] sa lugar na gusto mo puntahan.[[\n\n#b#cff0000ff■ Gumalaw gamit ang keyboard#nb#nc\nMaaari mong igalaw ang iyong karakter sa pamamagitan ng pagpindot sa mga key sa ibaba.\nAbante : W\nAtras : S\nKaliwa : A\nKanan : D\n\n#b#cff0000ff■ Paglalakad#nb#nc\nPindutin ang X. Para tumakbo ulit, pindutin ang X ulit.|]]\n\n#b#cff0000ff■ Pagtalon#nb#nc\n[[Pindutin ang SPACE BAR|Matagal na pindot sa screen]] Para tumalon."
TUTORIAL_MOVE_PLAYER_KEYBOARD_TEXT,"Character movement by Keyboard is as follows.\n\nForward : W\nBackward : S\nTurn Left : A\nTurn Right : D\n\nEasy, huh? Move your character now.\n\n#cffff0000Clear Condition: Move the character(Keyboard)",Pagalawin ang karakter gamit ang keyboard.\n\nAbante : W\nAtras : S\nLiko Pakaliwa : A\nLiko Pakanan : D\n\nMadali diba? Igalaw mo ang character mo ngayon na.\n\n#cffff0000Kinakailangang Gawin: Igalaw ang karakter(Keyboard)
TUTORIAL_WALK_PLAYER_TEXT,"Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]","Mahusay!\n\nKadalasan, ang iyong karakter ay tumatakbo.\n\n[[Pindutin ang 'X' kung gusto mong maglakad. Kung gusto mong tumakbo, pindutin lang ulit ang 'X'.\n\n#cffff0000Kinakailangang Gawin: Hot Key 'X'|Pindutin lang ang #b'Walk' na buton#nb sa taas ng screen para magpalit sa lakad o takbo.]]"
TUTORIAL_JUMP_PLAYER_TEXT,"Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]","Susunod: Pagtalon! Para tumalon, \n\n[[Pindutin ang space bar. Kung gusto mong tumalon habang gumagalaw, pindutin lang ang space bar habang gumagalaw|pwede kang mag long press sa screen o pindutin ang #b'Jump' na buton#nb na matatagpuan sa kanang bahagi sa baba ng screen]].\n\n#cffff0000Kinakailangang Gawin: Tumalon[[ (Space Bar)|]]"
TUTORIAL_ROTATE_CAMERA_TEXT,Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]],Galugarin natin ang pagkontrol sa Kamera:\n\n[[Ang kamera ay makokontrol sa pamamagitan ng Mouse at Keyboard. Unahin natin ang Mouse.\n\nGalawin ang mouse kung saan mo gustong tumingin habang naka pindot ang kanang buton ng mouse|#bI-swipe ang daliri#nb sa screen]] para kontrolin ang kamera.\n\n#cffff0000Kinakailangang Gawin: Kontrolin ang Kamera[[ (Mouse)|]]
TUTORIAL_ROTATE_CAMERA_TITLE,Camera Manage Method,Paraan sa pagkontrol ng Kamera
TUTORIAL_ROTATE_CAMERA_CONTENT,"#b#cff0000ff■ Change view[[ with mouse|]]#nb#nc\nYou can view any direction just by [[rotating your mouse while pressing on the right button of the mouse|sliding your finger on the screen]].[[\n\n#b#cff0000ff■ Change view with keyboard#nb#nc\nYou can change view by pressing keys below.\nUp : ↑\nDown : ↓\nLeft : ←\nRight : →|]]\n\n#b#cff0000ff■ For zoom in and out#nb#nc\n[[you can use mouse wheel. Also Page Up, Page Down keys can be used for change view step by step|pinch the screen and spread or bring your fingers together]].","#b#cff0000ff■ Baguhin ang view[[ gamit ang mouse|]]#nb#nc\nMaaari mong tingnan ang anumang direksyon sa pamamagitan lamang ng [[pag-ikot ng iyong mouse habang pagpindot sa kanang button ng mouse|pag-slide ng iyong daliri sa screen]].[[\n\n#b#cff0000ff■ Baguhin ang view gamit ang keyboard#nb#nc\nMaaari mong baguhin ang view sa pamamagitan ng pagpindot sa mga key sa ibaba.\nPataas : ↑\nPababa : ↓\nKaliwa : ←\nKanan : →|]]\n\n#b#cff0000ff■ Para sa pag-zoom in at out#nb#nc\n[[maaari mong gamitin ang gulong ng mouse. Magagamit din ang mga Page Up, Page Down na key para sa pagbabago ng view nang hakbang-hakbang|kurutin ang screen at ikalat o pagsamahin ang iyong mga daliri]]."
