Key,English,Japanese
CHARACTER_INC_000001,Mikyel,ミキエル
CHARACTER_INC_000011,Noier,ノイエ
CHARACTER_INC_000017,[Sage] Radion,[大賢者]ラディオン
CHARACTER_INC_000021,Boboku,ボボク
CHARACTER_INC_000027,Boboko,ボボコ
CHARACTER_INC_000033,Luda,ルダ
CHARACTER_INC_000034,Weapons,武器
CHARACTER_INC_000035,Armors,防具
CHARACTER_INC_000039,Lui,ルイ
CHARACTER_INC_000043,Arrows,矢
CHARACTER_INC_000045,Losha,ロシャ
CHARACTER_INC_000051,Marche,マルシェ
CHARACTER_INC_000057,Julia,ジュリア
CHARACTER_INC_000059,Dior,ディオール
CHARACTER_INC_000065,Is,イス
CHARACTER_INC_000068,Iske,ヘアーアーティスト
CHARACTER_INC_000070,Ispim,イスピム
CHARACTER_INC_000072,Isruel,イスルエル
CHARACTER_INC_000075,Ismeralda,イスメラルダ
CHARACTER_INC_000083,Flaris Pang,フラリス・ファン
CHARACTER_INC_000091,Jeff,ジェフ
CHARACTER_INC_000099,[High-Dwarpet] Tucani,[ハイドワーフ]トゥカニ
CHARACTER_INC_000101,[Jester Wise-man] Radyon,[Jester Wise-man] Radyon
CHARACTER_INC_000103,[Ranger Wise-man] Kimel,[Ranger Wise-man] Kimel
CHARACTER_INC_000111,[Pepoview] Brodeay,[双月の夜]ブローディ
CHARACTER_INC_000113,[Pepoview] Ruminerr,[双月の夜]ルミネ
CHARACTER_INC_000115,[Pepoview] Ellangdl,[双月の夜]エランドル
CHARACTER_INC_000117,[Pepoview] Hotse,[双月の夜]ハッセ
CHARACTER_INC_000119,[Pepoview] Vianlee,[双月の夜]ビランリ
CHARACTER_INC_000121,[Pepoview] Clackcable,[双月の夜]クロックエイブル
CHARACTER_INC_000125,Lancomi,ランコミー
CHARACTER_INC_000127,Helena,ヘレナ
CHARACTER_INC_000129,Martin,マーティン
CHARACTER_INC_000135,Bill,ビル
CHARACTER_INC_000141,Tina,ティナ
CHARACTER_INC_000144,Fuel,加速燃料
CHARACTER_INC_000147,Bulrox,ブルック
CHARACTER_INC_000153,Bozman,ボズマン
CHARACTER_INC_000159,Colack,コラック
CHARACTER_INC_000165,Karin,カリン
CHARACTER_INC_000171,Leann,ルアン
CHARACTER_INC_000172,Accessories,ｱｸｾｻﾘ-
CHARACTER_INC_000174,Ann,アン
CHARACTER_INC_000176,Herth,ハース
CHARACTER_INC_000178,Janne,ジャンヌ
CHARACTER_INC_000180,Kimberley,キンバリー
CHARACTER_INC_000186,Saint Pang,セイント・ファン
CHARACTER_INC_000200,[MagicBox] Ancimys,[MagicBox]アンシミー
CHARACTER_INC_000226,Lurif,ルリフ
CHARACTER_INC_000228,Darkon Pang,ダーコン・ファン
CHARACTER_INC_000230,Stima,スティーマ
CHARACTER_INC_000231,Mercenary,マーシナリー
CHARACTER_INC_000232,Assist,アシスト
CHARACTER_INC_000233,Acrobat,アクロバット
CHARACTER_INC_000234,Magician,マジシャン
CHARACTER_INC_000236,Phacham,ファチャム
CHARACTER_INC_000260,Achaben,アチャベン
CHARACTER_INC_000261,Collector,収集
CHARACTER_INC_000262,Poster,ポスター
CHARACTER_INC_000263,Magic Tools,マジックツール
CHARACTER_INC_000264,Arrow,矢
CHARACTER_INC_000266,Almani,アルマーニ
CHARACTER_INC_000267,Broom,ﾎｳｷ
CHARACTER_INC_000268,Board,ﾎﾞｰﾄﾞ
CHARACTER_INC_000272,Bolpor,ボルポー
CHARACTER_INC_000273,Food,フード
CHARACTER_INC_000280,Eshylop,ディアポリカ
CHARACTER_INC_000284,Haven,ヘブン
CHARACTER_INC_000285,Wand,ワンド
CHARACTER_INC_000286,Staff,スタッフ
CHARACTER_INC_000288,Robe,防具類
CHARACTER_INC_000290,Ollien,オリーン
CHARACTER_INC_000292,Roocky,ロッキー
CHARACTER_INC_000298,Remine,リマイン
CHARACTER_INC_000304,Krinton,クリントン
CHARACTER_INC_000305,Shields,盾
CHARACTER_INC_000310,Dr. Est,Dr.エスト
CHARACTER_INC_000312,Dr. Estly,Dr.エストリー
CHARACTER_INC_000314,Dr. Estern,Dr.エスターン
CHARACTER_INC_000316,Darkon Pang II,ダーコン・ファンII
CHARACTER_INC_000318,Kablloc,ケイブロック
CHARACTER_INC_000324,Chenbing,シェンビン
CHARACTER_INC_000330,Jinitte,ジニート
CHARACTER_INC_000336,Tandy,タンディ
CHARACTER_INC_000338,Blinkwing,ﾌﾞﾘﾝｸｳｲﾝｸﾞ
CHARACTER_INC_000339,Class Goods,職業用品
CHARACTER_INC_000342,[Acrobat Drillmaster] Hent,[アクロバット訓練所_教官]ヘント
CHARACTER_INC_000344,[Acrobat Master] Pyre,[アクロバットマスター]ピレ
CHARACTER_INC_000346,[Acrobat Instructor] Tailer,[アクロバット訓練所_助手]タイラー
CHARACTER_INC_000348,[Jester Master] Lorein,[ジェスターマスター]ロレイン
