Key,English,Italian
LANGUAGE_CODE,EN,IT
UI_HOME_TITLE,Home,Home
UI_HOME_GUESTCHAR,Guest Character,Personaggio Ospite
UI_HOME_NEWCHAR,New Character,Nuovo Personaggio
UI_HOME_NEWCHAR_TIP,Create a new character without an account,Crea un nuovo personaggio senza un account
UI_HOME_LOGIN,Sign In,Connetti
UI_HOME_REGISTER,Sign Up,Istriviti
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.","Inserisci il tuo ID e la password, quindi premi OK per collegarti al gioco."
UI_HOME_ALREADYACCOUNT,Already have an account?,Hai già un account?
UI_HOME_WEBSITE,Website,Website
UI_HOME_CREDITS,Credits,Crediti
UI_HOME_OR,Or,O
UI_HOME_LOGIN_DOTS,Email:,Email:
UI_HOME_PASSWORD,Password:,Password:
UI_HOME_RECOVER,Forgot password?,Hai dimenticato la password?
UI_SELECTSERVER_TITLE,Select Server,Seleziona Server
UI_SELECTSERVER_BACK,Back,Indietro
UI_SELECTSERVER_NEXT,Next,Avanti
UI_SELECTSERVER_FULL,full,pieno
UI_SELECTSERVER_BUSY,busy,impegnato
UI_SELECTSERVER_BEST,best,migliore
UI_SELECTSERVER_NEWNAME,Please enter another name:,Inserisci un altro nome:
UI_SELECTSERVER_NAMETITLE,Character Name,Nome del Personaggio
UI_CHARLIST_TITLE,Characters,Personaggi
UI_CHARLIST_PLAY,Play,Gioca
UI_CHARLIST_NEW,New,Nuovo
UI_CHARLIST_DELETE,Delete,Elimina
UI_DELETECHAR_TITLE,Delete Character,Elimina Personaggio
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,Password per eliminare il personaggio\nInserisci la password
UI_DELETECHAR_NOPASS,Confirm Deletion?,Confermi?
UI_DELETECHAR_NOTICE,"If you delete this character, its name cannot be used again for one week.","Se elimini un personaggio, non potrai utilizzare il suo nome per una settimana."
UI_NEWCHAR_NAME,Name:,Nome:
UI_NEWCHAR_GIRL,Girl,Ragazza
UI_NEWCHAR_BOY,Boy,Ragazzo
UI_MSGBOX_START,Start,Inizia
UI_MSGBOX_OK,Ok,Ok
UI_MSGBOX_RETRY,Retry,Riprova
UI_MSGBOX_CANCEL,Cancel,Annulla
UI_MSGBOX_YES,Yes,Sì
UI_MSGBOX_NO,No,No
UI_LOADINGSCREEN,"Loading, please wait...",Caricamento...
UI_OPTION_TITLE,Options,Opzioni
UI_OPTION_MUSIC,Music,Musica
UI_OPTION_SOUND,Sound,Suono
UI_OPTION_TEXQUALITY,Textures,Texture
UI_OPTION_TEXTOON,Cartoon,Cartoon
UI_OPTION_TEXHIGH,High,Alta
UI_OPTION_TEXMID,Medium,Media
UI_OPTION_TEXLOW,Low,Bassa
UI_OPTION_WEATHER,Weather,Tempo
UI_OPTION_LANGUAGE,Language,Lingue
UI_OPTION_SAVE,Save,Salva
UI_NAVIGATOR_PLAYER,Player,Giocatore
