Key,English,Simplified_Chinese
ACHIEVEMENT_KILL_AIBATT_NAME,Aibatt,独眼蝠
ACHIEVEMENT_KILL_MUSHPANG_NAME,Mushpang,嘭嘭菇
ACHIEVEMENT_KILL_BURUDENG_NAME,Burudeng,象牙甲虫
ACHIEVEMENT_KILL_PUKEPUKE_NAME,Pukepuke,邪精灵随从
ACHIEVEMENT_KILL_PEAKYTURTLE_NAME,Peakyturtle,山岭剑龙
ACHIEVEMENT_KILL_DEMIAN_NAME,Demian,坏蛋迪米
ACHIEVEMENT_KILL_DORIDOMA_NAME,Doridoma,蓝纹海马
ACHIEVEMENT_KILL_LAWOLF_NAME,Lawolf,山地野狼
ACHIEVEMENT_KILL_FEFERN_NAME,Fefern,菲菲龙
ACHIEVEMENT_KILL_NYANGNYANG_NAME,Nyangnyang,彩冠翎猫
ACHIEVEMENT_KILL_BANG_NAME,Bang,魔导战甲士兵
ACHIEVEMENT_KILL_MOTHBEE_NAME,Mothbee,苍翼蜂蛾
ACHIEVEMENT_KILL_WAGSAAC_NAME,Wagsaac,紫草食人花
ACHIEVEMENT_KILL_FLYBAT_NAME,Flybat,巨眼怪
ACHIEVEMENT_KILL_MIA_NAME,Mia,米娅娃娃
ACHIEVEMENT_KILL_MRPUMPKIN_NAME,Mr. Pumpkin,南瓜精
ACHIEVEMENT_KILL_REDMANTIS_NAME,Redmantis,蟹足螳螂
ACHIEVEMENT_KILL_ZENDROS_NAME,Zendros,变异独眼蝠
ACHIEVEMENT_KILL_JACKTHEHAMMER_NAME,Jack the Hammer,钉锤杰克
ACHIEVEMENT_KILL_GIGGLEBOX_NAME,Giggle Box,怪笑箱
ACHIEVEMENT_KILL_ROCKMUSCLE_NAME,Rock Muscle,巨石兽
ACHIEVEMENT_KILL_BUCROW_NAME,Bucrow,巴科洛
ACHIEVEMENT_KILL_NEPARUBA_NAME,Neparuba,变异刀尾蚊
ACHIEVEMENT_KILL_HOBO_NAME,Hobo,独臂浪人
ACHIEVEMENT_KILL_DUMBBULL_NAME,Dumbbull,荒原野牛
ACHIEVEMENT_KILL_TOTEMIA_NAME,Totemia,顽皮的陶陶
ACHIEVEMENT_KILL_CARDPUPPET_NAME,Cardpuppet,扑克人偶
ACHIEVEMENT_KILL_FLBYRIGEN_NAME,Flybrigen,飞翼魔灯
ACHIEVEMENT_KILL_TOMBSTONEBEARER_NAME,Tombstone Bearer,碑石工匠
ACHIEVEMENT_KILL_SCOPICON_NAME,Scorpicon,毒蝎
ACHIEVEMENT_KILL_BASQUE_NAME,Basque,巴斯克斗士
ACHIEVEMENT_KILL_PRANKSTER_NAME,Prankster,小丑术士
ACHIEVEMENT_KILL_ROCKEPELLER_NAME,Rockepeller,螺旋飞行人
ACHIEVEMENT_KILL_WHEELEM_NAME,Wheelem,独轮蒸汽机
ACHIEVEMENT_KILL_LEYENA_NAME,Leyena,高地猎犬
ACHIEVEMENT_KILL_TRANGFOMA_NAME,Trangfoma,淘金者
ACHIEVEMENT_KILL_STEAMWALKER_NAME,Steam Walker,蒸汽机甲
ACHIEVEMENT_KILL_STEELKNIGHT_NAME,Steel Knight,钢甲骑士
ACHIEVEMENT_KILL_ZOMBIGER_NAME,Zombiger,矿工幽魂
ACHIEVEMENT_KILL_NUTTYWHEEL_NAME,Nuttywheel,轮箱步行车
ACHIEVEMENT_KILL_NUCTUVEHICLE_NAME,Nuctuvehicle,矿车妖怪
ACHIEVEMENT_KILL_DRILLER_NAME,Driller,自动钻孔机
ACHIEVEMENT_KILL_RISEM_NAME,Risem,铁皮男
ACHIEVEMENT_KILL_GRRR_NAME,Grrr,石斧野人
ACHIEVEMENT_KILL_VOLT_NAME,Volt,电磁履带车
ACHIEVEMENT_KILL_ELDERGUARD_NAME,Elderguard,电铲卫兵
ACHIEVEMENT_KILL_DUMP_NAME,Dump,牛头火焰车
ACHIEVEMENT_KILL_GARBAGEPIDER_NAME,Garbagespider,蛛型处理机
ACHIEVEMENT_KILL_ZENMA_NAME,Zenma,变异巨眼怪
ACHIEVEMENT_KILL_CRANEMACHINERY_NAME,Crane Machinery,链式破碎车
ACHIEVEMENT_KILL_NAUTREPY_NAME,Nautrepy,蛙跳蝠
ACHIEVEMENT_KILL_SYLIACA_NAME,Syliaca,食人鱼
ACHIEVEMENT_KILL_GREEMONG_NAME,Greemong,绿泥怪
ACHIEVEMENT_KILL_BOO_NAME,Boo,毒花兽
ACHIEVEMENT_KILL_CARRIERBOMB_NAME,Carrierbomb,爆破者
ACHIEVEMENT_KILL_LONGWANG_NAME,Longwing,魔翼兵
ACHIEVEMENT_KILL_HOPPRE_NAME,Hoppre,依蛾
ACHIEVEMENT_KILL_MUSHPOIE_NAME,Mushpoie,蘑菇人
ACHIEVEMENT_KILL_IREN_NAME,Iren,刀尾蚊
ACHIEVEMENT_KILL_WATANGKA_NAME,Watangka,巫民
ACHIEVEMENT_KILL_FAFNIR_NAME,Fafnir,龙宝宝
ACHIEVEMENT_KILL_ANTIQUERY_NAME,Antiquery,树精
ACHIEVEMENT_KILL_LUIA_NAME,Luia,火鸟
ACHIEVEMENT_KILL_GONGURY_NAME,Gongury,剑尾龟
ACHIEVEMENT_KILL_SHUHAMMA_NAME,Shuhamma,机械象
ACHIEVEMENT_KILL_KERN_NAME,Kern,石魔
ACHIEVEMENT_KILL_GORRUDA_NAME,Gorruda,魔翼龙
ACHIEVEMENT_KILL_GLAPHAN_NAME,Glaphan,双足食人鱼
ACHIEVEMENT_KILL_KIMERADON_NAME,Chimeradon,变种蝙蝠
ACHIEVEMENT_KILL_BEARNUCKY_NAME,Bearnerky,独眼野熊
ACHIEVEMENT_KILL_MUFFRIN_NAME,Muffrin,麻普厨师
ACHIEVEMENT_KILL_POPCRANK_NAME,Popcrank,魔盒小丑
ACHIEVEMENT_KILL_CLOCKWORKS_NAME,Clockworks,时空毁灭者
ACHIEVEMENT_KILL_METEONYKER_NAME,Meteonyker,飞龙
ACHIEVEMENT_KILL_MEDUMET_NAME,Medumet,机械水母
ACHIEVEMENT_KILL_YETTI_NAME,Yetti,怪力羊
ACHIEVEMENT_KILL_AUGU_NAME,Augu,尖角蜥
ACHIEVEMENT_KILL_GHOSTKING_NAME,Ghost King,冰封亡灵
ACHIEVEMENT_KILL_MAMMOTH_NAME,Mammoth,猛犸象
ACHIEVEMENT_KILL_ATROX_NAME,Atrox,巨齿蛉
ACHIEVEMENT_KILL_TIGAR_NAME,Tigar,热带虎
ACHIEVEMENT_KILL_MERAL_NAME,Meral,强袭海盗队长
ACHIEVEMENT_KILL_KINGSTER_NAME,Kingster,霸王虾
ACHIEVEMENT_KILL_CREPER_NAME,Creper,巨钳蟹
ACHIEVEMENT_KILL_NAGA_NAME,Naga,那伽
ACHIEVEMENT_KILL_DORIAN_NAME,Dorian,变异枪鱼
ACHIEVEMENT_KILL_OKEAN_NAME,Okean,皇冠海妖
ACHIEVEMENT_KILL_KRAKEN_NAME,Kraken,北海巨妖
ACHIEVEMENT_KILL_DREADFIN_NAME,Dreadfin,惧鳞
ACHIEVEMENT_KILL_DREADSCALE_NAME,Dreadscale,怖鳞
ACHIEVEMENT_KILL_LUMINFIN_NAME,Luminfin,辉鳞
ACHIEVEMENT_KILL_REDMETEONYKER_NAME,Red Meteonyker,赤红飞龙
ACHIEVEMENT_KILL_CAVEMANCHIEF_NAME,Caveman Chief,穴居酋长
ACHIEVEMENT_KILL_TEMPLEGUARDIAN_NAME,Temple Guardian,神庙守护者
ACHIEVEMENT_KILL_GREATKRAKEN_NAME,Great Kraken,深渊海妖克拉肯
ACHIEVEMENT_KILL_PYRAMIDGUARDIAN_NAME,Pyramid Guardian,金字塔守卫
ACHIEVEMENT_KILL_CRYSTALDEVIL_NAME,Crystal Demon Lord,冰封恶魔领主
ACHIEVEMENT_KILL_BEASTKINGKHAN_NAME,Beast King Khan,兽王可汗
ACHIEVEMENT_KILL_SHADEKRITON_NAME,[Shade Lieutenant] Kriton,[谢莉德影将] 克里顿
ACHIEVEMENT_KILL_PUPPETWOLF_NAME,Hundur Sharpfoot,疾行猎犬
ACHIEVEMENT_KILL_RYSENTRY_NAME,Samoset,萨莫塞特
ACHIEVEMENT_KILL_RYGUARD_NAME,Kyouchish,利爪奇什
ACHIEVEMENT_KILL_RYARCHER_NAME,Kanonicus,追猎者库斯
ACHIEVEMENT_KILL_RYMAGI_NAME,Mage Redcloud,绯云术士
ACHIEVEMENT_KILL_RYWARRIOR_NAME,Taiaha,泰亚哈战士
ACHIEVEMENT_KILL_SKELWOLF_NAME,Hellhound,地狱犬
ACHIEVEMENT_KILL_RYBARGA_NAME,Chief Keokuk,基奥库克酋长
ACHIEVEMENT_KILL_BEHEMOTH03_NAME,[God of Death] Demonic Ankou,[死神] 魔化安库
ACHIEVEMENT_KILL_AIBATT_LVL1,Aibatt Slayer 1,独眼蝠猎手
ACHIEVEMENT_KILL_AIBATT_LVL2,Aibatt Slayer 2,独眼蝠屠夫
ACHIEVEMENT_KILL_AIBATT_LVL3,Aibatt Slayer 3,独眼蝠杀手
ACHIEVEMENT_KILL_AIBATT_LVL4,Aibatt Slayer 4,独眼蝠撕裂者
ACHIEVEMENT_KILL_AIBATT_LVL5,Aibatt Hunter,独眼蝠毁灭者
ACHIEVEMENT_KILL_MUSHPANG_LVL1,Mushpang Slayer 1,嘭嘭菇猎手
ACHIEVEMENT_KILL_MUSHPANG_LVL2,Mushpang Slayer 2,嘭嘭菇屠夫
ACHIEVEMENT_KILL_MUSHPANG_LVL3,Mushpang Slayer 3,嘭嘭菇杀手
ACHIEVEMENT_KILL_MUSHPANG_LVL4,Mushpang Slayer 4,嘭嘭菇撕裂者
ACHIEVEMENT_KILL_MUSHPANG_LVL5,Mushpang Hunter,嘭嘭菇毁灭者
ACHIEVEMENT_KILL_BURUDENG_LVL1,Burudeng Slayer 1,象牙甲虫猎手
ACHIEVEMENT_KILL_BURUDENG_LVL2,Burudeng Slayer 2,象牙甲虫屠夫
ACHIEVEMENT_KILL_BURUDENG_LVL3,Burudeng Slayer 3,象牙甲虫杀手
ACHIEVEMENT_KILL_BURUDENG_LVL4,Burudeng Slayer 4,象牙甲虫撕裂者
ACHIEVEMENT_KILL_BURUDENG_LVL5,Burudeng Hunter,象牙甲虫毁灭者
ACHIEVEMENT_KILL_PUKEPUKE_LVL1,Pukepuke Slayer 1,邪精灵猎手
ACHIEVEMENT_KILL_PUKEPUKE_LVL2,Pukepuke Slayer 2,邪精灵屠夫
ACHIEVEMENT_KILL_PUKEPUKE_LVL3,Pukepuke Slayer 3,邪精灵杀手
ACHIEVEMENT_KILL_PUKEPUKE_LVL4,Pukepuke Slayer 4,邪精灵撕裂者
ACHIEVEMENT_KILL_PUKEPUKE_LVL5,Pukepuke Hunter,邪精灵毁灭者
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL1,Peakyturtle Slayer 1,山岭剑龙猎手
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL2,Peakyturtle Slayer 2,山岭剑龙屠夫
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL3,Peakyturtle Slayer 3,山岭剑龙杀手
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL4,Peakyturtle Slayer 4,山岭剑龙撕裂者
ACHIEVEMENT_KILL_PEAKYTURTLE_LVL5,Peakyturtle Hunter,山岭剑龙毁灭者
ACHIEVEMENT_KILL_DEMIAN_LVL1,Demian Slayer 1,迪米猎手
ACHIEVEMENT_KILL_DEMIAN_LVL2,Demian Slayer 2,迪米屠夫
ACHIEVEMENT_KILL_DEMIAN_LVL3,Demian Slayer 3,迪米杀手
ACHIEVEMENT_KILL_DEMIAN_LVL4,Demian Slayer 4,迪米撕裂者
ACHIEVEMENT_KILL_DEMIAN_LVL5,Demian Hunter,迪米毁灭者
ACHIEVEMENT_KILL_DORIDOMA_LVL1,Doridoma Slayer 1,蓝纹海马猎手
ACHIEVEMENT_KILL_DORIDOMA_LVL2,Doridoma Slayer 2,蓝纹海马屠夫
ACHIEVEMENT_KILL_DORIDOMA_LVL3,Doridoma Slayer 3,蓝纹海马杀手
ACHIEVEMENT_KILL_DORIDOMA_LVL4,Doridoma Slayer 4,蓝纹海马撕裂者
ACHIEVEMENT_KILL_DORIDOMA_LVL5,Doridoma Hunter,蓝纹海马毁灭者
ACHIEVEMENT_KILL_LAWOLF_LVL1,Lawolf Slayer 1,山地狼猎手
ACHIEVEMENT_KILL_LAWOLF_LVL2,Lawolf Slayer 2,山地狼屠夫
ACHIEVEMENT_KILL_LAWOLF_LVL3,Lawolf Slayer 3,山地狼杀手
ACHIEVEMENT_KILL_LAWOLF_LVL4,Lawolf Slayer 4,山地狼撕裂者
ACHIEVEMENT_KILL_LAWOLF_LVL5,Lawolf Hunter,山地狼毁灭者
ACHIEVEMENT_KILL_FEFERN_LVL1,Fefern Slayer 1,菲菲龙猎手
ACHIEVEMENT_KILL_FEFERN_LVL2,Fefern Slayer 2,菲菲龙屠夫
ACHIEVEMENT_KILL_FEFERN_LVL3,Fefern Slayer 3,菲菲龙杀手
ACHIEVEMENT_KILL_FEFERN_LVL4,Fefern Slayer 4,菲菲龙撕裂者
ACHIEVEMENT_KILL_FEFERN_LVL5,Fefern Hunter,菲菲龙毁灭者
ACHIEVEMENT_KILL_NYANGNYANG_LVL1,Nyangnyang Slayer 1,彩冠翎猫猎手
ACHIEVEMENT_KILL_NYANGNYANG_LVL2,Nyangnyang Slayer 2,彩冠翎猫屠夫
ACHIEVEMENT_KILL_NYANGNYANG_LVL3,Nyangnyang Slayer 3,彩冠翎猫杀手
ACHIEVEMENT_KILL_NYANGNYANG_LVL4,Nyangnyang Slayer 4,彩冠翎猫撕裂者
ACHIEVEMENT_KILL_NYANGNYANG_LVL5,Nyangnyang Hunter,彩冠翎猫毁灭者
ACHIEVEMENT_KILL_BANG_LVL1,Bang Slayer 1,魔导战甲猎手
ACHIEVEMENT_KILL_BANG_LVL2,Bang Slayer 2,魔导战甲屠夫
ACHIEVEMENT_KILL_BANG_LVL3,Bang Slayer 3,魔导战甲杀手
ACHIEVEMENT_KILL_BANG_LVL4,Bang Slayer 4,魔导战甲撕裂者
ACHIEVEMENT_KILL_BANG_LVL5,Bang Hunter,魔导战甲毁灭者
ACHIEVEMENT_KILL_MOTHBEE_LVL1,Mothbee Slayer 1,苍翼蜂蛾猎手
ACHIEVEMENT_KILL_MOTHBEE_LVL2,Mothbee Slayer 2,苍翼蜂蛾屠夫
ACHIEVEMENT_KILL_MOTHBEE_LVL3,Mothbee Slayer 3,苍翼蜂蛾杀手
ACHIEVEMENT_KILL_MOTHBEE_LVL4,Mothbee Slayer 4,苍翼蜂蛾撕裂者
ACHIEVEMENT_KILL_MOTHBEE_LVL5,Mothbee Hunter,苍翼蜂蛾毁灭者
ACHIEVEMENT_KILL_WAGSAAC_LVL1,Wagsaac Slayer 1,食人花猎手
ACHIEVEMENT_KILL_WAGSAAC_LVL2,Wagsaac Slayer 2,食人花屠夫
ACHIEVEMENT_KILL_WAGSAAC_LVL3,Wagsaac Slayer 3,食人花杀手
ACHIEVEMENT_KILL_WAGSAAC_LVL4,Wagsaac Slayer 4,食人花撕裂者
ACHIEVEMENT_KILL_WAGSAAC_LVL5,Wagsaac Hunter,食人花毁灭者
ACHIEVEMENT_KILL_FLYBAT_LVL1,Flybat Slayer 1,巨眼怪猎手
ACHIEVEMENT_KILL_FLYBAT_LVL2,Flybat Slayer 2,巨眼怪屠夫
ACHIEVEMENT_KILL_FLYBAT_LVL3,Flybat Slayer 3,巨眼怪杀手
ACHIEVEMENT_KILL_FLYBAT_LVL4,Flybat Slayer 4,巨眼怪撕裂者
ACHIEVEMENT_KILL_FLYBAT_LVL5,Flybat Hunter,巨眼怪毁灭者
