Key,English,Spanish
CS_LIMITED_OFFER,Limited Offer,Oferta limitada
CS_NEW_COSTUME,New Costume,Nuevo atuendo
CS_NEW_PICKUP_PET,New Pickup Pet,Nueva mascota recolectora
CS_FASHION,Fashion,Moda
CS_FASHION_SETS,Fashion Sets,Conjuntos de moda
CS_FASHION_PIECES,Fashion Pieces,Piezas de moda
CS_CLOAKS,Cloaks,Capas
CS_MASKS_GLASSES_HAIR,Masks & Glasses & Hair,"Máscaras, gafas y peinados"
CS_PICKUP_PETS,Pickup Pets,Mascotas recolectoras
CS_FLYING,Flying,Vuelo
CS_CONSUMABLES,Consumables,Consumibles
CS_RECOVERY,Recovery,Recuperación
CS_SCROLL,Scroll,Pergaminos
CS_BUFF,Buff,Potenciadores
CS_BLINKWING,Blink Wing,Teletransporte
CS_TRANS,Trans,Transformaciones
CS_MATERIAL,Material,Materiales
CS_PROTECTION,Protection,Protección
CS_AWAKES,Awakes,Despertares
CS_UPGRADE,Upgrade,Mejoras
CS_RANDOM,Random,Aleatorios
CS_STONE,Stone,Piedras
CS_VENDOR_SHOP,Vendor Shop,Tiendas de comerciantes
CS_FLASK_POTION,Flask & Potion,Frascos y pociones
CS_MISC,Misc,Varios
CS_EFFECT,Effect,Efectos
CS_PENYA,Penya,Penya
CS_DISCOUNT,Discount,Descuentos
CS_SPECIAL_PACKAGE,Special Package,Paquetes especiales
CS_BLACK_FRIDAY,Black Friday,Viernes de ofertas
CS_REBORN_SALES,Reborn Sales,Items de renacimiento
CS_FWC,FWC,FWC 2026
CS_HOUSING,Housing,Vivienda
CS_EVENT,Event,Evento
CS_WORLD_TEMPLATE,World Template,Plantillas para la casa
CS_WORLD_THEME_PACK,Theme Pack,Paquetes de decoración
CS_WORLD_BUNDLE_PACK,Bundle Pack,Paquetes de lote
CS_WORLD_SINGLE_PACK,Single Pack,Paquetes individuales
CS_NPC,NPC,PNJ
CS_COUPLE,Couple,Pareja
