Key,English,Traditional_Chinese
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,得肯第一區：艾磷胚斯第二區域
PATROL_DESTINATION_000003,Iblis Temple,伊普里司神殿
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,勒倫山脈北部挑戰團
PATROL_DESTINATION_000005,Base Camp of the Thieves,盜賊團的大本營
PATROL_DESTINATION_000006,Mars Dungeon,瑪斯密殿
PATROL_DESTINATION_000007,Altar of Violet,邪惡祭壇
PATROL_DESTINATION_000008,Depths of the Dorian,多利安深處
PATROL_DESTINATION_000009,Lair of the Okean,奧肯之巢
PATROL_DESTINATION_000010,Date Location,日期地點
PATROL_DESTINATION_000011,Strange Entrance,奇怪的入口
PATROL_DESTINATION_000012,The Lost Treasure of Herneos,海尼爾遺都的失落寶藏
PATROL_DESTINATION_000013,Kaillun Forest,凱倫森林
PATROL_DESTINATION_000014,Ankou Asylum,安庫幽禁所
