Key,English,Indonesian
NPC_WHOAREYOU,Who are you?,Siapa kamu?
NPC_GOODBYE,Goodbye!,Selamat tinggal!
NPC_CARGO,CARGO,CARGO
NPC_WHATSGOINGON,What's going on?,Apa yang terjadi?
NPC_EXIT,Exit,Keluar
NPC_HOWTOFLY,How to Fly,Cara untuk terbang
NPC_COMBATFLYING,Combat Flying,Combat Flying
NPC_IDCARD,ID CARD,ID CARD
NPC_WHATABOUTTHEMINE,What about the mine?,Bagaimana dengan tambang?
NPC_MOVE,Move,Pindah
NPC_FORHONOR,For Honor!,Untuk Kehormatan!
NPC_FORFUN,For Fun!,Untuk kesenangan!
NPC_MEHJUSTBECAUSE,"Meh, just because?","Hah, hanya karena?"
NPC_YES_ENTER,Yes_Enter,Yes_Enter
NPC_NO_ENTER,No_Enter,No_Enter
NPC_WHEREAMI,Where am I?,Dimana aku?
NPC_MAKEANAPPOINTMENT,Make an appointment,Membuat janji
NPC_FINALIZESTATSELECTION,Finalize Stat selection,Selesaikan pemilihan Stat
NPC_DEKANEMINE,Dekane Mine,Dekane Mine
NPC_CELL,Cell,Cell
NPC_AZRIAMINE,Azria Mine,Azria Mine
NPC_CURSEDSYMBOL,Cursed Symbol,Cursed Symbol
NPC_GIVESYMBOL,Give the Symbol,Give the Symbol
NPC_HAELLETTER,Hael's Letter,Hael's Letter
NPC_GIVELETTER,Give Letter,Give Letter
NPC_TREASURE_BOX,Treasure,Treasure
NPC_LOSTMEMORIES,Lost Memories,Lost Memories
NPC_BREWINGPOTIONS,Brewing Potions,Brewing Potions
NPC_THECURE,The Cure,The Cure
NPC_GUIDETOFLYING,Guide to Flying,Panduan untuk Terbang
NPC_GUIDETOCOMBATFLYING,Guide to Combat Flying,Panduan untuk Combat Flying
NPC_SHOPS,Shops?,Toko?
NPC_DEATH,Death?,Kematian?
NPC_RECEIVEADDITIONALREWARDS,Receive additional rewards,Mendapatkan tambahan hadiah
NPC_000044,"Welcome to Keakoon, human! I've got a favor to ask... C'mere!","Selamat datang di Keakoon, manusia! Aku ingin meminta sesuatu... Kemarilah!"
NPC_000045,Fathers Package,Fathers Package
NPC_000046,"Hrrmph! How strange... How did a human like you manage to get in here, anyway?",Hrrmph! Aneh... Bagaimana manusia sepertimu bisa masuk ke sini?
NPC_000047,"Thank you for saving my father, human. So what brings you here?","Terima kasih telah menyelamatkan ayahku, manusia. Jadi apa yang membawamu ke sini?"
NPC_000048,"Please, save my father. He's imprisoned east of here! Hurry!","Tolong, selamatkan ayahku. Dia dipenjara di sebelah timur sini! Cepat!"
NPC_000049,"Hrrmph, listen... I don't know how you found this place, and I don't care. Leave now! This place is too dangerous for your kind.","Hrrmph, dengar... Aku tidak tahu bagaimana kamu menemukan tempat ini, dan aku tidak peduli. Pergi sekarang! Tempat ini terlalu berbahaya untuk jenismu."
NPC_000050,"Hrrmph! I am Drian - Son of Nevil, the Patriarch of Keakoon. You people look down on us, but you're the inferior ones!","Hrrmph! Aku Drian - Putra Nevil, Patriark Keakoon. Kalian memandang rendah kami, tetapi kalianlah yang lebih rendah!"
NPC_000051,"This place is too dangerous for the likes of you, silly human. Go home!","Tempat ini terlalu berbahaya untuk orang sepertimu, manusia bodoh. Pulanglah!"
NPC_000052,Here is the package my father left me... Hrrmph!,Ini paket yang ditinggalkan ayahku... Hrrmph!
NPC_000053,*Sigh* this might take a while...,*Sigh* ini mungkin butuh waktu...
NPC_000054,"What? A human?! Here?!? Muahahahah!!! You're either brave or not all there in the head, buddy.","Apa? Seorang manusia?! Di Sini?!? Muahahaha!!! Berani atau tidak semuanya ada ditanganmu, sobat."
NPC_000055,"Ewww!! A hew-mann... Your kind is not welcome here. Get out of my sight, vermin!","Ewww!! Hew-mann... Jenismu tidak diterima di sini. Keluar dari pandanganku, kutu!"
NPC_000056,Who am I? Hah! Liked I'd consort with the likes of a human. Get lost!,Siapa aku? Hah! Aku akan bergaul dengan orang-orang seperti manusia. Enyah!
NPC_000057,"Beat it, human! You're not welcome here!","Kalahkan, manusia! Kamu tidak diterima di sini!"
NPC_000058,*Whistles*,*Whistles*
NPC_000059,"Gwarrll! You just gonna stand there, or are you gonna get me out of here? You know, people don't necessarily like to be stared at...","Gwarrll! Kamu hanya akan berdiri di sana, atau kamu akan mengeluarkanku dari sini? Kamu tahu, orang tidak selalu suka ditatap..."
NPC_000060,"Garr!! I've not seen a human in years! I am Nevil, the honorable Patriarch of Keakoon.","Garr!! Aku belum pernah melihat manusia selama bertahun-tahun! Aku Nevil, Patriark Keakoon yang terhormat."
NPC_000061,"*Snort!* A human, eh? Very interesting... I haven't seen one of you weirdos in years! See ya later!","*Mendengus!* Seorang manusia, kan? Sangat menarik... Aku belum pernah melihat salah satu dari kalian orang aneh selama bertahun-tahun! Sampai jumpa lagi!"
NPC_000062,Feel free to come see me whenever you are in need of magical goods.,Jangan ragu untuk datang menemui aku kapan pun kamu membutuhkan barang ajaib.
NPC_000063,Nice to meet you. Have you also come to research the magical fields surrounding the islands?,Senang bertemu denganmu. Apakah kamu juga datang untuk meneliti magical fields di sekitar pulau?
NPC_000064,My name is Ciel and I am doing research on the various magical phenomena in the area.,Namaku Ciel dan aku sedang melakukan penelitian tentang berbagai fenomena magis di daerah tersebut.
NPC_000065,Farewell!,Selamat tinggal!
NPC_000066,Come to me if you seek absolution.,Datanglah kepadaku jika kamu mencari pengampunan.
NPC_000067,Are you here for confession?,Apakah kamu di sini untuk pengakuan?
NPC_000068,Your aura shines brightly. May it never again lose its brilliance.,Auramu bersinar terang. Semoga tidak lagi kehilangan kecemerlangannya.
NPC_000069,I am a shepherd who helps sinners find their way back to the path of righteousness. Come to me if you wish to be cleansed.,Aku adalah seorang gembala yang membantu orang berdosa menemukan jalan kembali ke jalan kebenaran. Datanglah padaku jika kamu ingin dibersihkan.
NPC_000070,Get the key from one of the criminal Masquerpets. Once you get the key you can enter the Warp Zone in the mountains.,"Dapatkan kunci dari salah satu Masquerpet kriminal. Setelah kamu mendapatkan kunci, kamu dapat memasuki Zona Warp di pegunungan."
NPC_000071,"Good luck to you, stranger. Try not to get caught again, okay?","Semoga beruntung untukmu, orang asing. Cobalah untuk tidak tertangkap lagi, oke?"
NPC_000072,"You will not survive here without a shield, friend.","Kamu tidak akan bertahan hidup di sini tanpa perisai, teman."
NPC_000073,Huh? Do you want something from me? Then speak up!,Hah? Apakah kamu menginginkan sesuatu dari saya? Lalu angkat bicara!
NPC_000074,"My name is Rocbin and I came here for a number of reasons, none of which I would like to discuss with you at this time. Now shoo!","Nama saya Rocbin dan saya datang ke sini karena beberapa alasan, tidak ada yang ingin saya diskusikan denganmu saat ini. Sekarang!"
NPC_000075,Take care! ,Hati-hati! 
NPC_000076,Looking to work on your terrible equipment? Allow me to assist you!,Ingin mengerjakan peralatan kamu yang mengerikan? Izinkan saya untuk membantu kamu!
NPC_000077,Hahaha! You look like the rest of those felons. What brings you here?,Hahaha! Kamu terlihat seperti penjahat lainnya. Apa yang membawamu kemari?
NPC_000078,"Greetings, adventurer! I am Shun, your friendly neighborhood arms dealer. I don't care who you are, a customer is a customer. Come right over and buy my gear!","Salam, petualang! Saya Shun, pedagang senjata lingkunganmu yang ramah. Saya tidak peduli siapa kamu, pelanggan adalah pelanggan. Kemarilah dan beli perlengkapanku!"
NPC_000079,Hehehe! Alright I hope we can hang out together someday.,"Hehehe! Baiklah, semoga kita bisa hang out bersama suatu hari nanti."
NPC_000080,I sell supplies to the weary adventurer. I've got everything you need!,Saya menjual persediaan kepada petualang yang lelah. Aku punya semua yang kamu butuhkan!
NPC_000081,You look like you have something to tell me...,Kamu terlihat sepertimu memiliki sesuatu untuk memberitahu saya ...
NPC_000082,My name is Yuna. I believe you will find my food and medicine reasonably priced.,Nama saya Yuna. Saya percaya kamu akan menemukan makanan dan obat-obatan saya dengan harga terjangkau.
NPC_000083,"Come one, come all! Visit Achaben's General Shop for your adventuring needs! *cough*","Ayo satu, ayo semua! Kunjungi Toko Umum Achaben untuk kebutuhan petualangan Anda! *batuk*"
NPC_000084,May I help you?,Dapatkah saya membantu Anda?
NPC_000085,"*Cough* I am happy to have a *wheeez* customer! If you need it, we have it... *cough* *huck* You wouldn't happen to have some cough medicine, would you?","*Batuk* Saya senang memiliki pelanggan *wheeez*! Jika kamu membutuhkannya, kami memilikinya... *batuk* *huck* kamu tidak akan kebetulan memiliki obat batuk, bukan?"
