Key,English,Vietnamese
PROPQUEST_DUNGEONANDPK_INC_000001,P.K,P.K
PROPQUEST_DUNGEONANDPK_INC_000002,Hunting Monsters to recover Karma,Săn quái vật để phục hồi Karma
PROPQUEST_DUNGEONANDPK_INC_000003,Your Karma can be redeemed. Are you ready to pay for your sins?,Karma của bạn có thể được mua lại. Bạn đã sẵn sàng trả giá cho tội lỗi của mình chưa?
PROPQUEST_DUNGEONANDPK_INC_000004,Hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.,Săn $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.
PROPQUEST_DUNGEONANDPK_INC_000005,You have yet to pay for your sins…,Bạn vẫn chưa phải trả giá cho tội lỗi của mình…
PROPQUEST_DUNGEONANDPK_INC_000006,Your quest has been accomplished. Your sins have been forgiven.,Nhiệm vụ của bạn đã được hoàn thành. Tội lỗi của bạn đã được tha thứ.
PROPQUEST_DUNGEONANDPK_INC_000007,"If you are truly unwilling to fight for forgiveness, then there is no hope for you.","Nếu bạn thực sự không muốn đấu tranh để được tha thứ, thì không có hy vọng cho bạn."
PROPQUEST_DUNGEONANDPK_INC_000019,Hunting $QUEST_END_KILL_NAME$ will recover your Karma points.,Săn $QUEST_END_KILL_NAME$ sẽ phục hồi điểm Karma của bạn.
PROPQUEST_DUNGEONANDPK_INC_000376,Get the Key to escape Kebaras Island,Nhận chìa khóa để thoát khỏi đảo Kebaras
PROPQUEST_DUNGEONANDPK_INC_000377,You can warp away from here at the Warp Zone but you need the Key. Are you ready to earn it?,Bạn có thể di chuyển khỏi đây tại Warp Zone nhưng bạn cần có Chìa khóa. Bạn đã sẵn sàng để kiếm được nó chưa?
