Key,English,Spanish
PROPQUEST_DUNGEONANDPK_INC_000001,P.K,P.K
PROPQUEST_DUNGEONANDPK_INC_000002,Hunting Monsters to recover Karma,Derrota a los Monstruos para recuperar Karma.
PROPQUEST_DUNGEONANDPK_INC_000003,Your Karma can be redeemed. Are you ready to pay for your sins?,Tu Karma puede ser redimido. ¿Estás listo para pagar por tus pecados?
PROPQUEST_DUNGEONANDPK_INC_000004,Hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.,Caza $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.
PROPQUEST_DUNGEONANDPK_INC_000005,You have yet to pay for your sins…,Todavía tienes que pagar por tus pecados...
PROPQUEST_DUNGEONANDPK_INC_000006,Your quest has been accomplished. Your sins have been forgiven.,Has cumplido con tu misión. Tus pecados han sido perdonados.
PROPQUEST_DUNGEONANDPK_INC_000007,"If you are truly unwilling to fight for forgiveness, then there is no hope for you.","Si no estás dispuesto a luchar por el perdón, no hay esperanza para ti."
PROPQUEST_DUNGEONANDPK_INC_000019,Hunting $QUEST_END_KILL_NAME$ will recover your Karma points.,Cazar $QUEST_END_KILL_NAME$ recuperará tus puntos de Karma.
PROPQUEST_DUNGEONANDPK_INC_000376,Get the Key to escape Kebaras Island,Consigue la Llave para escapar de la Isla Kebaras.
PROPQUEST_DUNGEONANDPK_INC_000377,You can warp away from here at the Warp Zone but you need the Key. Are you ready to earn it?,"Puedes teletransportarte lejos de aquí en la Zona de Teletransporte, pero necesitas la Llave. ¿Estás listo para ganártela?"
PROPQUEST_DUNGEONANDPK_INC_000378,I will give you the Key if you can bring me $QUEST_END_ITEM_COUNT$ Beads of Sin. You can get the beads in the empty lot beside the campsite.,Te daré la Llave si me traes $QUEST_END_ITEM_COUNT$ Perlas del Pecado. Puedes conseguir las perlas en el terreno vacío al lado del campamento.
PROPQUEST_DUNGEONANDPK_INC_000379,How long until you are ready to leave this place?,¿Cuánto tiempo va a pasar hasta que estés listo para salir de aquí?
PROPQUEST_DUNGEONANDPK_INC_000380,Here is the Key. Now go and never return.,Aquí está la Llave. Ahora vete y no vuelvas.
PROPQUEST_DUNGEONANDPK_INC_000381,I will give you your freedom for only $QUEST_END_ITEM_COUNT$ beads. How could you pass on an offer like that?,Te daré tu libertad por solo $QUEST_END_ITEM_COUNT$ perlas. ¿Cómo pudiste pasar una oferta así?
PROPQUEST_DUNGEONANDPK_INC_000382,Keep gathering your beads.,Sigue recolectando tus perlas.
PROPQUEST_DUNGEONANDPK_INC_000390,You are welcome to stay for as long as you would like.,Eres bienvenido a quedarte todo el tiempo que quieras.
PROPQUEST_DUNGEONANDPK_INC_000420,Entering the Dekane Mine,Entrando a la Mina Dekane
PROPQUEST_DUNGEONANDPK_INC_000421,You are really willing to enter the Dekane Mine?,¿Seguro que estás dispuesto a entrar a la Mina Dekane?
PROPQUEST_DUNGEONANDPK_INC_000422,"Then visit the Dwarpet, Rankashu, in front of the Dekane Mine.","Después visita al Enano, Rankashu, frente a la Mina Dekane."
PROPQUEST_DUNGEONANDPK_INC_000423,Ha ha ha. Of course not. It is far too frightening.,Ja ja ja. Por supuesto que no. Es demasiado aterrador.
PROPQUEST_DUNGEONANDPK_INC_000424,Here is the Mine Entrance Card. It is up to you to enter but I advise against it. You may die.,Esta es la Tarjeta de Entrada a la Mina. Es tu decision entrar ahí pero te lo advierto una vez más. Puedes morir ahí dentro.
PROPQUEST_DUNGEONANDPK_INC_000425,Is it so hard to tell me what I want to know? Leave quickly.,"¿Es tan difícil decirme lo que quiero saber? Lárgate, rápido."
PROPQUEST_DUNGEONANDPK_INC_000426,Visit the Dwarpet Rankashu and get the information Cell wanted.,Visita al Enano Rankashu y consigue la información que quiere Cell.
PROPQUEST_DUNGEONANDPK_INC_000429,You have the Mine Entrance Card. Now to find out what everyone is so afraid of.,Ya tienes la Tarjeta de Entrada a la Mina. Ahora a descubrir a qué le tienen tanto miedo todos.
PROPQUEST_DUNGEONANDPK_INC_000431,Keakoon in Mine (1),Keakoon en la Mina (1)
PROPQUEST_DUNGEONANDPK_INC_000432,"I am Drian son of Nevil, great chief of the original Keakoon. We were once friendly with the humans.","Soy Drian hijo de Nevil, gran jefe de los Keakoon originales. Una vez fuimos amigos de los humanos."
PROPQUEST_DUNGEONANDPK_INC_000433,We helped humans develop the mine long ago but when they left some of us were locked up by a new breed of Keakoons.,"Ayudamos a los humanos a desarrollar la mina hace mucho tiempo, pero cuando se fueron, algunos de nosotros fuimos encerrados por una nueva raza de Keakoons."
PROPQUEST_DUNGEONANDPK_INC_000434,My father is old and cannot last much longer in his prison. Please help me rescue him.,"Mi padre es viejo y no podrá aguantar mucho más en su prisión. Por favor, ayúdame a rescatarlo."
PROPQUEST_DUNGEONANDPK_INC_000435,"The key to the cell where my father is being kept has three pieces. These false Keakoons are inside, keeping them hidden. Go and bring them to me.","La llave de la celda dónde estoy atrapado está dividida en tres trozos. Estos Keakoons falsos están adentro, manteniéndolos ocultos. Ve y tráemelos."
PROPQUEST_DUNGEONANDPK_INC_000436,How could you? To think I thought to count you as a friend.,¿Cómo pudiste…? Y pensar que te quería como un amigo.
PROPQUEST_DUNGEONANDPK_INC_000437,Oh… Thank you… so much. I could never repay you fully. Thank you so much.,Oh... Muchas... gracias. Nunca podría pagarte por todo. Muchas gracias.
PROPQUEST_DUNGEONANDPK_INC_000438,You have to gather all three pieces of the Key.,Tienes que conseguir los tres trozos de la Llave.
PROPQUEST_DUNGEONANDPK_INC_000439,Hunt Keakoon and get all 3 pieces of the prison key.,Derrota a los Kaekoons y consigue los 3 trozos de la llave de la prisión.
PROPQUEST_DUNGEONANDPK_INC_000442,You have delivered all the pieces of the key but it looks like he still has something to say.,Has entregado todos las trozos de la llave pero parece que todavía tiene algo que decir.
PROPQUEST_DUNGEONANDPK_INC_000444,Keakoon in Mine (2),Kaekoon en la Mina (2)
PROPQUEST_DUNGEONANDPK_INC_000445,I still have a need for you. Would you help me yet again?,Todavía necesito tu ayuda. ¿Me ayudarías una vez más?
