Key,English,French
TUTORIAL_INTRO,"Hello there, I am #b#cffa0a0ffInfo Pang#nc#nb!\n\nI am your guide to survive in #bMadrigal#nb and I have a lot of useful information.\n\nAre you ready to #blearn the lessons#nb needed to survive in this world?\n\nYou can also check the information that you've learned by using my menu.","Bonjour, je m'appelle #b#cffa0a0ffInfo Pang#nc#nb!\n\nJe te guiderai dans #bMadrigal#nb pour te permettre d'y survivre et j'ai un tas d'informations très utiles.\n\nEs-tu prêt à #bsuivre mes conseils#nb pour survivre dans ce monde ?\n\nTu pourras également les retrouver en utilisant mon menu."
TUTORIAL_MOVE_PLAYER_TEXT,"Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]","Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]"
TUTORIAL_MOVE_PLAYER_TITLE,Moving Method,Guide : le déplacement
TUTORIAL_MOVE_PLAYER_CONTENT,"#b#cff0000ff■ Move[[ using mouse|]]#nb#nc\n[[Click left-mouse on|Touch on the screen]] the spot you want to move.[[\n\n#b#cff0000ff■ Move using keyboard#nb#nc\nYou can move your character by pressing keys below.\nForward : W\nBackward : S\nLeftward : A\nRightward : D\n\n#b#cff0000ff■ Walking#nb#nc\nPress X. If you want to run again, then press X again.|]]\n\n#b#cff0000ff■ Jumping#nb#nc\n[[Press SPACE BAR|Long press on the screen]] when you want to jump.","#b#cff0000ff■ Déplacement [[utiliser la souris|]]#nb#nc\n[[Cliquez avec la souris sur|Touchez l'écran]] l'endroit où vous voulez allez. \n\n#b#cff0000ff■ [[Déplacement à l'aide du clavier#nb#nc\nVous pouvez déplacer votre personnage en appuyant sur les touches ci-dessous.\nAvance : Z\nEn arrière : S\nVers la gauche : Q\nVers la droite : D\n\n#b#cff0000ff■ Marche#nb#nc\nAppuyez sur W. Si vous voulez courir, appuyez de nouveau sur W.|]]\n\n#b#cff0000ff■ Saut#nb#nc\n[[Appuyez sur la barre d'espace|longue pression sur l'écran]] lorsque vous voulez sauter."
TUTORIAL_MOVE_PLAYER_KEYBOARD_TEXT,"Character movement by Keyboard is as follows.\n\nForward : W\nBackward : S\nTurn Left : A\nTurn Right : D\n\nEasy, huh? Move your character now.\n\n#cffff0000Clear Condition: Move the character(Keyboard)","Voici la liste des commandes de déplacement au clavier :\n\nEn avant : Z\nEn arrière : S\nTourner à gauche : Q\nTourner à droite : D\n\nFacile, n'est-ce pas ? Essaye de te déplacer !\n\n#cffff0000Objectif : Déplacer votre personnage au clavier."
TUTORIAL_WALK_PLAYER_TEXT,"Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]","Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]"
TUTORIAL_JUMP_PLAYER_TEXT,"Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]","Ensuite, sauter ! Pour sauter, \n\n[[Appuyez sur la barre d'espace. Si vous voulez sauter tout en vous déplaçant, alors appuyez sur la barre espace|appuyez longuement sur l'écran ou touchez le #bbouton de saut en bas à droite#nb de l'écran]] tout en vous déplaçant.\n\n#cffff0000Ojectif : Sauter [[ (Barre d'espace)|]]"
TUTORIAL_ROTATE_CAMERA_TEXT,Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]],Voyons comment fonctionne la caméra :\n\n[[La caméra se manipule avec la souris et le clavier. Commençons par la souris.\n\nDéplacez le curseur de la souris à l'endroit où vous voulez regarder tout en maintenant le clic droit enfoncé|#bFaites glisser votre doigt#nb sur l'écran]] et la caméra tournera.\n\n#cffff0000Objectif : Rotation de la Camera [[ (Souris)|]]
TUTORIAL_ROTATE_CAMERA_TITLE,Camera Manage Method,Guide : manipuler la caméra
TUTORIAL_ROTATE_CAMERA_CONTENT,"#b#cff0000ff■ Change view[[ with mouse|]]#nb#nc\nYou can view any direction just by [[rotating your mouse while pressing on the right button of the mouse|sliding your finger on the screen]].[[\n\n#b#cff0000ff■ Change view with keyboard#nb#nc\nYou can change view by pressing keys below.\nUp : ↑\nDown : ↓\nLeft : ←\nRight : →|]]\n\n#b#cff0000ff■ For zoom in and out#nb#nc\n[[you can use mouse wheel. Also Page Up, Page Down keys can be used for change view step by step|pinch the screen and spread or bring your fingers together]].","#b#cff0000ff■ Pour changez de vue [[avec la souris|]]#nb#nc\n vous pouvez regardez dans n'importe quelle direction simplement en [[déplaçant votre souris| faisant glisser votre doigt sur l'écran]].[[\n\n#b#cff0000ff■ Changer de vue avec le clavier#nb#nc\nvous pouvez changer de vue en appuyant sur les touches ci-dessous.\nHaut : ↑\nEn bas : ↓\nA gauche : ←\nA droite : →|]]\n\n#b#cff0000ff■ pour un zoom avant et arrière#nb#nc\n[[vous pouvez utiliser la molette de la souris. Les touches Page Up, Page Down peuvent également être utilisées pour changer de vue|touchez l'écran et écartez ou rapprochez vos doigts]]."
