Key,English,Vietnamese
PROPMOVER_TXT_000002,Male,Nam
PROPMOVER_TXT_000004,Female,Nữ
PROPMOVER_TXT_000006,Small Aibatt,Aibatt nhỏ
PROPMOVER_TXT_000008,Aibatt,Aibatt
PROPMOVER_TXT_000010,Captain Aibatt,Thuyền trưởng Aibatt
PROPMOVER_TXT_000012,Giant Aibatt,Aibatt khổng lồ
PROPMOVER_TXT_000014,Small Mushpang,Mushpang nhỏ
PROPMOVER_TXT_000016,Mushpang,Mushpang
PROPMOVER_TXT_000018,Captain Mushpang,Thuyền trưởng Mushpang
PROPMOVER_TXT_000020,Giant Mushpang,Mushpang khổng lồ
PROPMOVER_TXT_000022,Small Burudeng,Burudeng nhỏ
PROPMOVER_TXT_000024,Burudeng,Burudeng
PROPMOVER_TXT_000026,Captain Burudeng,Thuyền trưởng Burudeng
PROPMOVER_TXT_000028,Giant Burudeng,Burudeng khổng lồ
PROPMOVER_TXT_000030,Small Pukepuke,Pukepuke nhỏ
PROPMOVER_TXT_000032,Pukepuke,Pukepuke
PROPMOVER_TXT_000034,Captain Pukepuke,Thuyền trưởng Pukepuke
PROPMOVER_TXT_000036,Giant Pukepuke,Pukepuke khổng lồ
PROPMOVER_TXT_000038,Small Peakyturtle,Peakyturtle nhỏ
PROPMOVER_TXT_000040,Peakyturtle,Peakyturtle
PROPMOVER_TXT_000042,Captain Peakyturtle,Thuyền trưởng Peakyturtle
PROPMOVER_TXT_000044,Giant Peakyturtle,Peakyturtle khổng lồ
PROPMOVER_TXT_000046,Urchin Demian,Urchin Demian
PROPMOVER_TXT_000048,Demian,Demian
PROPMOVER_TXT_000050,Bad Demian,Demian xấu xa
PROPMOVER_TXT_000052,Giant Demian,Demian khổng lồ
PROPMOVER_TXT_000054,Small Doridoma,Doridoma nhỏ
PROPMOVER_TXT_000056,Doridoma,Doridoma
PROPMOVER_TXT_000058,Captain Doridoma,Thuyền trưởng Doridoma
PROPMOVER_TXT_000060,Giant Doridoma,Doridoma khổng lồ
PROPMOVER_TXT_000062,Young Lawolf,Lawolf trẻ
PROPMOVER_TXT_000064,Lawolf,Lawolf
PROPMOVER_TXT_000066,Grownup Lawolf,Lawolf trưởng thành
PROPMOVER_TXT_000068,Giant Lawolf,Lawolf khổng lồ
PROPMOVER_TXT_000070,1st Class Fefern,Fefern hạng 1
PROPMOVER_TXT_000072,Fefern,Fefern
PROPMOVER_TXT_000074,2nd Class Fefern,Fefern hạng 2
PROPMOVER_TXT_000076,Giant Fefern,Fefern khổng lồ
PROPMOVER_TXT_000078,Cute Nyangnyang,Nyangnyang dễ thương
PROPMOVER_TXT_000080,Nyangnyang,Nyangnyang
PROPMOVER_TXT_000082,Creep Nyangnyang,Nyangnyang ghê rợn
PROPMOVER_TXT_000084,Giant Nyangnyang,Nyangnyang khổng lồ
PROPMOVER_TXT_000086,Bang,Bang
PROPMOVER_TXT_000088,Captain Bang,Thuyền trưởng Bang
PROPMOVER_TXT_000090,Boss Bang,Ông Trùm Bang
PROPMOVER_TXT_000092,Giant Bang,Bang khổng lồ
PROPMOVER_TXT_000094,Small Wagsaac,Wagsaac nhỏ
PROPMOVER_TXT_000096,Wagsaac,Wagsaac
PROPMOVER_TXT_000098,Captain Wagsaac,Thuyền trưởng Wagsaac
PROPMOVER_TXT_000100,Giant Wagsaac,Wagsaac khổng lồ
PROPMOVER_TXT_000102,Small Mia,Mia nhỏ
PROPMOVER_TXT_000104,Mia,Mia
PROPMOVER_TXT_000106,Captain Mia,Thuyền trưởng Mia
PROPMOVER_TXT_000108,Giant Mia,Mia khổng lồ
PROPMOVER_TXT_000110,Stale Mr. Pumpkin,Mr. Pumpkin cũ rích
PROPMOVER_TXT_000112,Mr. Pumpkin,Mr. Pumpkin
PROPMOVER_TXT_000114,Rotten Mr Pumpkin,Mr. Pumpkin sa đọa
PROPMOVER_TXT_000116,Giant Mr. Pumpkin,Mr. Pumpkin khổng lồ
PROPMOVER_TXT_000118,Red Mantis C,Red Mantis C
PROPMOVER_TXT_000120,Red Mantis B,Red Mantis B
PROPMOVER_TXT_000122,Red Mantis A,Red Mantis A
PROPMOVER_TXT_000124,Giant Red Mantis,Red Mantis khổng lồ
PROPMOVER_TXT_000126,Small Jack the Hammer,Jack the Hammer nhỏ
PROPMOVER_TXT_000128,Jack the Hammer,Jack the Hammer
PROPMOVER_TXT_000130,Captain Jack the Hammer,Thuyền trưởng Jack the Hammer
PROPMOVER_TXT_000132,Giant Jack the Hammer,Jack the Hammer không lồ 
PROPMOVER_TXT_000134,Small Giggle Box,Giggle Box nhỏ
PROPMOVER_TXT_000136,Giggle Box,Giggle Box
PROPMOVER_TXT_000138,Captain Giggle Box,Thuyền trưởng Giggle Box
PROPMOVER_TXT_000140,Giant Giggle Box,Giggle Box khổng lồ
PROPMOVER_TXT_000142,Small Rock Muscle,Rock Muscle nhỏ
PROPMOVER_TXT_000144,Rock Muscle,Rock Muscle
PROPMOVER_TXT_000146,Captain Rock Muscle,Thuyền trưởng Rock Muscle
PROPMOVER_TXT_000148,Giant Rock Muscle,Rock Muscle khổng lồ
PROPMOVER_TXT_000150,Small Hobo,Hobo nhỏ
PROPMOVER_TXT_000152,Hobo,Hobo
PROPMOVER_TXT_000154,Captain Hobo,Thuyền trưởng Hobo
PROPMOVER_TXT_000156,Giant Hobo,Hobo khổng lồ
PROPMOVER_TXT_000158,Small Dumb Bull,Dumb Bull nhỏ
PROPMOVER_TXT_000160,Dumb Bull,Dumb Bull
PROPMOVER_TXT_000162,Captain Dumb Bull,Thuyền trưởng Dumb Bull
