Key,English,Russian
NPC_WHOAREYOU,Who are you?,Кто ты такой?
NPC_GOODBYE,Goodbye!,Пока!
NPC_CARGO,CARGO,ГРУЗЫ
NPC_WHATSGOINGON,What's going on?,Что происходит?
NPC_EXIT,Exit,Выход
NPC_HOWTOFLY,How to Fly,Как научиться летать
NPC_COMBATFLYING,Combat Flying,Сражения в воздухе
NPC_IDCARD,ID CARD,Пропуск
NPC_WHATABOUTTHEMINE,What about the mine?,Что насчёт шахты?
NPC_MOVE,Move,Переместиться к игроку
NPC_FORHONOR,For Honor!,Во имя чести!
NPC_FORFUN,For Fun!,Во имя веселья!
NPC_MEHJUSTBECAUSE,"Meh, just because?","Мммм, просто так?"
NPC_YES_ENTER,Yes_Enter,Да_Enter
NPC_NO_ENTER,No_Enter,Нет_Enter
NPC_WHEREAMI,Where am I?,Где я?
NPC_MAKEANAPPOINTMENT,Make an appointment,Назначить встречу
NPC_FINALIZESTATSELECTION,Finalize Stat selection,Завершить выбор характеристик
NPC_DEKANEMINE,Dekane Mine,Шахта Распада
NPC_CELL,Cell,Селл
NPC_AZRIAMINE,Azria Mine,Шахта Азрии
NPC_CURSEDSYMBOL,Cursed Symbol,Проклятый символ
NPC_GIVESYMBOL,Give the Symbol,Отдать Символ
NPC_HAELLETTER,Hael's Letter,Письмо Хеля
NPC_GIVELETTER,Give Letter,Отдать Письмо
NPC_TREASURE_BOX,Treasure,Сокровище
NPC_LOSTMEMORIES,Lost Memories,Потерянные воспоминания
NPC_BREWINGPOTIONS,Brewing Potions,Сварить зелья
NPC_THECURE,The Cure,Лечение
NPC_GUIDETOFLYING,Guide to Flying,Учебник пилота
NPC_GUIDETOCOMBATFLYING,Guide to Combat Flying,Учебник по воздушным боям
NPC_SHOPS,Shops?,Магазины?
NPC_DEATH,Death?,Смерть?
NPC_RECEIVEADDITIONALREWARDS,Receive additional rewards,Получить дополнительные награды
NPC_000044,"Welcome to Keakoon, human! I've got a favor to ask... C'mere!","Добро пожаловать к свинам, человек! У меня есть к тебе просьба... Псс, подойти!"
NPC_000045,Fathers Package,Свёрток отца
NPC_000046,"Hrrmph! How strange... How did a human like you manage to get in here, anyway?",Хммм! Как странно... И как же такой человечишка смог сюда пробраться?
NPC_000047,"Thank you for saving my father, human. So what brings you here?","Спасибо, что спас моего отца, человек. Так что привело тебя сюда?"
NPC_000048,"Please, save my father. He's imprisoned east of here! Hurry!","Пожалуйста, спаси моего отца. Он в заточении к востоку отсюда! Поторопись!"
NPC_000049,"Hrrmph, listen... I don't know how you found this place, and I don't care. Leave now! This place is too dangerous for your kind.","Хмммм, слушай... Я не знаю, как ты нашёл это место, да это и не важно. Уходи сейчас же! Тут слишком опасно для таких как ты."
NPC_000050,"Hrrmph! I am Drian - Son of Nevil, the Patriarch of Keakoon. You people look down on us, but you're the inferior ones!","Хрррр! Я Драйн, сын Невила, великого вождя благородных хряков. Вы, люди, смотрите на нас свысока, но какие же вы на самом деле никчёмные!"
NPC_000051,"This place is too dangerous for the likes of you, silly human. Go home!","Это место слишком опасно для подобных тебе, глупый человечишка. Возвращайся, откуда пришёл!"
NPC_000052,Here is the package my father left me... Hrrmph!,"Это свёрток, оставленным мне отцом.... Хрррр!"
NPC_000053,*Sigh* this might take a while...,"Эх, это займёт некоторое время..."
NPC_000054,"What? A human?! Here?!? Muahahahah!!! You're either brave or not all there in the head, buddy.","Что? Человечишка? Тут?!? Ахахахаха!!! Ты либо храбрец, либо безумец - другого не дано."
NPC_000055,"Ewww!! A hew-mann... Your kind is not welcome here. Get out of my sight, vermin!",Фу!! Чело-век... Таких как ты здесь не любят. Сгинь с глаз моих!
NPC_000056,Who am I? Hah! Liked I'd consort with the likes of a human. Get lost!,Кто я? Ха! Будто бы я отвечу какому-то человеку. Убирайся!
NPC_000057,"Beat it, human! You're not welcome here!","Запомни, человечишка! Тебе тут не рады!"
NPC_000058,*Whistles*,Присвистывает*
NPC_000059,"Gwarrll! You just gonna stand there, or are you gonna get me out of here? You know, people don't necessarily like to be stared at...","Гррр! Ты так и будешь просто стоять, или всё-таки поможешь мне выбраться? Знаешь, не всем нравится, когда на них пялятся..."
NPC_000060,"Garr!! I've not seen a human in years! I am Nevil, the honorable Patriarch of Keakoon.","Гарррр!! Я уже годы не видел людей! Я Невил, великий вождь благородных хряков."
NPC_000061,"*Snort!* A human, eh? Very interesting... I haven't seen one of you weirdos in years! See ya later!","Хрю!* Человечишка, да? Ну надо же... Я уже годы не видел таких, как ты! Пока!"
NPC_000062,Feel free to come see me whenever you are in need of magical goods.,"Не стесняйтесь приходить ко мне, когда вам понадобятся магические товары."
NPC_000063,Nice to meet you. Have you also come to research the magical fields surrounding the islands?,"Рад нашей встрече. Вы тоже исследуете магические поля, окружающие эти острова?"
NPC_000064,My name is Ciel and I am doing research on the various magical phenomena in the area.,Меня зовут Сель. Я провожу исследования различных магических странностей в округе.
NPC_000065,Farewell!,Прощайте!
NPC_000066,Come to me if you seek absolution.,"Приди ко мне, если ты ищешь отпущения грехов."
NPC_000067,Are you here for confession?,Ты здесь для исповеди?
NPC_000068,Your aura shines brightly. May it never again lose its brilliance.,Твоя аура ярко сияет. Пусть она никогда больше не потеряет своего блеска!
NPC_000069,I am a shepherd who helps sinners find their way back to the path of righteousness. Come to me if you wish to be cleansed.,"Я пастырь, который помогает грешникам вернуться на путь праведности. Приди ко мне, если хочешь очиститься."
NPC_000070,Get the key from one of the criminal Masquerpets. Once you get the key you can enter the Warp Zone in the mountains.,Получи ключ от одного из этих злодейских марионеток. Как раздобудешь его - сможешь воспользоваться порталом в горах.
NPC_000071,"Good luck to you, stranger. Try not to get caught again, okay?","Удачи тебе, странник. Постарайся больше не попадаться, хорошо?"
NPC_000072,"You will not survive here without a shield, friend.","Без щита ты здесь не выживешь, друг."
NPC_000073,Huh? Do you want something from me? Then speak up!,Чего? Что-то хочешь от меня? Тогда не молчи!
NPC_000074,"My name is Rocbin and I came here for a number of reasons, none of which I would like to discuss with you at this time. Now shoo!","Меня зовут Рокбин и я здесь по ряду причин, которые я не желаю сейчас обсуждать с тобой. А теперь кыш!"
NPC_000075,Take care! ,Береги себя!
NPC_000076,Looking to work on your terrible equipment? Allow me to assist you!,Хочешь что-то с делать со своим ужасным обмундированием? Ну давай помогу!
NPC_000077,Hahaha! You look like the rest of those felons. What brings you here?,Ха-ха-ха! Ты ничем не отличаешься от остальных разбойников. Что же привело тебя сюда?
NPC_000078,"Greetings, adventurer! I am Shun, your friendly neighborhood arms dealer. I don't care who you are, a customer is a customer. Come right over and buy my gear!","Приветствую, странник! Я Шун, ваш любезный продавец обмундирования. Мне нет дело до того, кто вы такой - покупатель есть покупатель. Подойдите, посмотрите на мои товары!"
NPC_000079,Hehehe! Alright I hope we can hang out together someday.,"Хе-хе-хе! Хорошо, я надеюсь, что когда-нибудь мы сможем потусоваться вместе."
NPC_000080,I sell supplies to the weary adventurer. I've got everything you need!,"Я продаю припасы усталым искателям приключений. У меня есть все, что тебе нужно!"
NPC_000081,You look like you have something to tell me...,"Похоже, тебе есть что мне сообщить..."
NPC_000082,My name is Yuna. I believe you will find my food and medicine reasonably priced.,"Меня зовут Юна. Надеюсь, ты сочтёшь цену на припасы и зелья справедливой."
NPC_000083,"Come one, come all! Visit Achaben's General Shop for your adventuring needs! *cough*","Заходите, заходите! В магазине Апчхена есть всё, что нужно для приключений! *кхе-кхе*"
NPC_000084,May I help you?,Позволите помочь вам?
NPC_000085,"*Cough* I am happy to have a *wheeez* customer! If you need it, we have it... *cough* *huck* You wouldn't happen to have some cough medicine, would you?","Хр-хр! Рад видеть *вздох* покупателя! Если вам что-то нужно, мы всё найдём... *кашль* *вздох* У тебя случайно нет противокашлевого средства?"
NPC_000086,"*Ha-CHEW!* Sorry about that, allow me to clear my throat. *AHEM* My name is Achaben, and I run the General Shop here in Darken City. *cough*","АПЧХИ!* Извини за это, я немного не в форме. *КХМ-КХМ!!* Меня зовут Апчхен и я держу лавку тут в Дарконе. *апчхи!*"
NPC_000087,Thank you for your patronage! Come back and visit sometime! Bring some cough medicine!,"Спасибо огромное! Заходите, как будете в городе! И не забудьте лекарство для меня!"
NPC_000088,#b#cff0001ffFlying Information#nc#nb is available here! I also have #b#cffff0000flying boards and brooms#nc#nb in stock!,Инструкции по полётам#nc#nb есть в наличии! А также #b#cffff0000летающие доски и мётлы#nc#nb в ассортименте!
NPC_000089,What do you want to do?,Куда отправимся?
NPC_000090,"Flying through the clouds high above Madrigal is my favorite dream come true. I would be flying right now, but I'm having some family trouble and I need to pay the bills!","Полёты сквозь облака над Мадригалом - исполнившаяся мечта всей моей жизни. Я бы и сейчас летал, но у меня небольшие семейные проблемы и я по уши в долгах."
NPC_000091,"My name is Almani, and I run the Station here in Darken city. I sell flying boards and brooms in addition to teaching the basics of flying.","Меня зовут Алан, управляющий портом в Дарконе. Я продаю метлы и доски для полётов, а в свободное время обучаю основам лётного мастерства."
NPC_000092,"1. First, you'll need to buy a broom or a board and be at least level 20 in order to fly. \n 2. Next, double-click the board or broom in your inventory or simply move it to a hot key to climb aboard.","Сначала купите метлу или доску и достигните 20 уровня, чтобы полететь.\n 2. Затем дважды кликните по доске или метле в инвентаре или переместите на клавишу быстрого доступа, чтобы сесть верхом."
NPC_000093,3. Press the Space Bar to accelerate your flying vehicle. Press the Space Bar key again while moving to stop. Think of the accelerator like a toggle button for *Go* and *Stop*.,"Нажмите Пробел, чтобы разогнать транспортное средство. Нажмите Пробел ещё раз во время движения, чтобы остановиться. Представьте себе, что ускоритель — это кнопка *Вперёд* и *Стоп*."
NPC_000094,"4. To navigate, you can simply hold the Right Mouse Button down and angle the camera in the direction that you want to go.\n Alternatively, you can also use the W, A, S and D controls to turn.","Чтобы управлять направлением, удерживайте Правую клавишу мыши и наведите камеру туда, куда хотите повернуть.\n Альтернативно, используйте клавиши W, A, S, D."
NPC_000095,"5. Additionally, you can simply tap the Right Mouse Button twice to lock the camera to the mouse pointer. This allows you to navigate without holding down the right mouse button. Clicking twice again will turn off this effect.","Также можно дважды щёлкнуть правой кнопкой мыши, чтобы зафиксировать камеру за курсором. Это позволит управлять направлением, не зажимая правую кнопку. Дважды кликните ещё раз, чтобы отключить эффект."
NPC_000096,6. Anyone can fly in Madrigal. You simply have to acquire a flying vehicle!\n 7. There are numerous makes and models of flying vehicles. Trying shopping around in player shops or click the Use Premium Item Shop icon next to the Start Button.,Любой может летать в Мадригале. Нужно лишь обзавестись летающим средством!\n 7. Существует множество марок и моделей. Поищайте в магазинах игроков или нажмите иконку Премиум-магазина рядом с кнопкой Старт.
NPC_000097,"I hope the information I gave you was helpful. You're on your own now, aviator! See you in the clouds!","Надеюсь, моя помощь была полезной. Теперь ты сам по себе! Встретимся в облаках!"
NPC_000098,"1. Occasionally, you will run into some pesky masquerpets while flying. You will see a red box surrounding them.",Периодически на пути попадутся назойливые маск-питомцы. Вы увидите красную рамку вокруг них.
NPC_000099,"2. You can target these creatures with the Left Mouse Button. If you lose sight of them while flying, a green arrow appears on the edge of the screen to indicate which direction you need to turn. ","Вы можете прицелиться по этим существам левой кнопкой мыши. Если потеряете их из виду, зелёная стрелка на краю экрана покажет направление."
NPC_000100,"3. To attack the creature, simply get as close as you can and press the Left Mouse Button or the Insert Key.\n 4. If you want to follow the monster automatically, press the Z Key.","Чтобы атаковать, подойдите поближе и нажмите левую кнопку мыши или клавишу Insert.\n 4. Если хотите следовать за монстром автоматически, нажмите клавишу Z."
NPC_000101,5. Magicians and Acrobats can shoot from range while in the air. Mercenaries and Assists must rely on melee attacks. You can also use your skills!,Маги и Акробаты могут стрелять с дистанции в полёте. Наёмникам и Поддержке придётся полагаться на ближний бой. Также используйте свои навыки!
NPC_000102,"6. When you destroy a flying masquerpet, any dropped loot will be placed into your inventory automatically. If there is no room in your inventory, the loot is lost, so be careful!","После уничтожения летающего маск-питомца добыча будет автоматически добавлена в инвентарь. Если места нет, добыча пропадёт, будьте осторожны!"
NPC_000103,"7. That about covers it for your flying combat training, cadet! Just one more thing... Don't crash and burn! Hahaha, just a little pilot humor.","Это всё для вашей подготовки к воздушным боям, кадет! Ещё одно... Не разбивайтесь! Хахаха, просто пилотское чувство юмора."
NPC_000104,Have fun out there and be safe! Don't forget to check your six!,Хорошо провести время! И будь осторожнее!
NPC_000105,"Goodbye, adventurer! Feel free to stop by again if you have any questions about flying.","Удачи, путешественник! Если ещё будут вопросы о полётах - заходи."
NPC_000106,The Red Bang Troupe will never break through our defenses as long as I'm here!,"Никто из Труппы товарищей не сможет натворить дел, пока я на страже!"
NPC_000107,"Hello, traveler. I have some missions for you!","Приветствую, странник. У меня есть несколько миссий для тебя!"
NPC_000108,"Greetings, traveler! You are welcome to visit the Erons Factory as long as I, Amadolka, am here. It can get pretty dangerous out here so watch your back!","Приветствую, путник! Рады видеть вас на Эрониевой Фактории всегда, когда я, Амадолар, на месте. Тут может быть довольно опасно, так что осторожнее!"
NPC_000109,My name is Amadolka Liviehindekinas. I am in charge of security here at the Erons Factory. Why do you ask?,Амадолар Ливьехиндекинас к вашим услугам. Я отвечаю за безопасность на Эрониевой фактории. А почему тебе так это интересно?
