Key,English,Simplified_Chinese
PROPITEMETC_INC_000001,Leaf Set,生命套装
PROPITEMETC_INC_000002,Parmil Set,游击套装
PROPITEMETC_INC_000003,Flower Set,海风套装
PROPITEMETC_INC_000004,Petal Set,蔚蓝套装
PROPITEMETC_INC_000005,Stinger Set,梳棉套装
PROPITEMETC_INC_000006,Slepint Set,帆布套装
PROPITEMETC_INC_000007,Curus Set,嫩蕊套装
PROPITEMETC_INC_000008,Sardine Set,礼节套装
PROPITEMETC_INC_000009,Niz Set,小魔女套装
PROPITEMETC_INC_000010,Seer Set,魔力套装
PROPITEMETC_INC_000011,Cylos Set,荷边套装
PROPITEMETC_INC_000012,Comet Set,彗星套装
PROPITEMETC_INC_000013,Miracle Set,磨白套装
PROPITEMETC_INC_000014,Layered Set,牛仔套装
PROPITEMETC_INC_000015,Sayram Set,花瓣套装
PROPITEMETC_INC_000016,Talin Set,镶铜套装
PROPITEMETC_INC_000017,Merr Set,雪兰套装
PROPITEMETC_INC_000018,Sorain Set,月白套装
PROPITEMETC_INC_000019,Stitch Set,金丝套装
PROPITEMETC_INC_000020,Panggril Set,镶边套装
PROPITEMETC_INC_000021,Hyper Set,红晴套装
PROPITEMETC_INC_000022,Cruiser Set,抽带套装
PROPITEMETC_INC_000023,Flury Set,水蓝套装
PROPITEMETC_INC_000024,Wedge Set,枫叶套装
PROPITEMETC_INC_000025,Misty Set,魔纹套装
PROPITEMETC_INC_000026,Teba Set,符文套装
PROPITEMETC_INC_000027,Recorn Set,工装套装
PROPITEMETC_INC_000028,Rescorn Set,迷你套装
PROPITEMETC_INC_000029,Rebron Set,铩羽套装
PROPITEMETC_INC_000030,Restron Set,红怜套装
PROPITEMETC_INC_000031,Shurand Set,洗礼套装
PROPITEMETC_INC_000032,Shuran Set,苜蓿套装
PROPITEMETC_INC_000033,Ahes Set,巫士套装
PROPITEMETC_INC_000034,Anoos Set,巫女套装
PROPITEMETC_INC_000035,Warpon Set,镀金套装
PROPITEMETC_INC_000036,Warspon Set,闪金套装
PROPITEMETC_INC_000037,Wees Set,灿烂套装
PROPITEMETC_INC_000038,Weeshian Set,绚丽套装
PROPITEMETC_INC_000039,Ectro Set,华月套装
PROPITEMETC_INC_000040,Extro Set,华月套装
PROPITEMETC_INC_000041,Einy Set,钢翼套装
PROPITEMETC_INC_000042,Akan Set,烙朱套装
PROPITEMETC_INC_000043,Dayst Set,炙螯套装
PROPITEMETC_INC_000044,Dest Set,火凤套装
PROPITEMETC_INC_000045,Hanes Set,木莲套装
PROPITEMETC_INC_000046,Haganes Set,圣莲套装
PROPITEMETC_INC_000047,Katria Set,玄莫套装
PROPITEMETC_INC_000048,Kanarin Set,玄颖套装
PROPITEMETC_INC_000049,Restra Set,链骨套装
PROPITEMETC_INC_000050,Rasra Set,链纹套装
PROPITEMETC_INC_000051,Neis Set,龙隐套装
PROPITEMETC_INC_000052,Neition Set,龙心套装
PROPITEMETC_INC_000053,Oska Set,风蛇套装
PROPITEMETC_INC_000054,Okas Set,炼蛇套装
PROPITEMETC_INC_000055,Asren Set,紫引套装
PROPITEMETC_INC_000056,Aren Set,紫琼套装
PROPITEMETC_INC_000057,Tyrent Set,龙羽套装
PROPITEMETC_INC_000058,Tight Set,龙葵套装
PROPITEMETC_INC_000059,Pact Set,护法套装
PROPITEMETC_INC_000060,Paxt Set,卡莲套装
PROPITEMETC_INC_000061,Shupon Set,契约套装
PROPITEMETC_INC_000062,Shrian Set,惊云套装
PROPITEMETC_INC_000063,Navil Set,典礼套装
PROPITEMETC_INC_000064,Neclus Set,圣恩套装
PROPITEMETC_INC_000065,Alext Set,束巾套装
PROPITEMETC_INC_000066,Ales Set,豌花套装
PROPITEMETC_INC_000067,Akent Set,莫语套装
PROPITEMETC_INC_000068,Aken Set,莫言套装
PROPITEMETC_INC_000069,Rody Set,凋零套装
PROPITEMETC_INC_000070,Rodey Set,残雪套装
PROPITEMETC_INC_000071,Ropang Set,邪念套装
PROPITEMETC_INC_000072,Roshel Set,心念套装
PROPITEMETC_INC_000073,Geniun Set,魔尘套装
PROPITEMETC_INC_000074,Gynas Set,魔魅套装
PROPITEMETC_INC_000075,Mekatro Set,须眉套装
PROPITEMETC_INC_000076,Mekaron Set,巾帼套装
PROPITEMETC_INC_000077,Myuran Set,焰摆套装
PROPITEMETC_INC_000078,Myurian Set,椒花套装
PROPITEMETC_INC_000079,Elder Set,落英套装
PROPITEMETC_INC_000080,Ellean Set,梦羽套装
PROPITEMETC_INC_000081,Shabel Set,博学套装
PROPITEMETC_INC_000082,Shurian Set,银翼套装
PROPITEMETC_INC_000131,Knighert Set,天狼套装
PROPITEMETC_INC_000132,Knighz Set,和树套装
PROPITEMETC_INC_000133,Blain Set,心树套装
PROPITEMETC_INC_000134,Virain Set,疏楼套装
PROPITEMETC_INC_000135,Jesis Set,静谧套装
PROPITEMETC_INC_000136,Jenes Set,魔龙套装
PROPITEMETC_INC_000137,Ranerz Set,凌飞套装
PROPITEMETC_INC_000138,Raze Set,海椒套装
PROPITEMETC_INC_000139,Rimyth Set,仪式套装
PROPITEMETC_INC_000140,Remingster Set,恩宠套装
PROPITEMETC_INC_000141,Billst Set,残落套装
PROPITEMETC_INC_000142,Billporon Set,折日套装
PROPITEMETC_INC_000143,Psykon Set,皓白套装
PROPITEMETC_INC_000144,Psyuniper Set,惨淡套装
PROPITEMETC_INC_000145,Ellis Set,哲学套装
PROPITEMETC_INC_000146,Ellsis Set,折翼套装
PROPITEMETC_INC_000147,PvE Cruentus Set,PvE 血腥骑士套装
PROPITEMETC_INC_000148,PvE Cruenta Set,PvE血腥骑士套装
PROPITEMETC_INC_000149,PvE Noctis Set,PvE血腥刀锋套装
PROPITEMETC_INC_000150,PvE Nox Set,PvE血腥刀锋套装
PROPITEMETC_INC_000151,PvE Velox Set,PvE 血腥暗杀套装
PROPITEMETC_INC_000152,PvE Valentis Set,PvE 血腥暗杀套装
PROPITEMETC_INC_000153,PvE Acer Set,PvE血腥游侠套装
PROPITEMETC_INC_000154,PvE Acris Set,PvE血腥游侠套装
PROPITEMETC_INC_000155,PvE Revenio Set,PvE血腥守护套装
PROPITEMETC_INC_000156,PvE Revenis Set,PvE血腥守护套装
PROPITEMETC_INC_000157,PvE Grim Set,PvE血腥暴力套装
PROPITEMETC_INC_000158,PvE Gravis Set,PvE血腥暴力套装
PROPITEMETC_INC_000159,PvE Twilight Set,PvE血腥精神套装
PROPITEMETC_INC_000160,PvE Eclipse Set,PvE血腥精神套装
PROPITEMETC_INC_000161,PvE Nanemvis Set,PvE血腥元素套装
PROPITEMETC_INC_000162,PvE Namavis Set,PvE血腥元素套装
PROPITEMETC_INC_000163,PvP Obsidian Cruentus Set,PvP 黑曜石血腥骑士套装
PROPITEMETC_INC_000164,PvP Obsidian Cruenta Set,PvP 黑曜石血腥骑士套装
PROPITEMETC_INC_000165,PvP Obsidian Noctis Set,PvP 黑曜石血腥刀锋套装
PROPITEMETC_INC_000166,PvP Obsidian Nox Set,PvP 黑曜石血腥刀锋套装
PROPITEMETC_INC_000167,PvP Obsidian Velox Set,PvP 血腥暗杀套装
PROPITEMETC_INC_000168,PvP Obsidian Valentis Set,PvP 黑曜石血腥暗杀套装
PROPITEMETC_INC_000169,PvP Obsidian Acer Set,PvP 黑曜石血腥游侠套装
PROPITEMETC_INC_000170,PvP Obsidian Acris Set,PvP 血腥游侠套装
PROPITEMETC_INC_000171,PvP Obsidian Revenio Set,PvP 黑曜石血腥守护套装
PROPITEMETC_INC_000172,PvP Obsidian Revenis Set,PvP 黑曜石血腥守护套装
PROPITEMETC_INC_000173,PvP Obsidian Grim Set,PvP 黑曜石血腥暴力套装
PROPITEMETC_INC_000174,PvP Obsidian Gravis Set,PvP 黑曜石血腥暴力套装
PROPITEMETC_INC_000175,PvP Obsidian Twilight Set,PvP 黑曜石血腥精神套装
PROPITEMETC_INC_000176,PvP Obsidian Eclipse Set,PvP 黑曜石血腥精神套装
PROPITEMETC_INC_000177,PvP Obsidian Nanemvis Set,PvP 黑曜石血腥元素套装
PROPITEMETC_INC_000178,PvP Obsidian Namavis Set,PvP 黑曜石血腥元素套装
PROPITEMETC_INC_000179,Cryro Set,辉煌套装
PROPITEMETC_INC_000180,Cyrent Set,鬼火套装
PROPITEMETC_INC_000181,Forrben Set,天龙套装
PROPITEMETC_INC_000182,Forrain Set,圣歌套装
PROPITEMETC_INC_000183,Naneon Set,觉醒套装
PROPITEMETC_INC_000184,Nanex Set,圣甲套装
PROPITEMETC_INC_000185,Vizes Set,沧海套装
PROPITEMETC_INC_000186,Vizith Set,丝暮套装
PROPITEMETC_INC_000187,Keinos Set,祝福套装
PROPITEMETC_INC_000188,Keisan Set,玄气套装
PROPITEMETC_INC_000189,Ouken Set,拯救套装
PROPITEMETC_INC_000190,Oukest Set,碧海套装
PROPITEMETC_INC_000191,Peinn Set,黯夜套装
PROPITEMETC_INC_000192,Penel Set,黯月套装
PROPITEMETC_INC_000193,Quinox Set,苍天套装
PROPITEMETC_INC_000194,Quition Set,魔槐套装
PROPITEMETC_INC_000195,FWC Golden Cryro Set,FWC黄金辉煌套装
PROPITEMETC_INC_000196,FWC Golden Cyrent Set,FWC黄金鬼火套装
PROPITEMETC_INC_000197,FWC Golden Forrben Set,FWC黄金天龙套装
PROPITEMETC_INC_000198,FWC Golden Forrain Set,FWC黄金圣歌套装
PROPITEMETC_INC_000199,FWC Golden Naneon Set,FWC黄金觉醒套装
PROPITEMETC_INC_000200,FWC Golden Nanex Set,FWC黄金圣甲套装
PROPITEMETC_INC_000201,FWC Golden Vizes Set,FWC黄金沧海套装
PROPITEMETC_INC_000202,FWC Golden Vizith Set,FWC黄金丝暮套装
PROPITEMETC_INC_000203,FWC Golden Keinos Set,FWC黄金祝福套装
PROPITEMETC_INC_000204,FWC Golden Keisan Set,FWC黄金玄气套装
PROPITEMETC_INC_000205,FWC Golden Ouken Set,FWC黄金拯救套装
PROPITEMETC_INC_000206,FWC Golden Oukest Set,FWC黄金碧海套装
PROPITEMETC_INC_000207,FWC Golden Peinn Set,FWC黄金黯夜套装
PROPITEMETC_INC_000208,FWC Golden Penel Set,FWC黄金黯月套装
PROPITEMETC_INC_000209,FWC Golden Quinox Set,FWC黄金苍天套装
PROPITEMETC_INC_000210,FWC Golden Quition Set,FWC黄金魔槐套装
PROPITEMETC_INC_000211,Warbringer's Set,战魂套装
PROPITEMETC_INC_000212,Sentinel's Set,御卫套装
PROPITEMETC_INC_000213,Spellweaver's Set,织法套装
PROPITEMETC_INC_000214,Hawkeye's Set,鹰眼套装
PROPITEMETC_INC_000215,Champion's Set,圣武士套装
PROPITEMETC_INC_000216,Defender's Set,圣骑士套装
PROPITEMETC_INC_000217,Adept's Set,天侍神套装
PROPITEMETC_INC_000218,Marksman's Set,神射手套装
PROPITEMETC_INC_000288,Manebound Set,驭鬃套装
PROPITEMETC_INC_000289,Manetress Set,鬃影套装
PROPITEMETC_INC_000290,Lycanith Set,恐狼套装
PROPITEMETC_INC_000291,Lyceris Set,霜狼套装
PROPITEMETC_INC_000292,Wingwalker Set,踏翼套装
PROPITEMETC_INC_000293,Wingwander Set,翔翼套装
PROPITEMETC_INC_000294,Fennith Set,霜风套装
PROPITEMETC_INC_000295,Fennia Set,凛霜套装
PROPITEMETC_INC_000296,Luminis Set,辉光套装
PROPITEMETC_INC_000297,Luminia Set,莹光套装
PROPITEMETC_INC_000298,Tigraknar Set,虎踞套装
PROPITEMETC_INC_000299,Tigressa Set,虎姬套装
PROPITEMETC_INC_000300,Primamind Set,元智套装
PROPITEMETC_INC_000301,Primalix Set,元念套装
PROPITEMETC_INC_000302,Drakorin Set,龙铠套装
