Key,English,Portuguese
UI_EVENT_EXPBOOST,EXP Boost!,Bônus de Experiência!
UI_EVENT_ACCESSORYUPGRADE,Accessory Upgrading!,Fortalecimento de Acessórios!
UI_EVENT_WEAPONPIERCING,Weapon Piercing!,Perfuração de Arma!
UI_EVENT_PARTYEXPBOOST,Party EXP Boost!,Bônus de Experiência de Grupo!
UI_EVENT_GOLDENAIBATT,Find the Golden Aibatt!,Ache o Aibatt Dourado!
UI_EVENT_GOLDENAIBATT_DESC,Kill the Golden Aibatt in dungeons and get drop bonuses!,Elimine o Aibaitt Dourado nas masmorras e ganhe bônus de drop!
UI_EVENT_NIGHTBOOST,Night Boost!,Bônus Noturno!
UI_EVENT_NIGHTBOOST_DESC,+30% EXP when it's night in-game!,+30% EXP quando é noite no jogo!
UI_EVENT_NIGHTBOOST_NIGHT,It's night! x1.3 EXP!,É noite! x1.3 EXP!!
UI_EVENT_NIGHTBOOST_DAY,"The sun is up, x1.3 EXP has ended...","O Sol está aqui, acabou o +30% EXP..."
UI_EVENT_EASTER,Easter Event,Evento de Páscoa
UI_EVENT_EASTER_DESC,Complete Eggcellent's Meadow to get Pink Easter Eggs!,Complete o Campo Eggcelente para ganhar Ovos de Páscoa Rosa!
UI_EVENT_SPRING,Spring Event!,Evento de Primavera!
UI_EVENT_DIAMONDINTHESKY,Diamond in the Sky,Diamante no céu
UI_EVENT_DIAMONDINTHESKY_DESC,Destroy the stars in the night sky to obtain star fragments!,Destrua estrelas no céu da noite para obter fragmentos de estrela!
UI_EVENT_DIAMONDINTHESKY_NIGHT,Night has come! The stars are coming out. Find them in the sky!,A noite está aqui! As estrelas estão aparecendo... Ache-as no céu!
UI_EVENT_DIAMONDINTHESKY_DAY,"Nighttime has passed, the stars are disappearing.","A noite terminou, as estrelas estão sumindo."
UI_EVENT_DUNGEONCOINS,Dungeon Coins Discount!,Desconto nas Moedas de Masmorra!
UI_EVENT_DUNGEONCOINS_DESC,Spend fewer Dungeon Coins when taking on missions or entering dungeons!,Use menos Moedas de Masmorra ao realizar missões ou entrar em masmorras!
UI_EVENT_ANNIVERSARY,1st Anniversary!,Celebração de 1º Aniversário!
