Key,English,Polish
TEXTCLIENT_CONNECTING,Connecting. Please wait.,"Trwa łączenie, proszę czekać."
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,Nie można połączyć się do gry. Proszę sprawdzić połączenie sieciowe.
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,Nieaktualna wersja klienta. Proszę odświeżyć stronę.
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,Nieprawidłowy identyfikator serwera.
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.","Wystąpił nieznany błąd, spróbuj ponownie."
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,Twoje konto jest już połączone.
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,Czy chcesz wylogować drugie urządzenie?
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,Urządzenie jest odłączane. Zaloguj się ponownie za 10 sekund.
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.","Ten kanał jest obecnie zapełniony, proszę poczekać chwilę lub wybrać inny kanał."
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,Ta nazwa postaci jest już używana.
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,Wykryto Boss'a!!!
TEXTCLIENT_APP_MAP,World Map,Mapa Świata
TEXTCLIENT_APP_OPTION,Options,Ustawienia
TEXTCLIENT_APP_LOGOUT,Log Out,Wyloguj się
TEXTCLIENT_APP_QUIT,Quit,Wyjdź z gry
TEXTCLIENT_APP_SUPPORT,Support,Wsparcie
TEXTCLIENT_APP_PRIVACY,Privacy,Privacy
TEXTCLIENT_APP_NAVIGATOR,Navigator,Minimapa
TEXTCLIENT_APP_DEBUG,Debug,Debug
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,Wylogowanie za %d sek.
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,Zmiana postaci w przesiągu %d sek.
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,Łączenie konta za %ds.
TEXTCLIENT_LOGOUT,Do you want to disconnect?,Czy chcesz się wylogować?
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,#cffff0000Utracisz swoją postać gościa.#nc Zarejestruj konto.
TEXTCLIENT_EXIT,Do you want to exit the program?,Czy chcesz wyjść z gry?
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,Rozłączono z serwerem.
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,Tworzenie nowych postaci jest wyłączone na tym serwerze.
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,Jakaś złowroga siła utrudnia twoją orientację w terenie.
TEXTCLIENT_ITEM_DESC,Description:,Opis:
TEXTCLIENT_INVALIDCHARACTERS,This name contains unauthorized characters.,Ta nazwa zawiera niedozwolone znaki.
TEXTCLIENT_INVALIDNAME,This name contains unauthorized words.,Ta nazwa zawiera niedozwolone słowa.
TEXTCLIENT_IPBANNED,Your public internet address has been banned. Contact the administrator for more informations.,"Twój adres IP został zablokowany. Skontaktuj się z administratorem, aby uzyskać więcej informacji."
TEXTCLIENT_IPRESTRAINTED,The game is currently not available in your country.,Gra jest obecnie niedostępna w Twoim kraju.
TEXTCLIENT_IPBLOCKED,An important activity has been detected on your public internet address. Please wait %s before trying again.,Wykryto dużo aktywności z Twojego adresu IP. Proszę odczekać %s zanim spróbujesz ponownie.
TEXTCLIENT_SECS,second(s),sekund(y)
TEXTCLIENT_MINS,minute(s),minut(y)
TEXTCLIENT_HOURS,hour(s),godzin(y)
TEXTCLIENT_SESSIONEXPIRED,"Your session has expired, please enter your login and password again.","Twoja sesja wygasła, wprowadź ponownie swój login i hasło."
TEXTCLIENT_ADMIN,Admin,Admin
TEXTCLIENT_DEVELOPER,Dev,Deweloper
TEXTCLIENT_GAMEMASTER,Game Master,Mistrz Gry
TEXTCLIENT_MODERATOR,MOD,Moderator
TEXTCLIENT_VENDOR_NPC,[Vendor],[Sprzedawca]
TEXTCLIENT_APP_CHAT,Chat Window,Rozmowa
TEXTCLIENT_INVALIDLOGIN,Your login or password is invalid.,Twój login lub hasło jest nieprawidłowe.
TEXTCLIENT_INVALIDAUTHTOKEN,Authentication failed. Please try again.,Autoryzacja nie powiodła się. Proszę spróbuj ponownie.
TEXTCLIENT_NOWPOSITION,"Position: x = %f, y = %f, z = %f, angle = %f","Pozycja: x = %f, y = %f, z = %f, kąt = %f"
TEXTCLIENT_NOTTRANSSELF,You cannot send a PM to yourself.,Nie możesz wysłać wiadomości do samego siebie.
TEXTCLIENT_PLAYERNOTEXIST,%s does not exist or is offline.,%s nie istnieje lub nie jest w grze.
TEXTCLIENT_APP_NOTICE,Notice,Informacja
TEXTCLIENT_APP_STATUS,Status,Status
TEXTCLIENT_PLAYERINFORMATION,%s - Lv: %d,%s - Poz. %d
TEXTCLIENT_BLINK_LIMIT,You cannot use it during skill motion.,Nie możesz tego zrobić w trakcie używania umiejętności.
TEXTCLIENT_NOTSIT_BLINK,You cannot use a Blinkwing while sitting.,Nie możesz się teleportować na siedząco. 
TEXTCLIENT_STAND_LIMIT,You can use it when you stand up.,Musisz wstać by tego użyć.
TEXTCLIENT_FLIGHT_NOUSE,Unable to use while flying.,Nie można tego użyć w trakcie latania.
TEXTCLIENT_ERROR_NOFLY,You cannot fly here.,Tu nie można latać.
TEXTCLIENT_ERROR_NOTALK,You are not allowed to talk.,Zabroniono Ci mówić.
TEXTCLIENT_ERROR_CHATSPAM,You received %d minutes penalty because of too much of chatting.,Otrzymałeś/aś %d minut uciszenia za nadużywanie chatu.
TEXTCLIENT_APP_MOTION,Emotes,Akcje
TEXTCLIENT_APP_CHARINFO,Character,Postać
TEXTCLIENT_LIMIT_RECOVER,%s recovery limited to %d.,Regeneracja %s ograniczona do %d.
TEXTCLIENT_ATTENTIONCOOLTIME,Please wait a while before using the item again.,Musisz chwilę poczekać zanim znowu użyjesz tego przedmiotu. 
TEXTCLIENT_DEATH,Press Lodestar to resurrect (Nearest Town) or use an item to resurrect in place.,"Naciśnij ""Lodestar"" by się wskrzesić (w najbliższym mieście) albo użyj przedmiotu do wskrzeszenia na miejscu."
TEXTCLIENT_DEATH_ARENA,Press Lodestar to resurrect near the Arena.,"Naciśnij ""Lodestar"" by wskrzesić się przy Arenie."
TEXTCLIENT_MOBPRIORITY,You cannot attack a monster that is fighting against another player.,Nie możesz zaatakować potwora który walczy z innym graczem.
TEXTCLIENT_NOQUITCOMBAT,You cannot quit during combat.,Nie możesz zakończyć gry w trakcie walki.
TEXTCLIENT_LEVELUP,Level up! You can increase your stats in your character window.,Nowy Poziom! Możesz zwiększyć swoje atrybuty w oknie postaci. 
TEXTCLIENT_LEVELUP_CAPTION,Congratulations! Level up!,Gratulacje! Nowy Poziom!
TEXTCLIENT_CHARSTATUS_APPLY_Q,Do you want to use the current Stat setup?,Czy chcesz zaakceptować obecne Atrybuty?
TEXTCLIENT_CHARSTATUS_FIRSTJOB,Your stat values will reset after your 1st job change.,Twoje Atrybuty Postaci ulegną zresetowaniu po osiągnięciu 1-szej zmiany klasy.
TEXTCLIENT_BATTLEPASS_REQUIRED,This feature is only available with the Extended Flyff Pass or Hero Quest.,This feature is only available with the Extended Flyff Pass or Hero Quest.
TEXTCLIENT_STATPAGE_COOLDOWN,You can swap stat pages in %d seconds.,You can swap stat pages in %d seconds.
TEXTCLIENT_ADMIN_STATE,Status,Status
TEXTCLIENT_ADMIN_NORMAL,Normal,Normalna
TEXTCLIENT_SPEED_VERYSLOW,Very slow,Bardzo Wolna
TEXTCLIENT_SPEED_LOW,Slow,Wolna
TEXTCLIENT_SPEED_NORMAL,Normal,Normalna
TEXTCLIENT_SPEED_FAST,Fast,Szybka
TEXTCLIENT_SPEED_VERYFAST,Very fast,Bardzo Szybka
TEXTCLIENT_SPEED_FASTEST,Fastest,Najszybsza
TEXTCLIENT_ITEMPRIORITY,The %s belongs to another player at the moment. Please wait a while.,Ten/ta %s chwilowo należy do innego gracza. Musisz chwilę poczekać.
TEXTCLIENT_LACKSPACE,Inventory is full. Please make room and try again.,Twój ekwipunek jest pełen. Musisz zrobić trochę miejsca by spróbować ponownie.
TEXTCLIENT_REAPITEM,You received %s.,Otrzymałeś/aś %s.
TEXTCLIENT_REAPITEM_UPGRADE,You received %s +%d.,Otrzymałeś %s +%d.
TEXTCLIENT_TROUPEREAPITEM,%s has gained %s.,%s otrzymał/ła %s.
TEXTCLIENT_APP_INVENTORY,Inventory,Ekwipunek
TEXTCLIENT_REAPMONEY,You received %s Penya (Total: %s Penya).,Otrzymałeś/aś %s Penya (W sumie masz: %s Penya).
TEXTCLIENT_ERROR_SEX,%s is not for your gender.,%s nie jest dla twojej płci.
TEXTCLIENT_ERROR_JOB,You cannot equip the %s. Requirements not met.,Nie spełniasz wymagań by założyć %s. 
TEXTCLIENT_ERROR_LEVEL,You cannot equip this item because your level is too low. (Req Lev: %d),Masz za niski poziom by założyć ten przedmiot. (Wymagany Poz. %d)
TEXTCLIENT_ERROR_UNDESTRUCTABLE,You can not discard this item.,Nie możesz wyrzucić tego przedmiotu.
TEXTCLIENT_ERROR_USINGITEM,You are already using this item.,You are already using this item.
TEXTCLIENT_SUCCESSREMOVEITEM,Number of %s deleted: %d.,Liczba %s skasowanych: %d.
TEXTCLIENT_NOTARGET,"Cannot attack, no monster targeted.","Nie można zaatakować, brak celu."
TEXTCLIENT_NOTUSE,You cannot use this yet.,Jeszcze nie możesz tego użyć.
TEXTCLIENT_ERROR_NOTLEVEL,Your level is too low.,Twój poziom jest zbyt niski.
TEXTCLIENT_BLOCK_PM,%s is in the 'Refuse to Whisper/Messenger' setting.,"%s włączył/a ""Odmawiaj Szeptów/Wiadomości"" w opcjach gry."
TEXTCLIENT_YETTRADE,That player is currently busy. Please try again after few minutes.,Ten gracz jest chwilowo zajęty. Spróbuj ponownie za parę minut.
TEXTCLIENT_ITEMNOTUSE_TRADING,You cannot use items while trading.,Nie możesz używać przedmiotów w trakcie transakcji.
TEXTCLIENT_REDCHIP,Red Chip,Czerwony Żeton.
TEXTCLIENT_ERROR_EQUIPTRADE,Please unequip the item before selling it.,Musisz zdjąć przedmiot by go sprzedać.
