Key,English,Portuguese
PROPMAP_TXT_000000,,
PROPMAP_TXT_000001,World,Mundo
PROPMAP_TXT_000002,Region,Região
PROPMAP_TXT_000003,Town,Cidade
PROPMAP_TXT_000004,Madrigal,Madrigal
PROPMAP_TXT_000005,"Darkon 1, 2","Darkon 1,2"
PROPMAP_TXT_000006,Darkon 3,Darkon 3
PROPMAP_TXT_000007,Garden of Rhisis,Jardim de Rhisis
PROPMAP_TXT_000008,Saint Morning,Saint Morning
PROPMAP_TXT_000009,Flaris,Flaris
PROPMAP_TXT_000012,Flarine,Flarine
PROPMAP_TXT_000013,Saint City,Cidade de Saint
PROPMAP_TXT_000014,Darken,Darken
PROPMAP_TXT_000242,Dungeon,Masmorra
PROPMAP_TXT_000263,Mars Dungeon,Masmorra Mars
PROPMAP_TXT_000265,Dekane Mine,Mina Dekane
PROPMAP_TXT_000266,Iblis Temple,Templo Iblis
PROPMAP_TXT_000274,Forsaken Tower 1F,Torre Abandonada 1° Andar
PROPMAP_TXT_000275,Forsaken Tower 2F,Torre Abandonada 2° Andar
PROPMAP_TXT_000276,Forsaken Tower 3F,Torre Abandonada 3° Andar
PROPMAP_TXT_000277,Forsaken Tower 4F,Torre Abandonada 4° Andar
PROPMAP_TXT_000278,Forsaken Tower 5F,Torre Abandonada 5° Andar
PROPMAP_TXT_000279,Forsaken Tower 6F,Forsaken Tower 6F
PROPMAP_TXT_000280,Forsaken Tower 7F,Forsaken Tower 7F
PROPMAP_TXT_000281,Forsaken Tower 8F,Forsaken Tower 8F
PROPMAP_TXT_000282,Forsaken Tower 9F,Forsaken Tower 9F
PROPMAP_TXT_000283,Forsaken Tower 10F,Forsaken Tower 10F
PROPMAP_TXT_100000,Kebaras,Kebaras
PROPMAP_TXT_100001,North-Fl,Z. Norte
PROPMAP_TXT_100002,Cen Flarine,Centro
PROPMAP_TXT_100003,East-Fla,Z. Leste
PROPMAP_TXT_100004,Darkon,Darkon
PROPMAP_TXT_100005,The North of Leren Mountains,Montanhas Leren do Norte
PROPMAP_TXT_100006,The River of Weeping,O Rio das Lágrimas
PROPMAP_TXT_100007,Saint Hall,Palácio de Saint
PROPMAP_TXT_100008,Pumpkin Town,Vila das Abóboras
PROPMAP_TXT_100009,Plateau of Silence,Planalto do Silêncio
PROPMAP_TXT_100010,The North of Hillid Mountains,Norte das Montanhas Hillid
PROPMAP_TXT_100011,The Middle of Hillid Mountains,Centro das Montanhas Hillid
PROPMAP_TXT_100012,The South of Hillid Mountains,Sul das Montanhas Hillid
PROPMAP_TXT_100013,Guardian's Room,Sala do Guardião
PROPMAP_TXT_100014,Heret,Heret
PROPMAP_TXT_100015,Cendil,Cendil
PROPMAP_TXT_100016,Aniceknight,Bomcavaleiro
PROPMAP_TXT_100017,Arians,Arians
PROPMAP_TXT_100018,Deadwallderness,Deserto da Morte
PROPMAP_TXT_100019,Brekin,Brekin
PROPMAP_TXT_100020,Guardiane,Guardiane
PROPMAP_TXT_100021,Darkon 2 (Cave of Envy),Darkon 2 (Caverna da Inveja)
