Key,English,Japanese
PROPSKILL_TXT_000309,,
PROPSKILL_TXT_000000,Clean Hit,クリーンヒット
PROPSKILL_TXT_000001,"A powerful, downward strike.",剣や斧で強力な一撃を与えます。
PROPSKILL_TXT_000002,Flurry,ブランディッシュ
PROPSKILL_TXT_000003,A rapid stabbing attack.,剣や斧を素早く繰り出して連続攻撃を行います。(アクションスロットでのみ発動)
PROPSKILL_TXT_000004,Over Cutter,オーバーカッター
PROPSKILL_TXT_000005,A powerful upward finishing move.,力を溜めて下段から上段に振り上げ強烈な一撃を与えるスキルです。(アクションスロットでのみ発動)
PROPSKILL_TXT_000006,Slash,スプルマッシュ
PROPSKILL_TXT_000007,Strikes the enemy twice in rapid succession.,マーシナリー・ステップスキルで、剣や斧を使って2回連続で攻撃します。
PROPSKILL_TXT_000008,Keenwheel,キーンフィール
PROPSKILL_TXT_000009,A continuous spinning attack.,マーシナリー・サークルスキルで、身体を回転させながら、相手を切り刻むように攻撃します。
PROPSKILL_TXT_000010,Blindside,ブラインドサイド
PROPSKILL_TXT_000011,A spinning finishing move that may stun the enemy.,マーシナリーのフィニッシュスキルで、敵の急所を狙って強烈な一撃を放ちます。
PROPSKILL_TXT_000012,Protection,プロテクション
PROPSKILL_TXT_000013,Draws out the wielded shield's power to increase defense against physical attacks and significantly increase Ranged Block.,盾を使って一定時間、防御力をアップさせます
PROPSKILL_TXT_000014,Pan Barrier,パンバリア
PROPSKILL_TXT_000015,Significantly increases Ranged Block.,長距離攻撃に対して盾で身を守ります。
PROPSKILL_TXT_000016,Blazing Sword,ブレイジングソード
PROPSKILL_TXT_000017,Increases accuracy and enhances the power of the wielded sword.,剣を装備している際に、一定時間、攻撃力が上昇します
PROPSKILL_TXT_000018,Smite Axe,スマイトアックス
PROPSKILL_TXT_000019,Increases accuracy and enhances the power of the wielded axe.,精度を上げ、斧を装備している際の、攻撃力が上昇します。
PROPSKILL_TXT_000020,Empower Weapon,パワーウェポン
PROPSKILL_TXT_000021,Enhances the weapon's elemental power.,一定時間、属性が付与されている武器を装備しているキャラクターの攻撃力を増加させます。
PROPSKILL_TXT_000022,Bloody Strike,ブラッディストライク
PROPSKILL_TXT_000024,Sword Mastery,ｿｰﾄﾞﾏｽﾀﾘｰ
PROPSKILL_TXT_000025,Enhances the power of the wielded sword.,剣の熟練度を上昇させ、剣を装備した際の攻撃力をアップさせます。
PROPSKILL_TXT_000026,Axe Mastery,アックスマスタリー
PROPSKILL_TXT_000027,Enhances the power of the wielded axe.,斧の熟練度を上昇させ、斧を装備した際の攻撃力をアップさせます。
PROPSKILL_TXT_000028,Special Hit,ライトチャージ
PROPSKILL_TXT_000029,A single powerful strike that hits all enemies around you.,周囲すべての敵へ強力な一撃を食らわせます。
PROPSKILL_TXT_000030,Guillotine,ソードスラッシュ
PROPSKILL_TXT_000031,A powerful ranged attack.,剣に込めた気を刃と化して対象に飛ばして攻撃をします。
PROPSKILL_TXT_000032,Sneaker,スネーカー
PROPSKILL_TXT_000033,"Traps the enemy in a net, immobilizing them.",強烈な殺気で対象を取り囲み、対象の動きを封じます。
PROPSKILL_TXT_000034,Reflex Hit,リフレックスヒット
PROPSKILL_TXT_000035,Absorbs an incoming attack and strikes an enemy with the absorbed damage.,対象に攻撃す際に受けたダメージの反射量を合わせてダメージを与えます。
PROPSKILL_TXT_000036,Guard,ガード
PROPSKILL_TXT_000037,Reduces all incoming damage from enemies at the cost of attack power.,防御に専念することで、一定時間、攻撃力が下がる代わりに防御力が上昇します。武器を装備している必要があります。
PROPSKILL_TXT_000038,Pain Reflection,ペインリフレクション
PROPSKILL_TXT_000039,Reflects a portion of the damage received back at the enemy.,敵の攻撃の隙をついて反撃することで、受けたダメージの一部を敵に送り返します。
PROPSKILL_TXT_000040,Rage,レイジ
PROPSKILL_TXT_000041,Increases striking power but makes you more vulnerable to all incoming attacks.,攻撃に専念することで、一定時間、防御力と命中率が下がる代わりに、攻撃力と最大HPが上昇します。
PROPSKILL_TXT_000042,Power Swing,パワースウィング
