Key,English,Spanish
PROPCTRL_TXT_000000,Small Treasure Chest,Cofre del Tesoro Pequeño
PROPCTRL_TXT_000002,Small Treasure Chest(Vertical),Cofre Pequeño del Tesoro (Vertical)
PROPCTRL_TXT_000004,FlDungeon Lever,Palanca de Mazmorra
PROPCTRL_TXT_000006,FlDungeon Gate,Puerta de Mazmorra
PROPCTRL_TXT_000008,Keakoon Prison,Prisión Keakoon
PROPCTRL_TXT_000010,Chimeradon Prison,Prisión Chimeradon
PROPCTRL_TXT_000012,Meteonyker Prison,Prisión Meteonyker
PROPCTRL_TXT_000014,Pink Roach Egg,Huevo de Roach Rosa
PROPCTRL_TXT_000016,Blue Roach Egg,Huevo de Roach Azul
PROPCTRL_TXT_000028,Warp Machine,Maquina de Teletransporte
PROPCTRL_TXT_000030,Warp Board 1,Tabla de Teletransporte 1
PROPCTRL_TXT_000032,Warp Board 2,Tabla de Teletransporte 2
PROPCTRL_TXT_000034,Warp Board 3,Tabla de Teletransporte 3
PROPCTRL_TXT_000036,Exp Box,Caja de Exp
PROPCTRL_TXT_000037,Harvest Plant 01,Planta de Cosecha 01
PROPCTRL_TXT_000038,Harvest Plant 02,Planta de Cosecha 02
PROPCTRL_TXT_000039,Harvest Plant 03,Planta de Cosecha 03
PROPCTRL_TXT_000040,Harvest Plant 04,Planta de Cosecha 04
PROPCTRL_TXT_000041,Children in cage,Niños Enjaulados
PROPCTRL_TXT_000042,Pet Cage 01,Jaula Mascota 01
PROPCTRL_TXT_000043,Pet Cage 02,Jaula Mascota 02
PROPCTRL_TXT_000044,Pet Cage 03,Jaula Mascota 03
PROPCTRL_TXT_000045,Pet Cage 04,Jaula Mascota 04
PROPCTRL_TXT_000046,Pet Cage 05,Jaula Mascota 05
PROPCTRL_TXT_000047,Pet Cage 06,Jaula Mascota 06
PROPCTRL_TXT_000048,Pet Cage 07,Jaula Mascota 07
PROPCTRL_TXT_000049,Dungeon Warp 01,Deformar Mazmorra 01
PROPCTRL_TXT_000050,Dungeon Warp 02,Deformar Mazmorra 02
PROPCTRL_TXT_000051,Dungeon Warp 03,Deformar Mazmorra 03
PROPCTRL_TXT_000052,Dungeon Warp 04,Deformar Mazmorra 04
PROPCTRL_TXT_000053,Straight Palm Tree,Palmera Recta
PROPCTRL_TXT_000054,Leaning Palm Tree,Palmera Inclinada
PROPCTRL_TXT_000055,Branch Coral,Coral Rama
PROPCTRL_TXT_000056,Round Red Coral,Coral Rojo Redondo
PROPCTRL_TXT_000057,Leren Chasm Chest,Cofre Abismo de Leren
PROPCTRL_TXT_000058,Rhisis Catacombs Chest,Cofre Catacumbas Rhisis
PROPCTRL_TXT_000059,Envy Depths Chest,Cofre Profundidades de Envidia
PROPCTRL_TXT_000060,Guardiane Sanctuary Chest,Cofre Santuario Guardiane
PROPCTRL_TXT_000061,Storm Peak Chest,Cofre Pico Tormentoso
PROPCTRL_TXT_000062,The Wilds Chest,Cofre Los Salvajes
PROPCTRL_TXT_000063,Dungeon Warp 05,Deformador Mazmorra 05
PROPCTRL_TXT_000064,Dungeon Warp 06,Deformador Mazmorra 06
PROPCTRL_TXT_000065,Ship Wheel,Timón de Nave
PROPCTRL_TXT_000066,Cushion Chair,Silla Cojín
PROPCTRL_TXT_000067,Spinning Globe,Globo Giratorio
PROPCTRL_TXT_000068,Compass,Brújula
PROPCTRL_TXT_000069,Chandelier,Candelabro
PROPCTRL_TXT_000070,Command Desk,Puesto de Mando
PROPCTRL_TXT_000071,Command Platform,Plataforma de Mando
PROPCTRL_TXT_000072,Small Table,Mesa Pequeña
PROPCTRL_TXT_000073,Drawer,Cajón
PROPCTRL_TXT_000074,Twin Bed,Cama Doble
PROPCTRL_TXT_000075,Incident Painting,Cuadro Incidentes
PROPCTRL_TXT_000076,Home Painting,Pintura Casera
PROPCTRL_TXT_000077,Metaverse Ball,Bola Metaverso
PROPCTRL_TXT_000078,Metaverse Bath Rug,Metaverso Alfombra de Baño
PROPCTRL_TXT_000079,Metaverse Twin Bed,Metaverso Cama Doble
PROPCTRL_TXT_000080,Metaverse King Bed,Metaverso Cama Rey
PROPCTRL_TXT_000081,Metaverse Single Bed,Metaverso Cama Individual
PROPCTRL_TXT_000082,Metaverse Beer Cup,Vaso Cerveza Metaverso
PROPCTRL_TXT_000083,Metaverse Bench,Banco Metaverso
PROPCTRL_TXT_000084,Metaverse Candle,Vela Metaverso
PROPCTRL_TXT_000085,Metaverse Cat Supplies,Suministro para Gatos Metaverso
PROPCTRL_TXT_000086,Metaverse Chair,Silla Metaverso
PROPCTRL_TXT_000087,Metaverse Basic Desk,Puesto Básico Metaverso
PROPCTRL_TXT_000088,Metaverse Wooden Desk,Mesa de Madera Metaverso
PROPCTRL_TXT_000089,Metaverse Boss Desk,Mesa Jefe Metaverso
PROPCTRL_TXT_000090,Metaverse Student Desk,Mesa Estudiante Metaverso
PROPCTRL_TXT_000091,Metaverse Pencil Case,Estuche Lápices Metaverso
PROPCTRL_TXT_000092,Metaverse Plant,Planta Metaverso
PROPCTRL_TXT_000093,Metaverse Tree Pot,Maceta árbol Metaverso
PROPCTRL_TXT_000094,Metaverse Slippers,Zapatillas Metaverso
PROPCTRL_TXT_000095,Metaverse Single Sofa,Sofá Individual Metaverso
PROPCTRL_TXT_000096,Metaverse Pouffe Seat,Asiento Puf Metaverso
PROPCTRL_TXT_000097,Metaverse Sofa,Sofá Metaverso
PROPCTRL_TXT_000098,Metaverse Round Table,Mesa Redonda Metaverso
PROPCTRL_TXT_000099,Metaverse Storage Table,Mesa Depósito Metaverso
PROPCTRL_TXT_000100,Metaverse Decorative Table,Mesa Decorativa Metaverso
PROPCTRL_TXT_000101,Metaverse Violin,Violón Metaverso
PROPCTRL_TXT_000102,Wooden Yellow Chair,Silla de madera Amarilla
PROPCTRL_TXT_000103,Wooden Yellow Table,Mesa de madera Amarilla
PROPCTRL_TXT_000104,Wooden Yellow Dressing Table,Tocador de madera Amarillo
PROPCTRL_TXT_000105,Wooden Yellow Closet,Armario de madera Amarillo
PROPCTRL_TXT_000106,Wooden Yellow Bench,Banco de madera Amarillo
PROPCTRL_TXT_000107,Wooden Yellow Cabinet,Gabinete de madera Amarillo
PROPCTRL_TXT_000108,Wooden Yellow Bed,Cama de madera Amarilla
