Key,English,Filipino
NPC_WHOAREYOU,Who are you?,Sino ka?
NPC_GOODBYE,Goodbye!,Paalam!
NPC_CARGO,CARGO,Kargo
NPC_WHATSGOINGON,What's going on?,Anong nangyayari?
NPC_EXIT,Exit,Lumabas
NPC_HOWTOFLY,How to Fly,Paano Lumipad
NPC_COMBATFLYING,Combat Flying,Labanang Paglipad
NPC_IDCARD,ID CARD,ID Card
NPC_WHATABOUTTHEMINE,What about the mine?,Kumusta ang minahan?
NPC_MOVE,Move,Gumalaw
NPC_FORHONOR,For Honor!,Para sa Karangalan!
NPC_FORFUN,For Fun!,Para sa Saya!
NPC_MEHJUSTBECAUSE,"Meh, just because?","Meh, wala lang?"
NPC_YES_ENTER,Yes_Enter,Oo_Pumasok
NPC_NO_ENTER,No_Enter,Hindi_Pumasok
NPC_WHEREAMI,Where am I?,Nasaan ako?
NPC_MAKEANAPPOINTMENT,Make an appointment,Magpa-appointment
NPC_FINALIZESTATSELECTION,Finalize Stat selection,I-finalize ang pagpili ng stat
NPC_DEKANEMINE,Dekane Mine,Dekane Mine
NPC_CELL,Cell,Selda
NPC_AZRIAMINE,Azria Mine,Azria Mine
NPC_CURSEDSYMBOL,Cursed Symbol,Sinumpang Simbolo
NPC_GIVESYMBOL,Give the Symbol,Ibigay ang Simbolo
NPC_HAELLETTER,Hael's Letter,Liham ni Hael
NPC_GIVELETTER,Give Letter,Ibigay ang Liham
NPC_TREASURE_BOX,Treasure,Kayamanan
NPC_LOSTMEMORIES,Lost Memories,Nawalang Alaala
NPC_BREWINGPOTIONS,Brewing Potions,Paggawa ng mga potion
NPC_THECURE,The Cure,Lunas
NPC_GUIDETOFLYING,Guide to Flying,Gabay sa Paglipad
NPC_GUIDETOCOMBATFLYING,Guide to Combat Flying,Gabay sa Labanang Paglipad
NPC_SHOPS,Shops?,Mga tindahan?
NPC_DEATH,Death?,Kamatayan?
NPC_RECEIVEADDITIONALREWARDS,Receive additional rewards,Tumanggap ng karagdagang gantimpala
NPC_000044,"Welcome to Keakoon, human! I've got a favor to ask... C'mere!","Welcome to Keakoon, tao! May ipapakiusap ako... Halika rito!"
NPC_000045,Fathers Package,Pakete ng Ama
NPC_000046,"Hrrmph! How strange... How did a human like you manage to get in here, anyway?",Hrrmph! Ang weird... Paano nakapasok ang isang tao tulad mo dito?
NPC_000047,"Thank you for saving my father, human. So what brings you here?","Salamat sa pagliligtas sa ama ko, tao. Ano'ng dahilan ng pagpunta mo rito?"
NPC_000048,"Please, save my father. He's imprisoned east of here! Hurry!","Pakiusap, iligtas mo ang ama ko. Nakakulong siya sa silangan nitong lugar! Bilisan mo!"
NPC_000049,"Hrrmph, listen... I don't know how you found this place, and I don't care. Leave now! This place is too dangerous for your kind.","Hrrmph, makinig... Di ko alam paano mo nahanap ang lugar na 'to, at wala akong pakialam. Umalis ka na! Masyadong delikado ang lugar na 'to para sa katulad mo."
NPC_000050,"Hrrmph! I am Drian - Son of Nevil, the Patriarch of Keakoon. You people look down on us, but you're the inferior ones!","Hrrmph! Ako si Drian—anak ni Nevil, ang Patriarka ng Keakoon. Hinahamak n'yo kami, pero kayo ang mas mababa!"
NPC_000051,"This place is too dangerous for the likes of you, silly human. Go home!","Masyadong delikado ang lugar na 'to para sa tulad mo, hangal na tao. Umuwi ka na!"
NPC_000052,Here is the package my father left me... Hrrmph!,Heto ang paketeng iniwan sa akin ng ama ko... Hrrmph!
