Key,English,Vietnamese
NPC_WHOAREYOU,Who are you?,Who are you?
NPC_GOODBYE,Goodbye!,Goodbye!
NPC_CARGO,CARGO,CARGO
NPC_WHATSGOINGON,What's going on?,What's going on?
NPC_EXIT,Exit,Exit
NPC_HOWTOFLY,How to Fly,How to Fly
NPC_COMBATFLYING,Combat Flying,Combat Flying
NPC_IDCARD,ID CARD,ID CARD
NPC_WHATABOUTTHEMINE,What about the mine?,What about the mine?
NPC_MOVE,Move,Move
NPC_FORHONOR,For Honor!,For Honor!
NPC_FORFUN,For Fun!,For Fun!
NPC_MEHJUSTBECAUSE,"Meh, just because?","Meh, just because?"
NPC_YES_ENTER,Yes_Enter,Yes_Enter
NPC_NO_ENTER,No_Enter,No_Enter
NPC_WHEREAMI,Where am I?,Where am I?
NPC_MAKEANAPPOINTMENT,Make an appointment,Make an appointment
NPC_FINALIZESTATSELECTION,Finalize Stat selection,Finalize Stat selection
NPC_DEKANEMINE,Dekane Mine,Dekane Mine
NPC_CELL,Cell,Cell
NPC_AZRIAMINE,Azria Mine,Azria Mine
NPC_CURSEDSYMBOL,Cursed Symbol,Cursed Symbol
NPC_GIVESYMBOL,Give the Symbol,Give the Symbol
NPC_HAELLETTER,Hael's Letter,Hael's Letter
NPC_GIVELETTER,Give Letter,Give Letter 
NPC_TREASURE_BOX,Treasure,Treasure 
NPC_LOSTMEMORIES,Lost Memories,Lost Memories
NPC_BREWINGPOTIONS,Brewing Potions,Pha chế Hỗn hợp 
NPC_THECURE,The Cure,Thuốc giải
NPC_GUIDETOFLYING,Guide to Flying,Guide to Flying
NPC_GUIDETOCOMBATFLYING,Guide to Combat Flying,Guide to Combat Flying
NPC_SHOPS,Shops?,Shops?
NPC_DEATH,Death?,Tử thương rồi sao?
NPC_RECEIVEADDITIONALREWARDS,Receive additional rewards,Nhận thêm phần thưởng 
NPC_000044,"Welcome to Keakoon, human! I've got a favor to ask... C'mere!","Chào mừng tới Keakoon, chủ nhân! Tôi có một việc cần hỏi ... Hãy qua đây!"
NPC_000045,Fathers Package,Fathers Package
NPC_000046,"Hrrmph! How strange... How did a human like you manage to get in here, anyway?",Hrrmph! Thật quái lạ... Làm thế nào mà loài người như bạn có thể vào được đây?
NPC_000047,"Thank you for saving my father, human. So what brings you here?","Cảm ơn đã cứu sống cha tôi, loài người ạ. Vậy điều gì mang bạn tới đây thế?"
NPC_000048,"Please, save my father. He's imprisoned east of here! Hurry!",Làm ơn hãy cứu lấy cha tôi. Ông ấy bị giam giữ ở phía Đông! Nhanh lên!
NPC_000049,"Hrrmph, listen... I don't know how you found this place, and I don't care. Leave now! This place is too dangerous for your kind.","Hrrmph, nghe này... Tôi không biết bằng cách nào bạn tìm được nơi này và tôi cũng không quan tâm. Hãy rời khỏi đây ngay lập tức! Nơi này quá nguy hiểm cho giống loài của các bạn!"
NPC_000050,"Hrrmph! I am Drian - Son of Nevil, the Patriarch of Keakoon. You people look down on us, but you're the inferior ones!","Hrrmph! Tôi là Drian - Con trai của Nevil, tộc trưởng xứ Keakoon. Các bạn coi thường chúng tôi, nhưng các bạn mới là những kẻ kém cỏi!"
NPC_000051,"This place is too dangerous for the likes of you, silly human. Go home!","Nơi này quá nguy hiểm cho những kẻ như bạn, loài người ngớ ngẩn ạ. Quay về nhà ngay đi!"
NPC_000052,Here is the package my father left me... Hrrmph!,Đây là kiện hàng cha tôi để lại cho tôi... Hrrmph!
NPC_000053,*Sigh* this might take a while...,*Thở dài* phải mất một lúc đấy...
NPC_000054,"What? A human?! Here?!? Muahahahah!!! You're either brave or not all there in the head, buddy.","Cái gì? Loài người ư?! Tại đây sao?!? Muahahahah!!! Bạn có đủ dũng khí như vậy sao, người anh em."
NPC_000055,"Ewww!! A hew-mann... Your kind is not welcome here. Get out of my sight, vermin!","Ewww!! Loài người... Giống loài các bạn không được chào đón tại đây. Hãy ra khỏi tầm mắt của tôi, đồ ăn hại!"
NPC_000056,Who am I? Hah! Liked I'd consort with the likes of a human. Get lost!,Tôi là ai ư? Hah! Tôi muốn kết hợp với loài người các bạn. Bị lạc hay sao!
NPC_000057,"Beat it, human! You're not welcome here!","Đánh bại chúng, loài người kia! Các bạn không được chào đón tại đây!"
NPC_000058,*Whistles*,*Huýt sáo*
NPC_000059,"Gwarrll! You just gonna stand there, or are you gonna get me out of here? You know, people don't necessarily like to be stared at...","Gwarrll! Bạn cứ thế đứng đó, hay bạn sẽ đưa tôi ra khỏi đây vậy? Bạn biết đấy, chúng ta không cần thiết phải nhìn chằm chằm vào nhau như vậy..."
NPC_000060,"Garr!! I've not seen a human in years! I am Nevil, the honorable Patriarch of Keakoon.","Garr!! Tôi chưa hề nhìn thấy loài người sau ngần ấy năm! Tôi là Nevil, tộc trưởng danh dự của xứ Keakoon."
NPC_000061,"*Snort!* A human, eh? Very interesting... I haven't seen one of you weirdos in years! See ya later!",*Khịt mũi* Loài người ư? Cũng thú vị đấy... Tôi chưa từng gặp một ai trong số các bạn sau bao nhiêu năm trời cả! Hẹn gặp các bạn sau!
NPC_000062,Feel free to come see me whenever you are in need of magical goods.,Hãy đến gặp tôi bất cứ khi nào các bạn cần các loại hàng hoá huyền diệu.
NPC_000063,Nice to meet you. Have you also come to research the magical fields surrounding the islands?,Rất vui khi được gặp các bạn. Bạn đã nghiên cứu các khu vực huyền diệu xung quanh các đảo chưa?
NPC_000064,My name is Ciel and I am doing research on the various magical phenomena in the area.,Tôi là Ciel và tôi đang nghiên cứu các hiện tượng huyền bí trong khu vực này.
NPC_000065,Farewell!,Tạm biệt!
NPC_000066,Come to me if you seek absolution.,Hãy tìm đến tôi nếu bạn cần tìm một sự giải thoát.
NPC_000067,Are you here for confession?,Bạn đến đây để thú tội sao?
NPC_000068,Your aura shines brightly. May it never again lose its brilliance.,Hào quang của bạn tỏa sáng rực rỡ. Cầu mong nó không bao giờ mất đi vẻ rực rỡ kia.
NPC_000069,I am a shepherd who helps sinners find their way back to the path of righteousness. Come to me if you wish to be cleansed.,Tôi là mục tử giúp tội nhân tìm lại con đường công chính. Hãy đến với tôi nếu bạn muốn được thanh tẩy.
NPC_000070,Get the key from one of the criminal Masquerpets. Once you get the key you can enter the Warp Zone in the mountains.,"Hãy nhận chìa khóa từ một trong những tội phạm Masquerpets. Sau khi nhận được chìa khóa, bạn có thể vào Warp Zone trên những ngọn núi kia."
NPC_000071,"Good luck to you, stranger. Try not to get caught again, okay?","Chúc bạn may mắn, người lạ mặt. Đừng để bị bắt lần nào nữa nhé?!"
NPC_000072,"You will not survive here without a shield, friend.","Bạn chắc chắn không thể sống sót tại đây nếu thiếu đồ bảo hộ, bạn tôi ạ."
NPC_000073,Huh? Do you want something from me? Then speak up!,Huh? Bạn cần gì từ tôi sao?Thế thì hãy nói ra nào!
NPC_000074,"My name is Rocbin and I came here for a number of reasons, none of which I would like to discuss with you at this time. Now shoo!","Tên tôi là Rocbin và tôi đến đây vì một số lý do, nhưng không có lý do nào mà tôi muốn thảo luận với bạn vào lúc này cả. Bây giờ biến đi nào!"
NPC_000075,Take care! ,Bảo trọng!
NPC_000076,Looking to work on your terrible equipment? Allow me to assist you!,Bạn vẫn tìm cách chiến đấu với các thiết bị tệ hại của bạn sao? Cho phép tôi hỗ trợ bạn nào!
NPC_000077,Hahaha! You look like the rest of those felons. What brings you here?,Hahaha! Bạn trông giống như thành phần tội phạm vậy. Điều gì mang bạn đến đây thế?
NPC_000078,"Greetings, adventurer! I am Shun, your friendly neighborhood arms dealer. I don't care who you are, a customer is a customer. Come right over and buy my gear!","Xin chào, nhà thám hiểm! Tôi là Shun, chủ đại lý vũ khí thân thiện của bạn. Tôi không quan tâm bạn là ai, khách hàng là khách hàng. Hãy đến và mua thiết bị của tôi ngay nào!"
NPC_000079,Hehehe! Alright I hope we can hang out together someday.,"Hehehe! Được rồi, tôi hy vọng một ngày nào đó chúng ta có thể hẹn hò cùng nhau."
NPC_000080,I sell supplies to the weary adventurer. I've got everything you need!,Tôi bán đồ dùng cho những nhà thám hiểm mệt mỏi. Tôi có mọi thứ bạn cần!
NPC_000081,You look like you have something to tell me...,Dường như bạn có điều gì cần nói với tôi...
NPC_000082,My name is Yuna. I believe you will find my food and medicine reasonably priced.,Tôi là Yuna. Tôi tin rằng bạn sẽ tìm được thực phẩm và thuốc men với giá cực kỳ hợp lý.
NPC_000083,"Come one, come all! Visit Achaben's General Shop for your adventuring needs! *cough*","Đến một, đến tất cả! Ghé thăm Cửa hàng Tổng hợp của Achaben cho nhu cầu phiêu lưu của bạn! *ho*"
NPC_000084,May I help you?,Tôi có thể giúp gì cho bạn?
NPC_000085,"*Cough* I am happy to have a *wheeez* customer! If you need it, we have it... *cough* *huck* You wouldn't happen to have some cough medicine, would you?","*Khụ* Tôi rất vui khi có một khách hàng *khục khục*! Nếu bạn cần, chúng tôi có nó ... *khụ* *hừm* Bạn sẽ không tình cờ có thuốc ho, phải không?"
NPC_000086,"*Ha-CHEW!* Sorry about that, allow me to clear my throat. *AHEM* My name is Achaben, and I run the General Shop here in Darken City. *cough*","* Hắt xì!* Xin lỗi về điều đó, cho phép tôi hắng giọng. *AHEM* Tên tôi là Achaben, và tôi điều hành Cửa hàng tổng hợp ở đây ở Thành phố Darken. *ho*"
NPC_000087,Thank you for your patronage! Come back and visit sometime! Bring some cough medicine!,Cảm ơn sự bảo trợ của bạn! Hãy quay lại và ghé thăm một lúc nào đó! Nhớ mang theo thuốc ho!
NPC_000088,#b#cff0001ffFlying Information#nc#nb is available here! I also have #b#cffff0000flying boards and brooms#nc#nb in stock!,#b#cff0001ff Thông tin về bay#nc#nb có sẵn tại đây! Tôi cũng có#b#cffff0000 ván bay và chổi bay#nc#nb trong kho!
NPC_000089,What do you want to do?,Điều bạn muốn làm là gì?
NPC_000090,"Flying through the clouds high above Madrigal is my favorite dream come true. I would be flying right now, but I'm having some family trouble and I need to pay the bills!","Được bay qua những đám mây trên Madrigal là giấc mơ yêu thích của tôi giờ dây đã trở thành hiện thực. Tôi sẽ bay ngay bây giờ, nhưng tôi đang gặp một số rắc rối gia đình và tôi cần phải thanh toán các hóa đơn!"
NPC_000091,"My name is Almani, and I run the Station here in Darken city. I sell flying boards and brooms in addition to teaching the basics of flying.","Tên tôi là Almani, và tôi điều hành Station tại thành phố Darken. Tôi bán thảm  bay và chổi bay ngoài việc dạy những điều cơ bản về kỹ thuật bay."
NPC_000092,"1. First, you'll need to buy a broom or a board and be at least level 20 in order to fly. \n 2. Next, double-click the board or broom in your inventory or simply move it to a hot key to climb aboard.","1. Đầu tiên, bạn sẽ cần mua một cây chổi hoặc một tấm bảng và ít nhất phải đạt cấp độ 20 để có thể bay. \n 2. Tiếp theo, nhấp đúp vào bảng hoặc cây chổi trong hành trang của bạn hoặc chỉ cần di chuyển nó đến một phím nóng để leo lênn."
NPC_000093,3. Press the Space Bar to accelerate your flying vehicle. Press the Space Bar key again while moving to stop. Think of the accelerator like a toggle button for *Go* and *Stop*.,3. Nhấn Space Bar để tăng tốc phương tiện bay của bạn. Nhấn lại phím Space Bar trong khi di chuyển để dừng. Hãy suy nghĩ phím này giống như chân ga để * Đi * và * Dừng *.
NPC_000094,"4. To navigate, you can simply hold the Right Mouse Button down and angle the camera in the direction that you want to go.\n Alternatively, you can also use the W, A, S and D controls to turn.","4. Để điều hướng, bạn có thể giữ Nút chuột phải và xoay máy ảnh theo hướng bạn muốn.\n Ngoài ra, bạn cũng có thể sử dụng các pjhím điều khiển W, A, S và D để rẽ."
NPC_000095,"5. Additionally, you can simply tap the Right Mouse Button twice to lock the camera to the mouse pointer. This allows you to navigate without holding down the right mouse button. Clicking twice again will turn off this effect.","5. Thêm vào đóó, bạn có thể chỉ cần chạm vào Nút chuột phải hai lần để khóa máy ảnh. Điều này cho phép bạn điều hướng mà không cần giữ nút chuột phải. Nhấp hai lần nữa sẽ tắt hiệu ứng này."
NPC_000096,6. Anyone can fly in Madrigal. You simply have to acquire a flying vehicle!\n 7. There are numerous makes and models of flying vehicles. Trying shopping around in player shops or click the Use Premium Item Shop icon next to the Start Button.,6. Ai cũng có thể bay ở Madrigal. Bạn chỉ cần có một phương tiện bay!\n 7. Có rất nhiều sản phẩm và mô hình của các phương tiện bay. Cùng mua sắm trong các cửa hàng của người chơi hoặc nhấp vào biểu tượng Sử dụng Cửa hàng Vật phẩm Cao cấp bên cạnh Nút Bắt đầu.
NPC_000097,"I hope the information I gave you was helpful. You're on your own now, aviator! See you in the clouds!",Tôi hy vọng đã cung cấp đầy đủ thông tin hữu ích cho bạn. Bây giờ bạn đã sở hữu phương tiện bay của chính mình rồi! Hẹn gặp lại trên các tầng mây nhé!
NPC_000098,"1. Occasionally, you will run into some pesky masquerpets while flying. You will see a red box surrounding them.","1. Thỉnh thoảng, bạn sẽ đụng phải một số con masquerpets khi đang bay. Bạn sẽ thấy một hộp màu đỏ bao quanh chúng."
NPC_000099,"2. You can target these creatures with the Left Mouse Button. If you lose sight of them while flying, a green arrow appears on the edge of the screen to indicate which direction you need to turn. ","2. Bạn có thể nhắm mục tiêu những sinh vật này bằng Nút chuột trái. Nếu bạn không nhìn thấy chúng đang bay, một mũi tên màu xanh lá cây sẽ xuất hiện trên mép màn hình để cho biết bạn cần rẽ hướng nào. "
NPC_000100,"3. To attack the creature, simply get as close as you can and press the Left Mouse Button or the Insert Key.\n 4. If you want to follow the monster automatically, press the Z Key.","3. Để tấn công sinh vật này, chỉ cần đến gần nhất có thể và nhấn Nút chuột trái hoặc phím Insert.\n 4. Nếu bạn muốn tự động theo dõi quái vật , hãy nhấn phím Z."
NPC_000101,5. Magicians and Acrobats can shoot from range while in the air. Mercenaries and Assists must rely on melee attacks. You can also use your skills!,5. Magicians và Acrobats có thể bắn từ xa khi ở trên không. Mercenaries và Assists phải dựa vào các cuộc tấn công cận chiến. Bạn cũng có thể sử dụng các kỹ năng của mình!
NPC_000102,"6. When you destroy a flying masquerpet, any dropped loot will be placed into your inventory automatically. If there is no room in your inventory, the loot is lost, so be careful!","6. Khi bạn phá hủy một tấm thảm bay, bất kỳ chiến lợi phẩm nào bị đánh rơi sẽ được tự động đưa vào hành trang của bạn. Nếu không có chỗ trong hành trang, chiến lợi phẩm sẽ bị mất, vì vậy hãy cẩn thận!"
