Key,English,Simplified_Chinese
UI_EVENT_EXPBOOST,EXP Boost!,经验提升！
UI_EVENT_ACCESSORYUPGRADE,Accessory Upgrading!,首饰精炼！
UI_EVENT_WEAPONPIERCING,Weapon Piercing!,武器穿洞！
UI_EVENT_PARTYEXPBOOST,Party EXP Boost!,剧团经验增加！
UI_EVENT_GOLDENAIBATT,Find the Golden Aibatt!,寻找黄金独眼蝙蝠!
UI_EVENT_GOLDENAIBATT_DESC,Kill the Golden Aibatt in dungeons and get drop bonuses!,击杀副本中的黄金独眼蝠以获得掉率加成！
UI_EVENT_NIGHTBOOST,Night Boost!,夜间增益!
UI_EVENT_NIGHTBOOST_DESC,+30% EXP when it's night in-game!,游戏内夜间时段，经验值 + 30%！
UI_EVENT_NIGHTBOOST_NIGHT,It's night! x1.3 EXP!,夜幕降临！经验值 ×1.3 倍！
UI_EVENT_NIGHTBOOST_DAY,"The sun is up, x1.3 EXP has ended...",太阳升起，1.3 倍经验效果已结束……
UI_EVENT_EASTER,Easter Event,复活节活动
UI_EVENT_EASTER_DESC,Complete Eggcellent's Meadow to get Pink Easter Eggs!,通关彩蛋仙境，即可获得粉色复活节彩蛋！
UI_EVENT_SPRING,Spring Event!,春季活动！
UI_EVENT_DIAMONDINTHESKY,Diamond in the Sky,天空之钻
UI_EVENT_DIAMONDINTHESKY_DESC,Destroy the stars in the night sky to obtain star fragments!,击破夜空星辰，获取星之碎片！
UI_EVENT_DIAMONDINTHESKY_NIGHT,Night has come! The stars are coming out. Find them in the sky!,夜幕降临！繁星浮现。到天空中寻找它们吧！
UI_EVENT_DIAMONDINTHESKY_DAY,"Nighttime has passed, the stars are disappearing.",夜幕褪去，星辰消失。
UI_EVENT_DUNGEONCOINS,Dungeon Coins Discount!,副本币消耗减少！
UI_EVENT_DUNGEONCOINS_DESC,Spend fewer Dungeon Coins when taking on missions or entering dungeons!,接受任务、进入副本时，消耗的副本币更少！
UI_EVENT_ANNIVERSARY,1st Anniversary!,1st Anniversary!
UI_EVENT_ANNIVERSARY_DESC,Flyff Universe is turning 1! A huge thank you to all of our players who made this milestone possible!,Flyff Universe is turning 1! A huge thank you to all of our players who made this milestone possible!
UI_EVENT_ANNIVERSARY_ATTENDANCE,1st Anniversary Playtime Event,1st Anniversary Playtime Event
UI_EVENT_ANNIVERSARY_ATTENDANCE_DESC,Log in each day for 40 minutes to receive rewards!,Log in each day for 40 minutes to receive rewards!
UI_EVENT_FWC,Flyff World Championship,Flyff World Championship
UI_EVENT_FWC_LEVELREACH,FWC Level Reach,FWC Level Reach
UI_EVENT_FWC_LEVELREACH_DESC,Reach new levels during the event period and receive rewards! Only on the Flyff World Championship server!,Reach new levels during the event period and receive rewards! Only on the Flyff World Championship server!
UI_EVENT_FWC_GEAREXCHANGE_DESC,Exchange FWC Gear with [FWC Manager] Ava to get more rewards!,Exchange FWC Gear with [FWC Manager] Ava to get more rewards!
UI_EVENT_FWC_DESC,The #bFlyff World Championship#nb is a global competition. Join this server with boosted EXP and Drops and compete for exceptional prizes!,The #bFlyff World Championship#nb is a global competition. Join this server with boosted EXP and Drops and compete for exceptional prizes!
UI_EVENT_MOCOMOCHI,Mocomochi!,摩可摩奇！
UI_EVENT_UPGRADING,Upgrading!,强化！
UI_EVENT_LUCKYCAPSULE,Lucky Draw!,幸运抽奖！
UI_EVENT_LUCKYCAPSULE_DESC,"Earn coins by defeating monsters or completing quests, then spend them at the Gacha Machine to receive exceptional rewards!",击杀怪物、完成任务即可获得硬币，在扭蛋机消耗硬币，赢取豪华奖励！
UI_EVENT_DROPBOOST,Drop Boost!,掉率提升！
UI_EVENT_SUITPIERCING,Suit Piercing!,装备穿洞！
UI_EVENT_MUSICFESTIVAL,Flyff Music Festival!,飞飞音乐节!
UI_EVENT_MUSICFESTIVAL_DESC,Collect Music Notes and Music Score Scrolls from monsters and exchange them with Bach.,击杀怪物收集音符和乐谱卷轴，可在巴赫处兑换奖励！
UI_EVENT_EXPBOOST_DESC_30,+30% Experience!,经验值 + 30%！
UI_EVENT_PARTYEXPBOOST_DESC_30,+30% Party Experience!,剧团经验 + 30%！
UI_EVENT_SECRETBOOST,Secret Boost!,Secret Boost!
UI_EVENT_RESCUE,Rescue Private Leo!,Rescue Private Leo!
UI_EVENT_STONERAIN,Stone Rain!,宝石雨！
UI_EVENT_STONERAIN_DESC,Monsters drop upgrade stone pieces!,击杀怪物可获得各种宝石碎片！
UI_EVENT_LUCKYRPS,Lucky RPS Event,Lucky RPS Event
UI_EVENT_SERVICEMIGRATION,September Connect,September Connect
UI_EVENT_SURVEY,Player Survey! Aim for special rewards!,Player Survey! Aim for special rewards!
UI_EVENT_SURVEY_DESC,Visit https://linktr.ee/flyffuniverse,Visit https://linktr.ee/flyffuniverse
