Key,English,Japanese
PROPQUEST_DUNGEONANDPK_INC_000001,P.K,P.K
PROPQUEST_DUNGEONANDPK_INC_000002,Hunting Monsters to recover Karma,モンスターを狩ってカルマを回復させる
PROPQUEST_DUNGEONANDPK_INC_000003,Your Karma can be redeemed. Are you ready to pay for your sins?,あなたは罪を償うために、試練を受けなければなりません。この試練を乗り越え、罪を購うお気持ちがありますか？？
PROPQUEST_DUNGEONANDPK_INC_000004,Hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.,では、カルマポイントを回復して差し上げますので、$QUEST_END_KILL_NAME$を$QUEST_END_KILL_COUNT$匹討伐しなさい。
PROPQUEST_DUNGEONANDPK_INC_000005,You have yet to pay for your sins…,いつになったら、この底知れぬ罪悪感から抜けられるのだろう？
PROPQUEST_DUNGEONANDPK_INC_000006,Your quest has been accomplished. Your sins have been forgiven.,きちんと任務を完遂したようですね。これであなたの罪は償われました。これからは同じ罪に堕ちぬよう、祈っております。
PROPQUEST_DUNGEONANDPK_INC_000007,"If you are truly unwilling to fight for forgiveness, then there is no hope for you.",罪を償う意志がないのなら、この試練も意味をなさないのですよ。
PROPQUEST_DUNGEONANDPK_INC_000019,Hunting $QUEST_END_KILL_NAME$ will recover your Karma points.,カルマポイントを回復するため、$QUEST_END_KILL_NAME$を処罰して来てください。
PROPQUEST_DUNGEONANDPK_INC_000376,Get the Key to escape Kebaras Island,罪業の珠を集めよ
PROPQUEST_DUNGEONANDPK_INC_000377,You can warp away from here at the Warp Zone but you need the Key. Are you ready to earn it?,あなたは罪を償うために、試練を受けなければなりません。この試練を乗り越え、罪を購うお気持ちがありますか？
PROPQUEST_DUNGEONANDPK_INC_000378,I will give you the Key if you can bring me $QUEST_END_ITEM_COUNT$ Beads of Sin. You can get the beads in the empty lot beside the campsite.,罪業の珠を$QUEST_END_ITEM_COUNT$個持ってきていただければ鍵を差し上げます。このキャンプ場付近で見つかるはずですよ。
PROPQUEST_DUNGEONANDPK_INC_000379,How long until you are ready to leave this place?,いつになったら、この底知れぬ罪悪感から抜けられるのだろう？
PROPQUEST_DUNGEONANDPK_INC_000380,Here is the Key. Now go and never return.,きちんと任務を完遂したようですね。これであなたの罪は償われました。これからは同じ罪に堕ちぬよう、祈っております。
PROPQUEST_DUNGEONANDPK_INC_000381,I will give you your freedom for only $QUEST_END_ITEM_COUNT$ beads. How could you pass on an offer like that?,罪を償う意志はあるか？ならば「罪業の珠」を$QUEST_END_ITEM_COUNT$個集めろ。ここから脱出はさせないぞ。
PROPQUEST_DUNGEONANDPK_INC_000382,Keep gathering your beads.,「罪業の珠」を集めてきなさい。
PROPQUEST_DUNGEONANDPK_INC_000390,You are welcome to stay for as long as you would like.,この罪深き島が気に入ったと言うのでしたら、居てもかまいませんが…。
PROPQUEST_DUNGEONANDPK_INC_000420,Entering the Dekane Mine,デェカネス鉱山への道
PROPQUEST_DUNGEONANDPK_INC_000421,You are really willing to enter the Dekane Mine?,もしかして、死の ＜デェカネス鉱山＞ へ入ろうとしているのか？
PROPQUEST_DUNGEONANDPK_INC_000422,"Then visit the Dwarpet, Rankashu, in front of the Dekane Mine.",だったら、私の使いをちょっと頼まれてくれないか？　＜ランカシュ＞ というドワーフに鉱山ついての調査を依頼しているのだが、その結果を聞いてきてほしいのだ。やつなら、＜デェカネス鉱山＞ の隣にいるはずだ。
PROPQUEST_DUNGEONANDPK_INC_000423,Ha ha ha. Of course not. It is far too frightening.,はははっ！　そうだろうと思った。まあ、怖気づくのも仕方ない。
PROPQUEST_DUNGEONANDPK_INC_000424,Here is the Mine Entrance Card. It is up to you to enter but I advise against it. You may die.,おお、ありがとう。では、鉱山へ入れるIDカード ＜鉱山入場証＞ を渡すから、よろしく頼むよ。もし死ぬことになったりしても、私を恨まないでほしい。鉱山に行くと言ったのは君なのだからな！では、気をつけて！
PROPQUEST_DUNGEONANDPK_INC_000425,Is it so hard to tell me what I want to know? Leave quickly.,ちょっと話を聞いて来る事がそんなに面倒なのか？　まあ、だったら仕方ない。他の冒険者に頼むとするか。じゃあな。\n…用がないなら早くこんなところからは立ち去るといい。
PROPQUEST_DUNGEONANDPK_INC_000426,Visit the Dwarpet Rankashu and get the information Cell wanted.,ドワーフのランカシュに会って、セルに頼まれたことを教えてもらおう。
PROPQUEST_DUNGEONANDPK_INC_000429,You have the Mine Entrance Card. Now to find out what everyone is so afraid of.,＜デェカネス鉱山＞ に入れるIDカードを手に入れた。みんな恐れているこの鉱山には、どんな秘密が隠されているんだろう？
PROPQUEST_DUNGEONANDPK_INC_000431,Keakoon in Mine (1),鉱山のキクン族（上）
PROPQUEST_DUNGEONANDPK_INC_000432,"I am Drian son of Nevil, great chief of the original Keakoon. We were once friendly with the humans.",俺はキクン族の大族長ネビルの息子ドリアンだ！　クックックッ。　まあ、怖がるなよ。俺たちキクン族は、かつて人間達とは仲良くやっていたんだぜ。クックックッ。
PROPQUEST_DUNGEONANDPK_INC_000433,We helped humans develop the mine long ago but when they left some of us were locked up by a new breed of Keakoons.,鉱山を開発し始めた頃は、俺たちと人間が協力して、このあたりも発展したものだったが、人間がこの土地を離れてしまってから、こんな惨めなありさまだ。クックックッ。
PROPQUEST_DUNGEONANDPK_INC_000434,My father is old and cannot last much longer in his prison. Please help me rescue him.,族長だった俺の親父は、人間と仲良くすることに反感を持っていた一味の罠にはめられて、今では監獄へ閉じ込められてしまった…。オマエ、俺の親父を助けてくれないか？　クックックッ。
PROPQUEST_DUNGEONANDPK_INC_000435,"The key to the cell where my father is being kept has three pieces. These false Keakoons are inside, keeping them hidden. Go and bring them to me.",親父が閉じ込められている監獄の扉を開くには、鍵が必要なんだ。だが、見張りのキクンたちが、その鍵をわざわざ三つに分けて保管しているんだ。それを持ってきてくれないか？　クックックッ。
PROPQUEST_DUNGEONANDPK_INC_000436,How could you? To think I thought to count you as a friend.,そうか、人間はみんなそうやって去っていけばいいさ。クックックッ。
PROPQUEST_DUNGEONANDPK_INC_000437,Oh… Thank you… so much. I could never repay you fully. Thank you so much.,あぁ..なんといったらよいか...。ありがとう。ほんとうにありがとう。心からありがとう。
PROPQUEST_DUNGEONANDPK_INC_000438,You have to gather all three pieces of the Key.,鍵の欠片は、三つそれぞれが全部違うんだ。クックックッ。大変だろうが、頼んだぞ、友よ！
