Key,English
PROPMOVER_TXT_000002,Male
PROPMOVER_TXT_000004,Female
PROPMOVER_TXT_000006,Small Aibatt
PROPMOVER_TXT_000008,Aibatt
PROPMOVER_TXT_000010,Captain Aibatt
PROPMOVER_TXT_000012,Giant Aibatt
PROPMOVER_TXT_000014,Small Mushpang
PROPMOVER_TXT_000016,Mushpang
PROPMOVER_TXT_000018,Captain Mushpang
PROPMOVER_TXT_000020,Giant Mushpang
PROPMOVER_TXT_000022,Small Burudeng
PROPMOVER_TXT_000024,Burudeng
PROPMOVER_TXT_000026,Captain Burudeng
PROPMOVER_TXT_000028,Giant Burudeng
PROPMOVER_TXT_000030,Small Pukepuke
PROPMOVER_TXT_000032,Pukepuke
PROPMOVER_TXT_000034,Captain Pukepuke
PROPMOVER_TXT_000036,Giant Pukepuke
PROPMOVER_TXT_000038,Small Peakyturtle
PROPMOVER_TXT_000040,Peakyturtle
PROPMOVER_TXT_000042,Captain Peakyturtle
PROPMOVER_TXT_000044,Giant Peakyturtle
PROPMOVER_TXT_000046,Urchin Demian
PROPMOVER_TXT_000048,Demian
PROPMOVER_TXT_000050,Bad Demian
PROPMOVER_TXT_000052,Giant Demian
PROPMOVER_TXT_000054,Small Doridoma
PROPMOVER_TXT_000056,Doridoma
PROPMOVER_TXT_000058,Captain Doridoma
PROPMOVER_TXT_000060,Giant Doridoma
PROPMOVER_TXT_000062,Young Lawolf
PROPMOVER_TXT_000064,Lawolf
PROPMOVER_TXT_000066,Grownup Lawolf
PROPMOVER_TXT_000068,Giant Lawolf
PROPMOVER_TXT_000070,1st Class Fefern
PROPMOVER_TXT_000072,Fefern
PROPMOVER_TXT_000074,2nd Class Fefern
PROPMOVER_TXT_000076,Giant Fefern
PROPMOVER_TXT_000078,Cute Nyangnyang
PROPMOVER_TXT_000080,Nyangnyang
PROPMOVER_TXT_000082,Creep Nyangnyang
PROPMOVER_TXT_000084,Giant Nyangnyang
PROPMOVER_TXT_000086,Bang
PROPMOVER_TXT_000088,Captain Bang
PROPMOVER_TXT_000090,Boss Bang
PROPMOVER_TXT_000092,Giant Bang
PROPMOVER_TXT_000094,Small Wagsaac
PROPMOVER_TXT_000096,Wagsaac
PROPMOVER_TXT_000098,Captain Wagsaac
PROPMOVER_TXT_000100,Giant Wagsaac
PROPMOVER_TXT_000102,Small Mia
PROPMOVER_TXT_000104,Mia
PROPMOVER_TXT_000106,Captain Mia
PROPMOVER_TXT_000108,Giant Mia
PROPMOVER_TXT_000110,Stale Mr. Pumpkin
PROPMOVER_TXT_000112,Mr. Pumpkin
PROPMOVER_TXT_000114,Rotten Mr Pumpkin
PROPMOVER_TXT_000116,Giant Mr. Pumpkin
PROPMOVER_TXT_000118,Red Mantis C
PROPMOVER_TXT_000120,Red Mantis B
PROPMOVER_TXT_000122,Red Mantis A
PROPMOVER_TXT_000124,Giant Red Mantis
PROPMOVER_TXT_000126,Small Jack the Hammer
PROPMOVER_TXT_000128,Jack the Hammer
PROPMOVER_TXT_000130,Captain Jack the Hammer
PROPMOVER_TXT_000132,Giant Jack the Hammer
PROPMOVER_TXT_000134,Small Giggle Box
PROPMOVER_TXT_000136,Giggle Box
PROPMOVER_TXT_000138,Captain Giggle Box
PROPMOVER_TXT_000140,Giant Giggle Box
PROPMOVER_TXT_000142,Small Rock Muscle
PROPMOVER_TXT_000144,Rock Muscle
PROPMOVER_TXT_000146,Captain Rock Muscle
PROPMOVER_TXT_000148,Giant Rock Muscle
PROPMOVER_TXT_000150,Small Hobo
PROPMOVER_TXT_000152,Hobo
PROPMOVER_TXT_000154,Captain Hobo
PROPMOVER_TXT_000156,Giant Hobo
PROPMOVER_TXT_000158,Small Dumb Bull
PROPMOVER_TXT_000160,Dumb Bull
PROPMOVER_TXT_000162,Captain Dumb Bull
PROPMOVER_TXT_000164,Giant Dumb Bull
PROPMOVER_TXT_000166,Small Totemia
PROPMOVER_TXT_000168,Totemia
PROPMOVER_TXT_000170,Captain Totemia
PROPMOVER_TXT_000172,Giant Totemia
PROPMOVER_TXT_000174,Maid Cardpuppet
PROPMOVER_TXT_000176,Cardpuppet
PROPMOVER_TXT_000178,Manager Cardpuppet
PROPMOVER_TXT_000180,Boss Cardpuppet
PROPMOVER_TXT_000182,Small Tombstone Bearer
PROPMOVER_TXT_000184,Tombstone Bearer
PROPMOVER_TXT_000186,Captain Tombstone Bearer
PROPMOVER_TXT_000188,Giant Tombstone Bearer
PROPMOVER_TXT_000190,Phantom Basque
PROPMOVER_TXT_000192,Basque
PROPMOVER_TXT_000194,Lumping Basque
PROPMOVER_TXT_000196,Giant Basque
PROPMOVER_TXT_000198,Small Mage Prankster
PROPMOVER_TXT_000200,Prankster
PROPMOVER_TXT_000202,Master Mage Prankster
PROPMOVER_TXT_000204,Giantmage Prankster
PROPMOVER_TXT_000206,Rough Wheelem
PROPMOVER_TXT_000208,Wheelem
PROPMOVER_TXT_000210,Bouncing Wheelem
PROPMOVER_TXT_000212,Giant Wheelem
PROPMOVER_TXT_000214,Small Leyena
PROPMOVER_TXT_000216,Leyena
PROPMOVER_TXT_000218,Captain Leyena
PROPMOVER_TXT_000220,Giant Leyena
PROPMOVER_TXT_000222,Small Steam Walker
PROPMOVER_TXT_000224,Steam Walker
PROPMOVER_TXT_000226,Captain Steam Walker
PROPMOVER_TXT_000228,Giant Steam Walker
PROPMOVER_TXT_000230,Small Steel Knight
PROPMOVER_TXT_000232,Steel Knight
PROPMOVER_TXT_000234,Captain Steel Knight
PROPMOVER_TXT_000236,Giant Steel Knight
PROPMOVER_TXT_000238,Small Nutty Wheel
PROPMOVER_TXT_000240,Nutty Wheel
PROPMOVER_TXT_000242,Captain Nutty Wheel
PROPMOVER_TXT_000244,Giant Nutty Wheel
