Key,English,Spanish
CLIENT_HELP_INC_000000,Basic Operations,Operaciones Básicas
CLIENT_HELP_INC_000001,This section will continue were the Info-Pang left off. You can expect a more in-depth explanation of the game mechanics and some unique features.,Esta sección continuará por donde lo dejó Info-Pang. Puedes encontrar una explicación más detallada de las mecánica del juego y algunas características únicas.
CLIENT_HELP_INC_000002,If you read through this section and you still have questions you should visit the Official Website and Forums. These can be found at $WEBSITE$,"Si lees esta sección y todavía tienes preguntas, visita la Página Web Oficial y los Foros. Estos se pueden encontrar en $WEBSITE$"
CLIENT_HELP_INC_000003,Mouse,Ratón
CLIENT_HELP_INC_000004,"Your mouse will be used constantly throughout game play. Left Clicking your mouse will be used most commonly for movement, targeting, and selecting menu options. The Right Click will be used predominately for controlling the camera and accessing the NPC Menu when a NPC is targeted. All of these features will be covered in the Help Menu.","El ratón se usará constantemente durante el juego. El Clic Izquierdo del ratón se utiliza sobretodo para el movimiento, la orientación y la selección de opciones de menú. El Clic Derecho se usa predominantemente para controlar la cámara y acceder al Menú NPC cuando interactúas con un NPC. Todas estas características se explican en el Menú de Ayuda."
CLIENT_HELP_INC_000005,Movement,Movimiento
CLIENT_HELP_INC_000006,"To move using the keyboard, press the “W” Key to go forward, the “A” Key to go left, the “S” Key to go backwards, and the “D” Key to go right. You can also use the Left Click of the Mouse to move.","Para moverse usando el teclado, presione la tecla ""W"" para avanzar, la tecla ""A"" para ir a la izquierda, la tecla ""S"" para retroceder y la tecla ""D"" para ir a la derecha. También puede utilizar el clic izquierdo del ratón para moverte."
CLIENT_HELP_INC_000007,"To jump, simply press the space bar. You can jump either from a standing position or while moving.","Para saltar, pulsa la barra espaciadora. Puedes saltar estando quieto o en movimiento."
CLIENT_HELP_INC_000008,Camera,Cámara
CLIENT_HELP_INC_000009,"You can control the camera view in many different ways. You can even lock the camera into place. To do this access the Start Menu, select Option and then toggle Camera Fix. This will allow you to control the Camera with the A and D keys. This overrides movement controls. If this setup does not feel comfortable to you, you can simply hold down the Right Mouse Button and move the mouse.","Puedes controlar la vista de la cámara de muchas maneras diferentes. Incluso puedes bloquearla. Para hacer esto, accede al Menú de Inicio, selecciona Opciones y cambia a Cámara Fija. Esto te permitirá controlar la Cámara con las teclas A y D. Esto anula los controles de movimiento. Si esta configuración no te resulta cómoda, puedes rotar la cámara moviendo el ratón mientras mantienes presionado el Botón Derecho del Ratón."
