Key,English,Indonesian
PROPQUEST_DUNGEONANDPK_INC_000001,P.K,P.K
PROPQUEST_DUNGEONANDPK_INC_000002,Hunting Monsters to recover Karma,Berburu monster-monster untuk memulihkan Karma
PROPQUEST_DUNGEONANDPK_INC_000003,Your Karma can be redeemed. Are you ready to pay for your sins?,Karmamu bisa ditukarkan. Apakah kamu siap membayar untuk dosa-dosamu?
PROPQUEST_DUNGEONANDPK_INC_000004,Hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.,Berburu $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.
PROPQUEST_DUNGEONANDPK_INC_000005,You have yet to pay for your sins…,Kamu belum membayar untuk dosa-dosamu…
PROPQUEST_DUNGEONANDPK_INC_000006,Your quest has been accomplished. Your sins have been forgiven.,Questmu telah tercapai. Dosa-dosamu telah diampuni.
PROPQUEST_DUNGEONANDPK_INC_000007,"If you are truly unwilling to fight for forgiveness, then there is no hope for you.","Jika kamu benar-benar tidak mau berjuang untuk pengampunan, maka tidak ada harapan bagi kamu."
PROPQUEST_DUNGEONANDPK_INC_000019,Hunting $QUEST_END_KILL_NAME$ will recover your Karma points.,Berburu $QUEST_END_KILL_NAME$ akan memulihkan poin-poin Karmamu.
PROPQUEST_DUNGEONANDPK_INC_000376,Get the Key to escape Kebaras Island,Ambil kunci untuk melarikan diri ke Pulau Kebaras
PROPQUEST_DUNGEONANDPK_INC_000377,You can warp away from here at the Warp Zone but you need the Key. Are you ready to earn it?,Kamu bisa berbelok dari sini di Warp Zone tapi kamu membutuhkan kunci. Kamu siap untuk mendapatkannya?
PROPQUEST_DUNGEONANDPK_INC_000378,I will give you the Key if you can bring me $QUEST_END_ITEM_COUNT$ Beads of Sin. You can get the beads in the empty lot beside the campsite.,Aku akan memberikanmu kunci jika kamu bisa membawakan aku $QUEST_END_ITEM_COUNT$ Beads of Sin. Kamu bisa mendapatkan manik-manik itu ditempat kosong disamping perkemahan.
PROPQUEST_DUNGEONANDPK_INC_000379,How long until you are ready to leave this place?,Berapa lama lagi sampai kamu siap untuk meninggalkan tempat ini?
PROPQUEST_DUNGEONANDPK_INC_000380,Here is the Key. Now go and never return.,Ini kuncinya. Sekarang pergi dan jangan kembali.
PROPQUEST_DUNGEONANDPK_INC_000381,I will give you your freedom for only $QUEST_END_ITEM_COUNT$ beads. How could you pass on an offer like that?,Aku akan memberikanmu kebebasan hanya untuk $QUEST_END_ITEM_COUNT$ manik-manik. Bagaimana kamu bisa memberikan tawaran seperti itu?
PROPQUEST_DUNGEONANDPK_INC_000382,Keep gathering your beads.,Terus kumpulkan manik-manikmu.
PROPQUEST_DUNGEONANDPK_INC_000390,You are welcome to stay for as long as you would like.,Kamu dipersilahkan untuk tinggal selama yang kamu inginkan.
PROPQUEST_DUNGEONANDPK_INC_000420,Entering the Dekane Mine,Memasuki Dekane Mine
PROPQUEST_DUNGEONANDPK_INC_000421,You are really willing to enter the Dekane Mine?,Kamu benar-benar bersedia untuk memasuki Dekane Mine?
PROPQUEST_DUNGEONANDPK_INC_000422,"Then visit the Dwarpet, Rankashu, in front of the Dekane Mine.","Setelah itu kunjungi Dwarpet, Rankashu, didepan Dekane Mine."
PROPQUEST_DUNGEONANDPK_INC_000423,Ha ha ha. Of course not. It is far too frightening.,Ha ha ha. Tentu saja tidak. Itu terlalu menakutkan.
PROPQUEST_DUNGEONANDPK_INC_000424,Here is the Mine Entrance Card. It is up to you to enter but I advise against it. You may die.,Ini Mine Entrance Card. Terserah kamu jika ingin masuk tetapi aku menyarankan untuk tidak melakukannya. Kamu mungkin mati.
PROPQUEST_DUNGEONANDPK_INC_000425,Is it so hard to tell me what I want to know? Leave quickly.,Apakah begitu sulit untuk memberi tahu aku apa yang ingin aku ketahui? Pergilah secepatnya.
PROPQUEST_DUNGEONANDPK_INC_000426,Visit the Dwarpet Rankashu and get the information Cell wanted.,Kunjungi Dwarpet Rankashu and dapatkan informasi yang diinginkan oleh Cell.
PROPQUEST_DUNGEONANDPK_INC_000429,You have the Mine Entrance Card. Now to find out what everyone is so afraid of.,Kamu mempunyai Mine Entrance Card. Sekarang cari tahu apa yang orang-orang takutkan.
PROPQUEST_DUNGEONANDPK_INC_000431,Keakoon in Mine (1),Keakoon in Mine (1)
