Key,English,German
UI_EVENT_EXPBOOST,EXP Boost!,EXP Boost!
UI_EVENT_ACCESSORYUPGRADE,Accessory Upgrading!,Zubehör Aufrüsten!
UI_EVENT_WEAPONPIERCING,Weapon Piercing!,Waffe sockeln!
UI_EVENT_PARTYEXPBOOST,Party EXP Boost!,Gruppe-EXP-Boost!
UI_EVENT_GOLDENAIBATT,Find the Golden Aibatt!,Finde den Goldenen Aibatt!
UI_EVENT_GOLDENAIBATT_DESC,Kill the Golden Aibatt in dungeons and get drop bonuses!,Töte das Goldene Aibatt in Dungeons und erhalte Drop Boni!
UI_EVENT_NIGHTBOOST,Night Boost!,Nacht Boost!
UI_EVENT_NIGHTBOOST_DESC,+30% EXP when it's night in-game!,"+30% Exp, wenn es im Spiel Nacht ist!"
UI_EVENT_NIGHTBOOST_NIGHT,It's night! x1.3 EXP!,Es ist Nacht! x1.3 Exp!!
UI_EVENT_NIGHTBOOST_DAY,"The sun is up, x1.3 EXP has ended...","Die Sonne ist da, x1.3 Exp ist vorbei..."
UI_EVENT_EASTER,Easter Event,Oster Event
UI_EVENT_EASTER_DESC,Complete Eggcellent's Meadow to get Pink Easter Eggs!,"Beende Eggcellent's Meadow, um rosa Ostereier zu bekommen!"
UI_EVENT_SPRING,Spring Event!,Frühlings-Event!
UI_EVENT_DIAMONDINTHESKY,Diamond in the Sky,Wie ein Diamant am Himmel
UI_EVENT_DIAMONDINTHESKY_DESC,Destroy the stars in the night sky to obtain star fragments!,"Zerstöre die Sterne am Nachthimmel, um Sternfragmente zu erhalten!"
UI_EVENT_DIAMONDINTHESKY_NIGHT,Night has come! The stars are coming out. Find them in the sky!,Die Nacht ist gekommen! Die Sterne kommen heraus... Finde sie am Himmel!
UI_EVENT_DIAMONDINTHESKY_DAY,"Nighttime has passed, the stars are disappearing.","Die Nacht ist vorbei, die Sterne verschwinden."
UI_EVENT_DUNGEONCOINS,Dungeon Coins Discount!,Dungeon-Münzen-Rabatt!
UI_EVENT_DUNGEONCOINS_DESC,Spend fewer Dungeon Coins when taking on missions or entering dungeons!,"Gebt weniger Dungeon-Münzen aus, wenn ihr Missionen annehmt oder Dungeons betretet!"
UI_EVENT_ANNIVERSARY,1st Anniversary!,1 Jahr Jubiläum!
UI_EVENT_ANNIVERSARY_DESC,Flyff Universe is turning 1! A huge thank you to all of our players who made this milestone possible!,"FlyFF Universe wird 1 Jahr alt! Ein großes Dankeschön an alle unsere Spieler, die diesen Meilenstein möglich gemacht haben!"
UI_EVENT_ANNIVERSARY_ATTENDANCE,1st Anniversary Playtime Event,1 Jahr Jubiläum Teilnahme
UI_EVENT_ANNIVERSARY_ATTENDANCE_DESC,Log in each day for 40 minutes to receive rewards!,Melde dich jeden Tag für 40 Minuten an und erhalte Belohnungen!
UI_EVENT_FWC,Flyff World Championship,Flyff Weltmeisterschaft
UI_EVENT_FWC_LEVELREACH,FWC Level Reach,FWC Level Erreichen
