Key,English
PROPITEMETC_INC_000001,Leaf Set
PROPITEMETC_INC_000002,Parmil Set
PROPITEMETC_INC_000003,Flower Set
PROPITEMETC_INC_000004,Petal Set
PROPITEMETC_INC_000005,Stinger Set
PROPITEMETC_INC_000006,Slepint Set
PROPITEMETC_INC_000007,Curus Set
PROPITEMETC_INC_000008,Sardine Set
PROPITEMETC_INC_000009,Niz Set
PROPITEMETC_INC_000010,Seer Set
PROPITEMETC_INC_000011,Cylos Set
PROPITEMETC_INC_000012,Comet Set
PROPITEMETC_INC_000013,Miracle Set
PROPITEMETC_INC_000014,Layered Set
PROPITEMETC_INC_000015,Sayram Set
PROPITEMETC_INC_000016,Talin Set
PROPITEMETC_INC_000017,Merr Set
PROPITEMETC_INC_000018,Sorain Set
PROPITEMETC_INC_000019,Stitch Set
PROPITEMETC_INC_000020,Panggril Set
PROPITEMETC_INC_000021,Hyper Set
PROPITEMETC_INC_000022,Cruiser Set
PROPITEMETC_INC_000023,Flury Set
PROPITEMETC_INC_000024,Wedge Set
PROPITEMETC_INC_000025,Misty Set
PROPITEMETC_INC_000026,Teba Set
PROPITEMETC_INC_000027,Recorn Set
PROPITEMETC_INC_000028,Rescorn Set
PROPITEMETC_INC_000029,Rebron Set
PROPITEMETC_INC_000030,Restron Set
PROPITEMETC_INC_000031,Shurand Set
PROPITEMETC_INC_000032,Shuran Set
PROPITEMETC_INC_000033,Ahes Set
PROPITEMETC_INC_000034,Anoos Set
PROPITEMETC_INC_000035,Warpon Set
PROPITEMETC_INC_000036,Warspon Set
PROPITEMETC_INC_000037,Wees Set
PROPITEMETC_INC_000038,Weeshian Set
PROPITEMETC_INC_000039,Ectro Set
PROPITEMETC_INC_000040,Extro Set
PROPITEMETC_INC_000041,Einy Set
PROPITEMETC_INC_000042,Akan Set
PROPITEMETC_INC_000043,Dayst Set
PROPITEMETC_INC_000044,Dest Set
PROPITEMETC_INC_000045,Hanes Set
PROPITEMETC_INC_000046,Haganes Set
PROPITEMETC_INC_000047,Katria Set
PROPITEMETC_INC_000048,Kanarin Set
PROPITEMETC_INC_000049,Restra Set
PROPITEMETC_INC_000050,Rasra Set
PROPITEMETC_INC_000051,Neis Set
PROPITEMETC_INC_000052,Neition Set
PROPITEMETC_INC_000053,Oska Set
PROPITEMETC_INC_000054,Okas Set
PROPITEMETC_INC_000055,Asren Set
PROPITEMETC_INC_000056,Aren Set
PROPITEMETC_INC_000057,Tyrent Set
PROPITEMETC_INC_000058,Tight Set
PROPITEMETC_INC_000059,Pact Set
PROPITEMETC_INC_000060,Paxt Set
PROPITEMETC_INC_000061,Shupon Set
PROPITEMETC_INC_000062,Shrian Set
PROPITEMETC_INC_000063,Navil Set
PROPITEMETC_INC_000064,Neclus Set
PROPITEMETC_INC_000065,Alext Set
PROPITEMETC_INC_000066,Ales Set
PROPITEMETC_INC_000067,Akent Set
PROPITEMETC_INC_000068,Aken Set
PROPITEMETC_INC_000069,Rody Set
PROPITEMETC_INC_000070,Rodey Set
PROPITEMETC_INC_000071,Ropang Set
PROPITEMETC_INC_000072,Roshel Set
PROPITEMETC_INC_000073,Geniun Set
PROPITEMETC_INC_000074,Gynas Set
PROPITEMETC_INC_000075,Mekatro Set
PROPITEMETC_INC_000076,Mekaron Set
PROPITEMETC_INC_000077,Myuran Set
PROPITEMETC_INC_000078,Myurian Set
PROPITEMETC_INC_000079,Elder Set
PROPITEMETC_INC_000080,Ellean Set
PROPITEMETC_INC_000081,Shabel Set
PROPITEMETC_INC_000082,Shurian Set
PROPITEMETC_INC_000131,Knighert Set
PROPITEMETC_INC_000132,Knighz Set
PROPITEMETC_INC_000133,Blain Set
PROPITEMETC_INC_000134,Virain Set
PROPITEMETC_INC_000135,Jesis Set
PROPITEMETC_INC_000136,Jenes Set
PROPITEMETC_INC_000137,Ranerz Set
PROPITEMETC_INC_000138,Raze Set
PROPITEMETC_INC_000139,Rimyth Set
PROPITEMETC_INC_000140,Remingster Set
PROPITEMETC_INC_000141,Billst Set
PROPITEMETC_INC_000142,Billporon Set
PROPITEMETC_INC_000143,Psykon Set
PROPITEMETC_INC_000144,Psyuniper Set
PROPITEMETC_INC_000145,Ellis Set
PROPITEMETC_INC_000146,Ellsis Set
PROPITEMETC_INC_000147,PvE Cruentus Set
PROPITEMETC_INC_000148,PvE Cruenta Set
PROPITEMETC_INC_000149,PvE Noctis Set
PROPITEMETC_INC_000150,PvE Nox Set
PROPITEMETC_INC_000151,PvE Velox Set
PROPITEMETC_INC_000152,PvE Valentis Set
PROPITEMETC_INC_000153,PvE Acer Set
PROPITEMETC_INC_000154,PvE Acris Set
PROPITEMETC_INC_000155,PvE Revenio Set
PROPITEMETC_INC_000156,PvE Revenis Set
PROPITEMETC_INC_000157,PvE Grim Set
PROPITEMETC_INC_000158,PvE Gravis Set
PROPITEMETC_INC_000159,PvE Twilight Set
PROPITEMETC_INC_000160,PvE Eclipse Set
PROPITEMETC_INC_000161,PvE Nanemvis Set
PROPITEMETC_INC_000162,PvE Namavis Set
PROPITEMETC_INC_000163,PvP Obsidian Cruentus Set
PROPITEMETC_INC_000164,PvP Obsidian Cruenta Set
PROPITEMETC_INC_000165,PvP Obsidian Noctis Set
PROPITEMETC_INC_000166,PvP Obsidian Nox Set
PROPITEMETC_INC_000167,PvP Obsidian Velox Set
