Key,English,Japanese
EXCHANGE_ROSHAMBO_EVENT,"Exchange 10 mosquitoes and 50,000 Penya for a Rock-Paper-Scissors coupon.","10匹の蚊と50,000ペニャをじゃんけん券に交換"
EXCHANGE_CHRISTMAS_EVENT,"Exchange 10 red socks and 50,000 Penya for a Rock-Paper-Scissors coupon.","赤い靴下10枚と50,000ペニャをじゃんけん券に交換"
EXCHANGE_PIECE,"If you bring me 10 pieces of any item, I will exchange them for a whole one! Just click the item you want to exchange and press Ok!",10個のピースを持ってきてくれれば、交換しますよ～！交換したいアイテム決めたらクリックして、OKを押すだけですよ！
EXCHANGE_DICE,I can exchange your dice with Penya. Just click the item you want to exchange and press Ok!,きみのサイコロをペニャと交換しますよ。交換したいアイテムをクリックしてOKを押してください。
EXCHANGE_REDCHIPS,"The armor sets I sell here in my shop are absolutely the best you can find! So, how many Red Chips do you have, hmmm?",ショップで販売している防具セットは、最高の品質にこだわってるんだぜ。それで、レッドチップは何枚あるんだい、ん？
EXCHANGE_SUMMER_EVENT,"Exchange Beach Ball, Parasol and Penya for great Beach Boxes!",ビーチボールやパラソル、ペニャをビーチボックスに交換しよう！
EXCHANGE_GREENCHIPS,"The items I sell here in my shop will certainly be helpful! So, how many Green Chips do you have, hmmm?",ここの店で売っている商品はきっと役に立ちます!それで、あなたはいくつのグリーンチップを持っていますか、うーん?
EXCHANGE_BLUECHIPS,"The items I sell here in my shop are absolutely the best you can find! So, how many Blue Chips do you have, hmmm?",私が販売しているアイテムは、全てが最・高・品・質なアイテムですよ。さて、君はブルーチップスを何枚持っているのかね？ん～？？
EXCHANGE_CHRISTMAS_GIFTS,Bring me back my lost gifts and I’ll think about getting you something in return..,失くしたプレゼントを持ってきてくれたら、お返しを考えてあげてもいいぞい
EXCHANGE_RICE_CAKE,I noticed you had a lot of rice cake. You want me to cook them to make them better?,お餅がたくさんあるのに気づきました。あなたは私にそれらをより良くするためにそれらを調理してほしいですか?
EXCHANGE_VALENTINE,"A lot of people have come to me and said they've lost their love letters.. Can you find them and bring them back to me? I’ll give you some great rewards in return.\n\n#cffff0000For the exchange of 5 Letters, you will be rewarded with 1 of the 4 bonus items randomly. Only one can be active at a time, so be careful!#nc",ラブレターをなくしたという人がたくさん来ているのですが、彼らと、ラブレターをを見つけて、私のところに持ってきてください。見返りは十分用意しましょう。\n\n#cffff0000手紙を5通交換すると、4つのボーナスアイテムのうちから1つがランダムで受け取れますよ。一度に1つしか使えないので、気をつけてくださいね。#nc
EXCHANGE_PKCHIPS,"So you like to kill players and steal their chips... No problem, the origin of these items does not interest me. Look what I have to offer you.",プレイヤーを殺してチップを盗むのが好きなんだな...。まあいい、誰を殺して手に入れたかなんてどうだっていいからな。とにかく、ここにあるアイテムを見ていくといい。
EXCHANGE_EASTER_EVENT,"I need your help! Some mischievous creatures have taken all of his eggs and hidden them in a special dungeon. Retrieve them all, and you'll be rewarded with some egg-ceptional loot!",力を貸して！いたずら好きな生き物が、彼の卵をすべて奪い、特別なダンジョンに隠しました。それらをすべて回収すると、卵を知覚する戦利品が手に入ります!
EXCHANGE_DIAMONDINTHESKY_EVENT,Want to add some sparkle to your day? Destroy stars at night and collect Star Fragments! Then come see me for some glittering rewards that are sure to brighten your mood.,あなたの一日に輝きを加えたいですか?夜に星を破壊し、星のかけらを集めよう!それなら、あなたの気分を明るくすること間違いなしのきらびやかな報酬のために私に会いに来てください。
EXCHANGE_ANNIVERSARY_EVENT,It's your special day! Let's make it even sweeter by indulging in some delectable desserts. Come see me for a slice of heaven and some tasty rewards!,それはあなたの特別な日です!おいしいデザートを堪能して、さらに甘くしましょう。天国の一片とおいしい報酬のために私に会いに来てください!
EXCHANGE_RESCUE_EVENT,Have you heard about the people gone missing from the dungeons recently?\nHelp the people from danger and collect the Rescue Certificate!\nI've prepared various rewards for your acts of valor!,最近、ダンジョンから行方不明になった人の話を聞いたことがありますか?\n 人々を危険から\n救い、救助証明書を集めよう!\n\n あなたの勇敢な行動に対して、さまざまな報酬を用意しました!
EXCHANGE_FWCGEAR_EVENT,I will change your +10 High-Level Ultimate weapons and Very Rare equipment to special +10 FWC Golden equipment. Complete several trades to get even more rewards! Note that you can only exchange items matching your class and gender.,高レベルウルティマ武器+10とベリーレア装備を特別なFWCゴールデン装備+10に変更します。複数の取引を完了して、さらに多くの報酬を獲得しましょう!なお、交換できるアイテムはクラスと性別に一致するもののみです。
EXCHANGE_MUSICFESTIVAL_EVENT,Let's turn up the volume on your special day! Join me for a melodic celebration filled with harmonious surprises and musical delights.,特別な日に音量を上げよう!調和のとれた驚きと音楽の喜びに満ちたメロディックなお祝いにご参加ください。
EXCHANGE_SUMMER_EVENT_2023,"The summer is hot!! I need something to cool this heat!\nI hear that you can hear the waves if you put a sea shell by your ears, is this true?",夏は暑い!!この暑さを冷やすものが必要だ!\n\n 貝殻を耳元に置くと波の音が聞こえると聞きますが、本当ですか?
EXCHANGE_OKTOBERFEST_EVENT_2023,"The beer festival is at the peak, so everyone's is busy. We're running low on beer, can you help me out?\nIf you can get me some beer, I'll exchange it for various rewards.",ビール祭りがピークを迎えているので、みんな賑わっています。ビールが足りなくなってきたので、手伝ってもらえますか?\n ビールを買ってくれた\nら、いろんな報酬と交換します。
