Key,English,French
NPC_WHOAREYOU,Who are you?,Présentation
NPC_GOODBYE,Goodbye!,Au revoir
NPC_CARGO,CARGO,CARGO
NPC_WHATSGOINGON,What's going on?,Discussion
NPC_EXIT,Exit,Sortie
NPC_HOWTOFLY,How to Fly,Contrôles en vol
NPC_COMBATFLYING,Combat Flying,Combat en vol
NPC_IDCARD,ID CARD,IDCARD
NPC_WHATABOUTTHEMINE,What about the mine?,Mine de Dekanes
NPC_MOVE,Move,Téléportation
NPC_FORHONOR,For Honor!,Affronter Clockworks
NPC_FORFUN,For Fun!,Un truc drôle
NPC_MEHJUSTBECAUSE,"Meh, just because?",Hmmm…
NPC_YES_ENTER,Yes_Enter,Qui_Entrer
NPC_NO_ENTER,No_Enter,Non_Quitter
NPC_WHEREAMI,Where am I?,Ville
NPC_MAKEANAPPOINTMENT,Make an appointment,Lieu de résurrection
NPC_FINALIZESTATSELECTION,Finalize Stat selection,Initialiser les points de compétence
NPC_DEKANEMINE,Dekane Mine,Mine de Dekanes
NPC_CELL,Cell,Cell
NPC_AZRIAMINE,Azria Mine,Mine d'Azria
NPC_CURSEDSYMBOL,Cursed Symbol,Symbole Corrompu
NPC_GIVESYMBOL,Give the Symbol,Donner le Symbole
NPC_HAELLETTER,Hael's Letter,Lettre d'Hael
NPC_GIVELETTER,Give Letter,Donner la Lettre
NPC_TREASURE_BOX,Treasure,Trésor
NPC_LOSTMEMORIES,Lost Memories,Mémoires Oubliées
NPC_BREWINGPOTIONS,Brewing Potions,Préparer des Potions
NPC_THECURE,The Cure,Le Remède
NPC_GUIDETOFLYING,Guide to Flying,Manuel de vol
NPC_GUIDETOCOMBATFLYING,Guide to Combat Flying,Manuel de combat en vol
NPC_SHOPS,Shops?,Classes
NPC_DEATH,Death?,Vie et Mort
NPC_RECEIVEADDITIONALREWARDS,Receive additional rewards,Recevoir des récompenses supplémentaires
NPC_000044,"Welcome to Keakoon, human! I've got a favor to ask... C'mere!",Bienvenue dans le domaine des Keakoons jeune aventurier. Tu m'as l'air d'être quelqu'un de confiance… pourrais-tu me rendre un service ?
NPC_000045,Fathers Package,Affaires de Nevil
NPC_000046,"Hrrmph! How strange... How did a human like you manage to get in here, anyway?",Hmmm... Comment un être humain comme toi a-t-il pu parvenir jusqu'ici ?!
NPC_000047,"Thank you for saving my father, human. So what brings you here?","Merci de secourir mon père. Mais au fait, qu'est ce qui t'amène ici ?"
NPC_000048,"Please, save my father. He's imprisoned east of here! Hurry!","S'il te plaît, sauve mon père. Il est emprisonné à l'est du village des Keakoons."
NPC_000049,"Hrrmph, listen... I don't know how you found this place, and I don't care. Leave now! This place is too dangerous for your kind.","Hmmm... Je ne sais pas comment tu es arrivé ici, mais tu n'es pas celui dont j'ai besoin. File d'ici, cet endroit est bien trop dangereux pour toi."
NPC_000050,"Hrrmph! I am Drian - Son of Nevil, the Patriarch of Keakoon. You people look down on us, but you're the inferior ones!","Hmmm... Je m'appelle Drian, je suis le fils de Nevil, le Grand Chef des Keakoons."
NPC_000051,"This place is too dangerous for the likes of you, silly human. Go home!","Hmmm.... Cet endroit est bien trop dangereux, rentre à la maison ça vaudra mieux pour toi."
NPC_000052,Here is the package my father left me... Hrrmph!,Voici les affaires que m'a confiées mon père.
NPC_000053,*Sigh* this might take a while...,Hmmm… cela risque de prendre un moment...
NPC_000054,"What? A human?! Here?!? Muahahahah!!! You're either brave or not all there in the head, buddy.",Huh… un humain ? Ici ? Tu dois être vraiment brave… ou alors complètement fou !
NPC_000055,"Ewww!! A hew-mann... Your kind is not welcome here. Get out of my sight, vermin!",Quoi ! Un humain… Tu n'es pas le bienvenu sur ces terres. Tu ferais mieux de déguerpir au plus vite.
NPC_000056,Who am I? Hah! Liked I'd consort with the likes of a human. Get lost!,Hmmm... Je n'ai pas à me présenter à un être humain comme toi.
NPC_000057,"Beat it, human! You're not welcome here!",Rentre chez toi ! Les êtres humains ne sont pas les bienvenus ici.
NPC_000058,*Whistles*,*siffle*
NPC_000059,"Gwarrll! You just gonna stand there, or are you gonna get me out of here? You know, people don't necessarily like to be stared at...","Graouh ! Tu vas juste rester là à me regarder, ou tu vas me sortir d'ici ? Tu sais, ça n'est pas poli de regarder les gens comme ça..."
NPC_000060,"Garr!! I've not seen a human in years! I am Nevil, the honorable Patriarch of Keakoon.","Grrrr. Je n'avais pas vu d'être humain depuis des années. Je suis Nevil, le Grand Chef des Keakoons."
NPC_000061,"*Snort!* A human, eh? Very interesting... I haven't seen one of you weirdos in years! See ya later!",Grrrr. Un humain ? Ça fait des lustres que je n'en avais pas vu. Grrrr… file d'ici.
NPC_000062,Feel free to come see me whenever you are in need of magical goods.,Reviens me voir quand tu auras besoin d'autres objets magiques.
NPC_000063,Nice to meet you. Have you also come to research the magical fields surrounding the islands?,Heureux de faire votre connaissance. Etes-vous également ici pour enquêter sur les champs magnétiques qui entourent cette île ?
NPC_000064,My name is Ciel and I am doing research on the various magical phenomena in the area.,"Je m'appelle Ciel, et j'effectue des recherches sur les différentes phénomènes magique de la région."
NPC_000065,Farewell!,A bientôt !!
NPC_000066,Come to me if you seek absolution.,Viens auprès de moi si tu cherches l'absolution.
NPC_000067,Are you here for confession?,Es-tu ici pour une confession?
NPC_000068,Your aura shines brightly. May it never again lose its brilliance.,Ton… ton aura resplendit de mille feux. Je te souhaite qu'elle ne se ternisse plus jamais à l'avenir.
NPC_000069,I am a shepherd who helps sinners find their way back to the path of righteousness. Come to me if you wish to be cleansed.,Je suis un berger qui aide les êtres humains à expier leurs péchés et retrouver le chemin de la droiture. Viens si tu recherches l'absolution.
NPC_000070,Get the key from one of the criminal Masquerpets. Once you get the key you can enter the Warp Zone in the mountains.,Vous pouvez partir en utilisant le téléporteur au sommet des montagnes de Kebaras. Mais pour cela il vous faut une clé qui s'obtient sur l'un des monstres meurtriers.
NPC_000071,"Good luck to you, stranger. Try not to get caught again, okay?","Bonne chance, et attention à respecter les lois à l'avenir."
