Key,English,Traditional_Chinese
PROPMAP_TXT_000000,,
PROPMAP_TXT_000001,World,世界
PROPMAP_TXT_000002,Region,地區
PROPMAP_TXT_000003,Town,城鎮
PROPMAP_TXT_000004,Madrigal,瑪德利賈
PROPMAP_TXT_000005,"Darkon 1, 2",得肯第一、第二區
PROPMAP_TXT_000006,Darkon 3,得肯第三區
PROPMAP_TXT_000007,Garden of Rhisis,黎席斯庭院
PROPMAP_TXT_000008,Saint Morning,聖音特
PROPMAP_TXT_000009,Flaris,布拉里斯
PROPMAP_TXT_000012,Flarine,布拉里斯鎮
PROPMAP_TXT_000013,Saint City,聖音特城
PROPMAP_TXT_000014,Darken,得肯城
PROPMAP_TXT_000242,Dungeon,副本
PROPMAP_TXT_000263,Mars Dungeon,瑪斯密殿
PROPMAP_TXT_000265,Dekane Mine,迪坎礦坑
PROPMAP_TXT_000266,Iblis Temple,伊普里司神殿
PROPMAP_TXT_000274,Forsaken Tower 1F,深淵之塔一樓
PROPMAP_TXT_000275,Forsaken Tower 2F,深淵之塔二樓
PROPMAP_TXT_000276,Forsaken Tower 3F,深淵之塔三樓
PROPMAP_TXT_000277,Forsaken Tower 4F,深淵之塔四樓
PROPMAP_TXT_000278,Forsaken Tower 5F,深淵之塔五樓
PROPMAP_TXT_000279,Forsaken Tower 6F,深淵之塔六樓
PROPMAP_TXT_000280,Forsaken Tower 7F,深淵之塔七樓
PROPMAP_TXT_000281,Forsaken Tower 8F,Forsaken Tower 8F
PROPMAP_TXT_000282,Forsaken Tower 9F,Forsaken Tower 9F
PROPMAP_TXT_000283,Forsaken Tower 10F,Forsaken Tower 10F
PROPMAP_TXT_100000,Kebaras,卡巴拉斯
PROPMAP_TXT_100001,North-Fl,布拉里斯北部
PROPMAP_TXT_100002,Cen Flarine,布拉里斯中部
PROPMAP_TXT_100003,East-Fla,布拉里斯東部
PROPMAP_TXT_100004,Darkon,得肯
PROPMAP_TXT_100005,The North of Leren Mountains,勒倫山脈北部
PROPMAP_TXT_100006,The River of Weeping,哭泣之河
PROPMAP_TXT_100007,Saint Hall,聖音特教堂
PROPMAP_TXT_100008,Pumpkin Town,南瓜鎮
PROPMAP_TXT_100009,Plateau of Silence,寂靜高原
PROPMAP_TXT_100010,The North of Hillid Mountains,矽立得山脈北部
PROPMAP_TXT_100011,The Middle of Hillid Mountains,矽立得山脈中部
PROPMAP_TXT_100012,The South of Hillid Mountains,矽立得山脈南部
PROPMAP_TXT_100013,Guardian's Room,守護者之室
PROPMAP_TXT_100014,Heret,赫瑞特幽林
PROPMAP_TXT_100015,Cendil,森迪爾螢菇林
PROPMAP_TXT_100016,Aniceknight,安尼斯巨木林
PROPMAP_TXT_100017,Arians,亞利安澤地
PROPMAP_TXT_100018,Deadwallderness,死寂荒原
PROPMAP_TXT_100019,Brekin,布里肯遺廠
PROPMAP_TXT_100020,Guardiane,守護者祭壇
PROPMAP_TXT_100021,Darkon 2 (Cave of Envy),得肯第二區 (嫉妒洞窟)
PROPMAP_TXT_100022,Clockworks' Cage,時空毀滅者囚籠
