Key,English,Thai
TEXTCLIENT_CONNECTING,Connecting. Please wait.,กำลังเชื่อมต่อ โปรดรอสักครู่
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,ไม่สามารถเชื่อมต่อกับเกม โปรดตรวจสอบเครือข่าย
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,เกมได้รับการอัปเดต กรุณาปิดเพจแล้วเปิดใหม่อีกครั้ง
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,ตัวระบุเซิร์ฟเวอร์ไม่ถูกต้อง
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.",ข้อผิดพลาดที่ไม่รู้จัก โปรดลองอีกครั้ง
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,บัญชีของคุณเชื่อมต่อแล้ว
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,คุณต้องการยกเลิกการเชื่อมต่ออุปกรณ์อื่นหรือไม่?
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,อุปกรณ์กำลังถูกตัดการเชื่อมต่อ กรุณาเข้าสู่ระบบอีกครั้งใน 10 วินาที
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.",ขณะนี้ช่องนี้เต็ม โปรดรอสักครู่ หรือเลือกช่องอื่น
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,ชื่อตัวละครนี้ถูกใช้ไปแล้ว
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,ตรวจพบบอสมอนสเตอร์!
TEXTCLIENT_APP_MAP,World Map,แผนที่โลก
TEXTCLIENT_APP_OPTION,Options,Options
TEXTCLIENT_APP_LOGOUT,Log Out,ออกจากระบบ
TEXTCLIENT_APP_QUIT,Quit,ออก
TEXTCLIENT_APP_SUPPORT,Support,สนับสนุน
TEXTCLIENT_APP_PRIVACY,Privacy,Privacy
TEXTCLIENT_APP_NAVIGATOR,Navigator,Navigator
TEXTCLIENT_APP_DEBUG,Debug,Debug
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,ออกจากระบบใน %d sec(s)
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,กำลังเปลี่ยนตัวละครใน %d sec(s)
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,กำลังเชื่อมบัญชีใน %d sec(s)
TEXTCLIENT_LOGOUT,Do you want to disconnect?,ต้องการยกเลิกการเชื่อมต่อหรือไม่?
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,#cffff0000คุณจะสูญเสียตัวละคร Guest ของคุณ#nc โปรดเชื่อมต่อบัญชี
TEXTCLIENT_EXIT,Do you want to exit the program?,คุณต้องการออกจากโปรแกรมหรือไม่?
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,ตัดการเชื่อมต่อจากเซิร์ฟเวอร์
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,การสร้างตัวละครถูกปิดการใช้งานบนเซิร์ฟเวอร์นี้
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,ดูเหมือนว่าจะมีพลังชั่วร้ายมาบดบังการมองเห็นของคุณในพื้นที่
TEXTCLIENT_ITEM_DESC,Description:,คำอธิบาย:
TEXTCLIENT_INVALIDCHARACTERS,This name contains unauthorized characters.,ชื่อนี้มีตัวอักษรที่ไม่ได้รับอนุญาต
TEXTCLIENT_INVALIDNAME,This name contains unauthorized words.,ชื่อนี้มีคำที่ไม่ได้รับอนุญาต
TEXTCLIENT_IPBANNED,Your public internet address has been banned. Contact the administrator for more informations.,ที่อยู่อินเทอร์เน็ตสาธารณะของคุณถูกแบน ติดต่อผู้ดูแลระบบสำหรับข้อมูลเพิ่มเติม
TEXTCLIENT_IPRESTRAINTED,The game is currently not available in your country.,ขณะนี้เกมยังไม่พร้อมให้บริการในประเทศของคุณ
TEXTCLIENT_IPBLOCKED,An important activity has been detected on your public internet address. Please wait %s before trying again.,ตรวจพบกิจกรรมที่สำคัญในที่อยู่อินเทอร์เน็ตสาธารณะของคุณ โปรดรอ %s ก่อนลองอีกครั้ง
TEXTCLIENT_SECS,second(s),วินาที
TEXTCLIENT_MINS,minute(s),นาที
TEXTCLIENT_HOURS,hour(s),ชั่วโมง
TEXTCLIENT_SESSIONEXPIRED,"Your session has expired, please enter your login and password again.",เซสชั่นของคุณหมดอายุแล้ว โปรดเข้าสู่ระบบและใส่รหัสผ่านของคุณอีกครั้ง
TEXTCLIENT_ADMIN,Admin,แอดมิน
TEXTCLIENT_DEVELOPER,Dev,Dev
TEXTCLIENT_GAMEMASTER,Game Master,Game Master
TEXTCLIENT_MODERATOR,MOD,MOD
TEXTCLIENT_VENDOR_NPC,[Vendor],[ผู้ขาย]
TEXTCLIENT_APP_CHAT,Chat Window,แชท
TEXTCLIENT_INVALIDLOGIN,Your login or password is invalid.,การเข้าสู่ระบบหรือรหัสผ่านของคุณไม่ถูกต้อง
TEXTCLIENT_INVALIDAUTHTOKEN,Authentication failed. Please try again.,รับรองความถูกต้องล้มเหลว กรุณาลองอีกครั้ง
TEXTCLIENT_NOWPOSITION,"Position: x = %f, y = %f, z = %f, angle = %f",ตำแหน่ง: x = %f y = %f z = %f มุม = %f
TEXTCLIENT_NOTTRANSSELF,You cannot send a PM to yourself.,คุณไม่สามารถส่ง PM ถึงตัวคุณเอง
TEXTCLIENT_PLAYERNOTEXIST,%s does not exist or is offline.,%s ไม่มีอยู่หรือไม่ได้ออนไลน์
TEXTCLIENT_APP_NOTICE,Notice,ประกาศ
TEXTCLIENT_APP_STATUS,Status,Status
TEXTCLIENT_PLAYERINFORMATION,%s - Lv: %d,%s - เลเวล: %d
TEXTCLIENT_BLINK_LIMIT,You cannot use it during skill motion.,คุณไม่สามารถใช้ได้ระหว่าง skill motion
TEXTCLIENT_NOTSIT_BLINK,You cannot use a Blinkwing while sitting.,คุณไม่สามารถใช้ Blinkwing ขณะนั่งได้
