Key,English,Indonesian
LANGUAGE_CODE,EN,ID
UI_HOME_TITLE,Home,Home
UI_HOME_GUESTCHAR,Guest Character,Guest Character
UI_HOME_NEWCHAR,New Character,New Character
UI_HOME_NEWCHAR_TIP,Create a new character without an account,Buat karakter baru tanpa akun.
UI_HOME_LOGIN,Sign In,Masuk
UI_HOME_REGISTER,Sign Up,Daftar
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.","Masukkan ID & kata sandi, dan tekan OK untuk terhubung ke game."
UI_HOME_ALREADYACCOUNT,Already have an account?,Sudah memiliki akun?
UI_HOME_WEBSITE,Website,Website
UI_HOME_CREDITS,Credits,Credits
UI_HOME_OR,Or,Or
UI_HOME_LOGIN_DOTS,Email:,Email:
UI_HOME_PASSWORD,Password:,Kata Sandi:
UI_HOME_RECOVER,Forgot password?,Tidak ingat kata sandi?
UI_SELECTSERVER_TITLE,Select Server,Pilih Server
UI_SELECTSERVER_BACK,Back,Kembali
UI_SELECTSERVER_NEXT,Next,Selanjutnya
UI_SELECTSERVER_FULL,full,penuh
UI_SELECTSERVER_BUSY,busy,sibuk
UI_SELECTSERVER_BEST,best,paling baik
UI_SELECTSERVER_NEWNAME,Please enter another name:,Silakan masukkan nama lain:
UI_SELECTSERVER_NAMETITLE,Character Name,Nama Karakter
UI_CHARLIST_TITLE,Characters,Karakter
UI_CHARLIST_PLAY,Play,Main
UI_CHARLIST_NEW,New,Baru
UI_CHARLIST_DELETE,Delete,Hapus
UI_DELETECHAR_TITLE,Delete Character,Hapus Karakter
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,Kata sandi untuk menghapus karakter\nMasukkan kata sandi
UI_DELETECHAR_NOPASS,Confirm Deletion?,Apakah kamu mengkonfirmasi?
UI_DELETECHAR_NOTICE,"If you delete this character, its name cannot be used again for one week.","Jika kamu menghapus karakter, maka tidak dapat menggunakan namanya selama seminggu."
UI_NEWCHAR_NAME,Name:,Nama:
UI_NEWCHAR_GIRL,Girl,Perempuan
UI_NEWCHAR_BOY,Boy,Laki-laki
UI_MSGBOX_START,Start,Mulai
UI_MSGBOX_OK,Ok,Ok
UI_MSGBOX_RETRY,Retry,Mencoba kembali
UI_MSGBOX_CANCEL,Cancel,Batal
UI_MSGBOX_YES,Yes,Ya
UI_MSGBOX_NO,No,Tidak
UI_LOADINGSCREEN,"Loading, please wait...","Sedang memuat, harap tunggu..."
UI_OPTION_TITLE,Options,Opsi
UI_OPTION_MUSIC,Music,Musik
UI_OPTION_SOUND,Sound,Suara
UI_OPTION_TEXQUALITY,Textures,Tekstur
UI_OPTION_TEXTOON,Cartoon,Kartun
UI_OPTION_TEXHIGH,High,Tinggi
UI_OPTION_TEXMID,Medium,Sedang
UI_OPTION_TEXLOW,Low,Rendah
UI_OPTION_WEATHER,Weather,Cuaca
UI_OPTION_LANGUAGE,Language,Bahasa
UI_OPTION_SAVE,Save,Simpan
UI_NAVIGATOR_PLAYER,Player,Pemain
UI_NAVIGATOR_PARTY,Party,Party
UI_NAVIGATOR_NPC,NPC,NPC
UI_NAVIGATOR_MONSTER,Monster,Monster
UI_PRIVACY_NOTICE,Privacy Policy,Privacy Policy
UI_MSGBOX_ACCEPT,Accept,Terima
UI_MSGBOX_DECLINE,Decline,Tolak
UI_MSGBOX_CLOSE,Close,Tutup
UI_OPTION_SHADOWS,Shadows,Bayangan
