Key,English,Japanese
PROPQUEST_INC_000000,,
PROPQUEST_INC_010000,Daily,デイリー
PROPQUEST_INC_000291,Save the Garden! (Part 1),遺跡を生かすキャンペーン一つ
PROPQUEST_INC_000292,The Garden of Rhisis is dying! Could you help me?,最近、「リシスの庭」の大地が不安定になっているらしく、このままでは大地が滅んでしまうらしい。それを防ぐためには「ライブティ」というものが必要で、「トムストンベアラー」の「ベアラー・ハート」10個が必要とのことだ。
PROPQUEST_INC_000293,You need 10 Bearer Hearts from Tombstone Bearers to save the Garden of Rhisis.,リシスの庭の環境保護のために＜トムストンベアラー＞から＜ベアラー・ハート＞を10個手に入れる
PROPQUEST_INC_000294,Thank you!,ありがとうございます！
PROPQUEST_INC_000295,"If you change your mind later, please come back to me!",苦労して「ベアラー・ハート」を手に入れたが、今度はジャンヌのところに行けって？これで最後だろうか？何としてもマドリガルの聖地である「リシスの庭」は守りたい！
PROPQUEST_INC_000296,Thank you! You should really talk to Janne.,ありがとう！ジャンヌと話したほうがいい。
PROPQUEST_INC_000297,Come back when you have the Bearer Hearts.,＜ベアラー・ハート＞を手に入れたらまた来てください。
PROPQUEST_INC_000298,Save the Garden! (Part 2),滅び行く聖地リシス～中編～
PROPQUEST_INC_000299,You have a message from my sister!,ボーンボールという神秘の皿があるらしい。モンスターと人間との愛って・・・。とりあえず、キンバリーが保管しているそうだから会ってみよう！ 
PROPQUEST_INC_000300,I see. The Garden of Rhisis is dying... Could you inform my sister Kimberley?,そうだなぁ..。リシスの庭の環境が最悪な状態なんだ。妹の＜キンバリー＞に伝えてくれないだろうか？
PROPQUEST_INC_000302,The problem with the Garden of Rhisis can wait. I guess...,リシスの庭の問題は待つことができるが 
PROPQUEST_INC_000303,Thank you from bringing me this message. I think you should talk to Marche in Eastern Flarine.,わざわざ伝言をありがとう。助かったわ。フラリス東広場にいる＜マルシェ＞に相談してみましょ。
PROPQUEST_INC_000304,You still haven't found Kimberley? She is in Saint City.,あら？キンバリーが見当たらないかしら？彼女はセイントモーニングにいるはずよ。
PROPQUEST_INC_000308,Save the Garden! (Part 3),遺跡を守ろうキャンペーン　その３
PROPQUEST_INC_000309,The Saint City sisters say that the Garden of Rhisis is dying.,「ボーンボール」と「ベアラー・ハート」を渡したら「ライブティー」という独特な香りがするお茶をくれた。これをアンに渡してくれって。しかし、少し、のんだら駄目かなあ？
PROPQUEST_INC_000310,Could you bring a Live Tea to Ann? You can find it the east of the Leren Mountains.,＜アン＞に＜ライブティー＞を持って行っていただけないかしら？彼女はレルエン山脈の東部にいるはずだわ。
PROPQUEST_INC_000311,Thank you! If you help her she will give you an Earring.,ありがとう。彼女を手伝ってくれたらお礼にイヤリングを差し上げるわ。
