Key,English,German
TEXTCLIENT_CONNECTING,Connecting. Please wait.,Verbindungsaufbau. Bitte warten.
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,Verbindung mit dem Spiel nicht möglich. \nBitte überprüfe dein Netzwerkverbindung.
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,Veraltete Version des Programms. Bitte schließ diese Seite und öffne sie erneut.
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,Falsche Serverbezeichnung.
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.","Unbekannter Fehler, bitte erneut versuchen."
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,Dieser Account ist bereits verbunden.
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,Möchtest du die Verbindung des anderen Gerätes trennen?
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,Die Verbindung des Gerätes wird jetzt getrennt. Bitte melde dich in 10 Sekunden erneut an.
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.",Dieser Kanal ist bereits ausgelastet. Bitte warte einen Moment oder wähle einen anderen Kanal aus.
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,Der Charaktername ist bereits in Verwendung.
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,Boss Monster entdeckt!!!
TEXTCLIENT_APP_MAP,World Map,Weltkarte
TEXTCLIENT_APP_OPTION,Options,Optionen
TEXTCLIENT_APP_LOGOUT,Log Out,Ausloggen
TEXTCLIENT_APP_QUIT,Quit,Beenden
TEXTCLIENT_APP_SUPPORT,Support,Helfer
TEXTCLIENT_APP_PRIVACY,Privacy,Privacy
TEXTCLIENT_APP_NAVIGATOR,Navigator,Minimap
TEXTCLIENT_APP_DEBUG,Debug,Debug
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,Spiel beenden in %d Sekunden.
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,Wechsle Charakter in %d Sekunde(n).
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,Verbinde Account in %d Sekunde(n).
TEXTCLIENT_LOGOUT,Do you want to disconnect?,Möchtest du die Verbindung trennen?
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,#cffff0000Du wirst deinen Gast-Charakter verlieren.#nc Bitte verbinde einen Account.
TEXTCLIENT_EXIT,Do you want to exit the program?,Möchtest du das Programm beenden?
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,Verbindung zum Server wurde unterbrochen.
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,Die Charaktererstellung ist auf diesem Server deaktiviert.
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,Das gewählte Gebiet ist verdeckt.
TEXTCLIENT_ITEM_DESC,Description:,Beschreibung:
TEXTCLIENT_INVALIDCHARACTERS,This name contains unauthorized characters.,Dein Name enthält unerlaube Zeichen.
TEXTCLIENT_INVALIDNAME,This name contains unauthorized words.,Dieser Name enthält nicht erlaubte Wörter.
TEXTCLIENT_IPBANNED,Your public internet address has been banned. Contact the administrator for more informations.,Deine öffentliche IP-Adresse wurde gesperrt. Bitte kontaktiere den Support für weitere Informationen.
TEXTCLIENT_IPRESTRAINTED,The game is currently not available in your country.,Das Spiel ist momentan in deinem Land nicht verfügbar.
TEXTCLIENT_IPBLOCKED,An important activity has been detected on your public internet address. Please wait %s before trying again.,Deine öffentliche IP-Adresse weist verdächtige Aktivitäten auf. Bitte warte %s bevor du es erneut versuchst.
TEXTCLIENT_SECS,second(s),Sekunde(n)
TEXTCLIENT_MINS,minute(s),Minute(n)
TEXTCLIENT_HOURS,hour(s),Stunde(n)
TEXTCLIENT_SESSIONEXPIRED,"Your session has expired, please enter your login and password again.",Deine Sitzung ist abgelaufen. Bitte melde dich erneut an.
TEXTCLIENT_ADMIN,Admin,Admin
TEXTCLIENT_DEVELOPER,Dev,Dev
TEXTCLIENT_GAMEMASTER,Game Master,Game Master
TEXTCLIENT_MODERATOR,MOD,MOD
TEXTCLIENT_VENDOR_NPC,[Vendor],[Händler]
TEXTCLIENT_APP_CHAT,Chat Window,Chat Window
TEXTCLIENT_INVALIDLOGIN,Your login or password is invalid.,Dein Benutzername oder Passwort ist falsch.
TEXTCLIENT_INVALIDAUTHTOKEN,Authentication failed. Please try again.,Authentifizierung fehlgeschlagen. Bitte versuche es erneut.
TEXTCLIENT_NOWPOSITION,"Position: x = %f, y = %f, z = %f, angle = %f","Position: x = %f, y = %f, z = %f, angle = %f"
TEXTCLIENT_NOTTRANSSELF,You cannot send a PM to yourself.,Du kannst keine Nachricht an dich selbst senden.
TEXTCLIENT_PLAYERNOTEXIST,%s does not exist or is offline.,%s existiert nicht oder ist nicht online.
TEXTCLIENT_APP_NOTICE,Notice,Notiz
TEXTCLIENT_APP_STATUS,Status,Status
TEXTCLIENT_PLAYERINFORMATION,%s - Lv: %d,%s Lv %d
TEXTCLIENT_BLINK_LIMIT,You cannot use it during skill motion.,Du kannst das nicht während der Skillbewegung benutzen.
TEXTCLIENT_NOTSIT_BLINK,You cannot use a Blinkwing while sitting.,Du kannst einen Blinkwing nicht während des Sitzens verwenden.
TEXTCLIENT_STAND_LIMIT,You can use it when you stand up.,"Du kannst dies nicht tun, während du dich bewegst."
TEXTCLIENT_FLIGHT_NOUSE,Unable to use while flying.,Während des Fliegens nicht möglich.
TEXTCLIENT_ERROR_NOFLY,You cannot fly here.,Du kannst hier nicht fliegen.
TEXTCLIENT_ERROR_NOTALK,You are not allowed to talk.,Du darfst nicht sprechen.
TEXTCLIENT_ERROR_CHATSPAM,You received %d minutes penalty because of too much of chatting.,"Du hast eine Strafe von %d Minuten bekommen, weil du zu viel geschrieben hast."
TEXTCLIENT_APP_MOTION,Emotes,Emotes
TEXTCLIENT_APP_CHARINFO,Character,Charakter
TEXTCLIENT_LIMIT_RECOVER,%s recovery limited to %d.,Die Wiederherstellung von %s ist begrenzt auf %d.
TEXTCLIENT_ATTENTIONCOOLTIME,Please wait a while before using the item again.,Bitte warte kurz bevor du das Item erneut benutzt.
TEXTCLIENT_DEATH,Press Lodestar to resurrect (Nearest Town) or use an item to resurrect in place.,"Klicke Lodestar um dich in der nächsten Stadt wiederzubeleben, oder benutze einen Gegenstand um dich hier wiederzubeleben."
TEXTCLIENT_DEATH_ARENA,Press Lodestar to resurrect near the Arena.,Klicke Lodestar um dich in der Nähe der Arena wiederzubeleben.
TEXTCLIENT_MOBPRIORITY,You cannot attack a monster that is fighting against another player.,"Du kannst das Monster nicht angreifen, weil das Monster bereits gegen einen anderen Spieler kämpft."
TEXTCLIENT_NOQUITCOMBAT,You cannot quit during combat.,Du kannst während dem Kampf das Spiel nicht beenden.
TEXTCLIENT_LEVELUP,Level up! You can increase your stats in your character window.,LEVEL UP! Du kannst deine Attribute jetzt im Statusfenster erhöhen.
TEXTCLIENT_LEVELUP_CAPTION,Congratulations! Level up!,Level Up!!
TEXTCLIENT_CHARSTATUS_APPLY_Q,Do you want to use the current Stat setup?,Möchtest du die jetzigen Statuswerte so akzeptieren.
