Key,English,French
PROPQUEST_INC_000000,,
PROPQUEST_INC_010000,Daily,Journalier
PROPQUEST_INC_000291,Save the Garden! (Part 1),Sauvetage du patrimoine historique Chapitre 1
PROPQUEST_INC_000292,The Garden of Rhisis is dying! Could you help me?,"Le jardin de Rhisis est en train de dépérir. Pour empêcher cela, j'ai besoin de 10 Cœurs de Bearer. J'en trouverai sur des Tombstones."
PROPQUEST_INC_000293,You need 10 Bearer Hearts from Tombstone Bearers to save the Garden of Rhisis.,Il te faut 10 Cœurs de Tombstone pour sauver le Jardin de Rhisis.
PROPQUEST_INC_000294,Thank you!,Merci !
PROPQUEST_INC_000295,"If you change your mind later, please come back to me!",Ann m'a dit d'aller voir Janne.
PROPQUEST_INC_000296,Thank you! You should really talk to Janne.,Merci ! Tu devrais vraiment parler à Janne.
PROPQUEST_INC_000297,Come back when you have the Bearer Hearts.,Reviens quand tu auras les Cœurs de Tombstone.
PROPQUEST_INC_000298,Save the Garden! (Part 2),Sauvetage du patrimoine historique Chapitre 2
PROPQUEST_INC_000299,You have a message from my sister!,Kimberley possède un objet appelé Bol en os. Il faut que j'aille lui parler.
PROPQUEST_INC_000300,I see. The Garden of Rhisis is dying... Could you inform my sister Kimberley?,Je vois. Le Jardin de Rhisis est en train de mourir... Peux-tu en informer ma sœur Kimberley ?
PROPQUEST_INC_000302,The problem with the Garden of Rhisis can wait. I guess...,"Le problème du jardin de Rhisis peut attendre, j'imagine..."
PROPQUEST_INC_000303,Thank you from bringing me this message. I think you should talk to Marche in Eastern Flarine.,Merci de m'avoir apporté ce message. Je pense que tu devrais parler à Marche à Flarine Est.
PROPQUEST_INC_000304,You still haven't found Kimberley? She is in Saint City.,Tu n'as toujours pas trouvé Kimberley ? Elle est à Saincity.
PROPQUEST_INC_000308,Save the Garden! (Part 3),Sauvetage du patrimoine historique - Chapitre 3
PROPQUEST_INC_000309,The Saint City sisters say that the Garden of Rhisis is dying.,"Quand j'ai remis le Bol en os et le Cœur de Bearer à Ann, elle m'a donné un Thé de vie en échange. Je devrais retourner voir Ann."
PROPQUEST_INC_000310,Could you bring a Live Tea to Ann? You can find it the east of the Leren Mountains.,Pourrais-tu apporter un Thé Vivant à Ann ? Tu peux le trouver à l'est des montagnes de Leren.
PROPQUEST_INC_000311,Thank you! If you help her she will give you an Earring.,"Merci ! Si tu l'aides, elle te donnera peut-être des Boucles Plug."
PROPQUEST_INC_000313,I will save the Garden of Rhisis with this tea! Here is an Earring to thank you.,Je vais sauver le Jardin de Rhisis avec ce thé ! Voici des Boucles Plug pour te récompenser.
PROPQUEST_INC_000314,Bring a Live Tea to Ann at Saint City.,Apportez un Thé Vivant à Ann dans la ville de Saint City.
PROPQUEST_INC_000422,Find Santa's Socks!,Chaussettes rouges de Père Noël.
