Key,English,Spanish
DUASYLUM_WLD_000000,Ankou's Asylum,Ankou's Asylum
DUASYLUM_WLD_000001,Ankou's Cell,Ankou's Cell
DUCAVERN_WLD_000000,Leren Chasm (Instance Dungeon),Abismo de Leren (Mazmorra de instancia)
DUHERNEOS_WLD_000000,Herneos (Dungeon),Herneos (Dungeon)
DUDADK_WLD_000000,Dekane Mine (Dungeon),Mina Dekane (Mazmorra)
WORLD_DUFLMAS_DUFLMAS_RGN_000000,Mars Mine (Dungeon),Mina Mars (Mazmorra)
DUGUARDIANE_WLD_000000,Guardiane Sanctuary (Instance Dungeon),Santuario Guardián (Mazmorra de Instancia)
DURUINS_WLD_000000,Rhisis Catacombs (Instance Dungeon),Catacumbas de Rhisis (Mazmorra de Instancia)
DURUSTIA_WLD_000000,The Wilds,Los Salvajes
DUSATEMPLE_WLD_000000,Iblis Temple (Dungeon),Templo de Iblis (Mazmorra)
DUSTORM_WLD_000000,Storm Peak (Instance Dungeon),Pico Tormentoso (Mazmorra de Instancia)
DUUNDERWATER_WLD_000000,Envy Depths (Instance Dungeon),Profundidades Envidiosas (Mazmorra de Instancia)
DUUPRESIA_WLD_000000,Euphresia,Euphresia
DUVOLKANE_WLD_000000,Volkane,Volkane
DUVOLKANE_WLD_000001,Volkane (Dungeon),Volkane (Mazmorra)
WDARENA_WLD_000000,Arena,Arena
WDARENA_WLD_000001,You can PvP in the Arena.,Puedes hacer PvP en la Arena.
WDARENA_WLD_000002,Training Center,Training Center
WDARENA_WLD_000003,Test your capabilities against dummies!,Test your capabilities against dummies!
WDARENA_WLD_000004,,
WDARENA_WLD_000005,,
WDARENA_WLD_000006,The Bronze Vagrant,The Bronze Vagrant
WDARENA_WLD_000007,The Bronze Elementor,The Bronze Elementor
WDARENA_WLD_000008,The Bronze Knight,The Bronze Knight
WDARENA_WLD_000009,The Bronze Psykeeper,The Bronze Psykeeper
WDARENA_WLD_000010,The Bronze Billposter,The Bronze Billposter
WDARENA_WLD_000011,The Bronze Blade,The Bronze Blade
WDARENA_WLD_000012,The Bronze Jester,The Bronze Jester
WDARENA_WLD_000013,The Bronze Ranger,The Bronze Ranger
WDARENA_WLD_000014,The Bronze Ringmaster,The Bronze Ringmaster
WDCOLOSSEUM_WLD_000001,The Colosseum,El Coliseo
WDCOLOSSEUM_WLD_000002,Colosseum Stadium,Estadio Coliseo
WDCOLOSSEUM_WLD_000003,The Cage of Clockworks,The Cage of Clockworks
WDCOLOSSEUM_WLD_000004,Clockworks was sealed here after the Clockworks War.,Clockworks fue sellado aquí cuando terminó la Guerra de Clockworks.
WDEVENT_WLD_000000,Duel Zone,Zona de Duelo
