Key,English,Japanese
UI_EVENT_EXPBOOST,EXP Boost!,経験値ブースト!
UI_EVENT_ACCESSORYUPGRADE,Accessory Upgrading!,アクセサリーアップグレード!
UI_EVENT_WEAPONPIERCING,Weapon Piercing!,武器ソケット作成！
UI_EVENT_PARTYEXPBOOST,Party EXP Boost!,パーティー経験値ブースト!
UI_EVENT_GOLDENAIBATT,Find the Golden Aibatt!,ゴールデンアイバットを探せ!
UI_EVENT_GOLDENAIBATT_DESC,Kill the Golden Aibatt in dungeons and get drop bonuses!,ダンジョンでゴールデンアイバットを倒し、ドロップボーナスを手に入れよう!
UI_EVENT_NIGHTBOOST,Night Boost!,ナイトブースト!
UI_EVENT_NIGHTBOOST_DESC,+30% EXP when it's night in-game!,ゲーム内の夜間中は獲得経験値+30%のようだ！
UI_EVENT_NIGHTBOOST_NIGHT,It's night! x1.3 EXP!,夜が始まる...！獲得経験値が1.3倍になったようだ！
UI_EVENT_NIGHTBOOST_DAY,"The sun is up, x1.3 EXP has ended...",朝日が顔を出し、獲得経験値1.3倍は終わってしまった...！
UI_EVENT_EASTER,Easter Event,イースターイベント
UI_EVENT_EASTER_DESC,Complete Eggcellent's Meadow to get Pink Easter Eggs!,エッグセレントの牧草地をクリアしてピンクのイースターエッグを手に入れよう!
UI_EVENT_SPRING,Spring Event!,春のイベント!
UI_EVENT_DIAMONDINTHESKY,Diamond in the Sky,天空のダイヤモンド
UI_EVENT_DIAMONDINTHESKY_DESC,Destroy the stars in the night sky to obtain star fragments!,夜空の星を破壊して星のかけらを手に入れよう!
UI_EVENT_DIAMONDINTHESKY_NIGHT,Night has come! The stars are coming out. Find them in the sky!,夜になり、星が出現しているようだ...。夜空を飛んで探してみよう！
UI_EVENT_DIAMONDINTHESKY_DAY,"Nighttime has passed, the stars are disappearing.",夜が過ぎ、星が消えていく。
UI_EVENT_DUNGEONCOINS,Dungeon Coins Discount!,ダンジョンコイン割引!
UI_EVENT_DUNGEONCOINS_DESC,Spend fewer Dungeon Coins when taking on missions or entering dungeons!,ミッション挑戦時、ダンジョン入場時に消費するダンジョンコインを節約しよう！
UI_EVENT_ANNIVERSARY,1st Anniversary!,1周年記念!
UI_EVENT_ANNIVERSARY_DESC,Flyff Universe is turning 1! A huge thank you to all of our players who made this milestone possible!,FlyFFユニバースが1周年を迎えます!このマイルストーンを可能にしてくれたプレイヤーの皆さん、本当にありがとうございました!
UI_EVENT_ANNIVERSARY_ATTENDANCE,1st Anniversary Playtime Event,1周年記念アテンダント
UI_EVENT_ANNIVERSARY_ATTENDANCE_DESC,Log in each day for 40 minutes to receive rewards!,毎日40分間ログインして報酬を受け取りましょう!
UI_EVENT_FWC,Flyff World Championship,Flyff世界選手権
UI_EVENT_FWC_LEVELREACH,FWC Level Reach,FWCレベルリーチ
UI_EVENT_FWC_LEVELREACH_DESC,Reach new levels during the event period and receive rewards! Only on the Flyff World Championship server!,イベント期間中に新たなレベルに到達して報酬を獲得しよう!Flyff World Championshipサーバーでのみ!
UI_EVENT_FWC_GEAREXCHANGE_DESC,Exchange FWC Gear with [FWC Manager] Ava to get more rewards!,[FWCマネージャー]エヴァでFWCギアを交換して、より多くの報酬を獲得しましょう!
UI_EVENT_FWC_DESC,The #bFlyff World Championship#nb is a global competition. Join this server with boosted EXP and Drops and compete for exceptional prizes!,#bFlyff World Championship#nbは、2023年9月7日まで開催される世界大会です。ブーストされた経験値とドロップでこのサーバーに参加して、特別な賞品を獲得しましょう!
UI_EVENT_MOCOMOCHI,Mocomochi!,もこもち!
UI_EVENT_UPGRADING,Upgrading!,アップグレード！
UI_EVENT_LUCKYCAPSULE,Lucky Draw!,抽選！
UI_EVENT_LUCKYCAPSULE_DESC,"Earn coins by defeating monsters or completing quests, then spend them at the Gacha Machine to receive exceptional rewards!",モンスターを倒したり、NPCガチャマシンのクエストを完了したりしてコインを獲得し、特別な報酬を受け取りましょう!
UI_EVENT_DROPBOOST,Drop Boost!,ドロップブースト!
UI_EVENT_SUITPIERCING,Suit Piercing!,スーツピアス!
UI_EVENT_MUSICFESTIVAL,Flyff Music Festival!,フリフ音楽祭!
UI_EVENT_MUSICFESTIVAL_DESC,Collect Music Notes and Music Score Scrolls from monsters and exchange them with Bach.,モンスターから音符と楽譜の巻物を集めてNPCバッハと交換する
UI_EVENT_EXPBOOST_DESC_30,+30% Experience!,経験値+30%!
UI_EVENT_PARTYEXPBOOST_DESC_30,+30% Party Experience!,パーティー経験値+30%!
UI_EVENT_SECRETBOOST,Secret Boost!,シークレットブースト!
UI_EVENT_RESCUE,Rescue Private Leo!,プライベートレオを救出!
UI_EVENT_STONERAIN,Stone Rain!,石の雨!
UI_EVENT_STONERAIN_DESC,Monsters drop upgrade stone pieces!,アップグレードストーンをドロップ!
UI_EVENT_LUCKYRPS,Lucky RPS Event,ラッキーRPSイベント
UI_EVENT_SERVICEMIGRATION,September Connect,セプテンバーコネクト
UI_EVENT_SURVEY,Player Survey! Aim for special rewards!,ユーザーアンケート実施中！特別な報酬をGETしよう！
UI_EVENT_SURVEY_DESC,Visit https://linktr.ee/flyffuniverse,詳細はこちらへ！https://linktr.ee/flyffuniverse
