Key,English,Finnish
PROPITEMETC_INC_000001,Leaf Set,Leaf Set
PROPITEMETC_INC_000002,Parmil Set,Parmil Set
PROPITEMETC_INC_000003,Flower Set,Flower Set
PROPITEMETC_INC_000004,Petal Set,Petal Set
PROPITEMETC_INC_000005,Stinger Set,Stinger Set
PROPITEMETC_INC_000006,Slepint Set,Slepint Set
PROPITEMETC_INC_000007,Curus Set,Curus Set
PROPITEMETC_INC_000008,Sardine Set,Sardine Set
PROPITEMETC_INC_000009,Niz Set,Niz Set
PROPITEMETC_INC_000010,Seer Set,Seer Set
PROPITEMETC_INC_000011,Cylos Set,Cylos Set
PROPITEMETC_INC_000012,Comet Set,Comet Set
PROPITEMETC_INC_000013,Miracle Set,Miracle Set
PROPITEMETC_INC_000014,Layered Set,Layered Set
PROPITEMETC_INC_000015,Sayram Set,Sayram Set
PROPITEMETC_INC_000016,Talin Set,Talin Set
PROPITEMETC_INC_000017,Merr Set,Merr Set
PROPITEMETC_INC_000018,Sorain Set,Sorain Set
PROPITEMETC_INC_000019,Stitch Set,Stitch Set
PROPITEMETC_INC_000020,Panggril Set,Panggril Set
PROPITEMETC_INC_000021,Hyper Set,Hyper Set
PROPITEMETC_INC_000022,Cruiser Set,Cruiser Set
PROPITEMETC_INC_000023,Flury Set,Flury Set
PROPITEMETC_INC_000024,Wedge Set,Wedge Set
PROPITEMETC_INC_000025,Misty Set,Misty Set
PROPITEMETC_INC_000026,Teba Set,Teba Set
PROPITEMETC_INC_000027,Recorn Set,Recorn Set
PROPITEMETC_INC_000028,Rescorn Set,Rescorn Set
PROPITEMETC_INC_000029,Rebron Set,Rebron Set
PROPITEMETC_INC_000030,Restron Set,Restron Set
PROPITEMETC_INC_000031,Shurand Set,Shurand Set
PROPITEMETC_INC_000032,Shuran Set,Shuran Set
PROPITEMETC_INC_000033,Ahes Set,Ahes Set
PROPITEMETC_INC_000034,Anoos Set,Anoos Set
PROPITEMETC_INC_000035,Warpon Set,Warpon Set
PROPITEMETC_INC_000036,Warspon Set,Warspon Set
PROPITEMETC_INC_000037,Wees Set,Wees Set
PROPITEMETC_INC_000038,Weeshian Set,Weeshian Set
PROPITEMETC_INC_000039,Ectro Set,Ectro Set
PROPITEMETC_INC_000040,Extro Set,Extro Set
PROPITEMETC_INC_000041,Einy Set,Einy Set
PROPITEMETC_INC_000042,Akan Set,Akan Set
PROPITEMETC_INC_000043,Dayst Set,Dayst Set
PROPITEMETC_INC_000044,Dest Set,Dest Set
PROPITEMETC_INC_000045,Hanes Set,Hanes Set
PROPITEMETC_INC_000046,Haganes Set,Haganes Set
PROPITEMETC_INC_000047,Katria Set,Katria Set
PROPITEMETC_INC_000048,Kanarin Set,Kanarin Set
PROPITEMETC_INC_000049,Restra Set,Restra Set
PROPITEMETC_INC_000050,Rasra Set,Rasra Set
PROPITEMETC_INC_000051,Neis Set,Neis Set
PROPITEMETC_INC_000052,Neition Set,Neition Set
PROPITEMETC_INC_000053,Oska Set,Oska Set
PROPITEMETC_INC_000054,Okas Set,Okas Set
PROPITEMETC_INC_000055,Asren Set,Asren Set
PROPITEMETC_INC_000056,Aren Set,Aren Set
PROPITEMETC_INC_000057,Tyrent Set,Tyrent Set
PROPITEMETC_INC_000058,Tight Set,Tight Set
PROPITEMETC_INC_000059,Pact Set,Pact Set
PROPITEMETC_INC_000060,Paxt Set,Paxt Set
PROPITEMETC_INC_000061,Shupon Set,Shupon Set
PROPITEMETC_INC_000062,Shrian Set,Shrian Set
PROPITEMETC_INC_000063,Navil Set,Navil Set
PROPITEMETC_INC_000064,Neclus Set,Neclus Set
PROPITEMETC_INC_000065,Alext Set,Alext Set
PROPITEMETC_INC_000066,Ales Set,Ales Set
PROPITEMETC_INC_000067,Akent Set,Akent Set
PROPITEMETC_INC_000068,Aken Set,Aken Set
PROPITEMETC_INC_000069,Rody Set,Rody Set
PROPITEMETC_INC_000070,Rodey Set,Rodey Set
PROPITEMETC_INC_000071,Ropang Set,Ropang Set
PROPITEMETC_INC_000072,Roshel Set,Roshel Set
PROPITEMETC_INC_000073,Geniun Set,Geniun Set
PROPITEMETC_INC_000074,Gynas Set,Gynas Set
PROPITEMETC_INC_000075,Mekatro Set,Mekatro Set
PROPITEMETC_INC_000076,Mekaron Set,Mekaron Set
PROPITEMETC_INC_000077,Myuran Set,Myuran Set
PROPITEMETC_INC_000078,Myurian Set,Myurian Set
PROPITEMETC_INC_000079,Elder Set,Elder Set
PROPITEMETC_INC_000080,Ellean Set,Ellean Set
PROPITEMETC_INC_000081,Shabel Set,Shabel Set
PROPITEMETC_INC_000082,Shurian Set,Shurian Set
PROPITEMETC_INC_000131,Knighert Set,Knighert Set
PROPITEMETC_INC_000132,Knighz Set,Knighz Set
PROPITEMETC_INC_000133,Blain Set,Blain Set
PROPITEMETC_INC_000134,Virain Set,Virain Set
PROPITEMETC_INC_000135,Jesis Set,Jesis Set
PROPITEMETC_INC_000136,Jenes Set,Jenes Set
PROPITEMETC_INC_000137,Ranerz Set,Ranerz Set
PROPITEMETC_INC_000138,Raze Set,Raze Set
PROPITEMETC_INC_000139,Rimyth Set,Rimyth Set
PROPITEMETC_INC_000140,Remingster Set,Remingster Set
PROPITEMETC_INC_000141,Billst Set,Billst Set
PROPITEMETC_INC_000142,Billporon Set,Billporon Set
PROPITEMETC_INC_000143,Psykon Set,Psykon Set
PROPITEMETC_INC_000144,Psyuniper Set,Psyuniper Set
PROPITEMETC_INC_000145,Ellis Set,Ellis Set
PROPITEMETC_INC_000146,Ellsis Set,Ellsis Set
PROPITEMETC_INC_000147,PvE Cruentus Set,PvE Cruentus Set
PROPITEMETC_INC_000148,PvE Cruenta Set,PvE Cruenta Set
PROPITEMETC_INC_000149,PvE Noctis Set,PvE Noctis Set
PROPITEMETC_INC_000150,PvE Nox Set,PvE Nox Set
PROPITEMETC_INC_000151,PvE Velox Set,PvE Velox Set
PROPITEMETC_INC_000152,PvE Valentis Set,PvE Valentis Set
PROPITEMETC_INC_000153,PvE Acer Set,PvE Acer Set
PROPITEMETC_INC_000154,PvE Acris Set,PvE Acris Set
PROPITEMETC_INC_000155,PvE Revenio Set,PvE Revenio Set
PROPITEMETC_INC_000156,PvE Revenis Set,PvE Revenis Set
PROPITEMETC_INC_000157,PvE Grim Set,PvE Grim Set
PROPITEMETC_INC_000158,PvE Gravis Set,PvE Gravis Set
PROPITEMETC_INC_000159,PvE Twilight Set,PvE Twilight Set
PROPITEMETC_INC_000160,PvE Eclipse Set,PvE Eclipse Set
PROPITEMETC_INC_000161,PvE Nanemvis Set,PvE Nanemvis Set
PROPITEMETC_INC_000162,PvE Namavis Set,PvE Namavis Set
PROPITEMETC_INC_000163,PvP Obsidian Cruentus Set,PvP Obsidian Cruentus Set
PROPITEMETC_INC_000164,PvP Obsidian Cruenta Set,PvP Obsidian Cruenta Set
PROPITEMETC_INC_000165,PvP Obsidian Noctis Set,PvP Obsidian Noctis Set
PROPITEMETC_INC_000166,PvP Obsidian Nox Set,PvP Obsidian Nox Set
PROPITEMETC_INC_000167,PvP Obsidian Velox Set,PvP Obsidian Velox Set
PROPITEMETC_INC_000168,PvP Obsidian Valentis Set,PvP Obsidian Valentis Set
PROPITEMETC_INC_000169,PvP Obsidian Acer Set,PvP Obsidian Acer Set
PROPITEMETC_INC_000170,PvP Obsidian Acris Set,PvP Obsidian Acris Set
PROPITEMETC_INC_000171,PvP Obsidian Revenio Set,PvP Obsidian Revenio Set
PROPITEMETC_INC_000172,PvP Obsidian Revenis Set,PvP Obsidian Revenis Set
PROPITEMETC_INC_000173,PvP Obsidian Grim Set,PvP Obsidian Grim Set
PROPITEMETC_INC_000174,PvP Obsidian Gravis Set,PvP Obsidian Gravis Set
PROPITEMETC_INC_000175,PvP Obsidian Twilight Set,PvP Obsidian Twilight Set
PROPITEMETC_INC_000176,PvP Obsidian Eclipse Set,PvP Obsidian Eclipse Set
PROPITEMETC_INC_000177,PvP Obsidian Nanemvis Set,PvP Obsidian Nanemvis Set
PROPITEMETC_INC_000178,PvP Obsidian Namavis Set,PvP Obsidian Namavis Set
PROPITEMETC_INC_000179,Cryro Set,Cryro Set
PROPITEMETC_INC_000180,Cyrent Set,Cyrent Set
PROPITEMETC_INC_000181,Forrben Set,Forrben Set
PROPITEMETC_INC_000182,Forrain Set,Forrain Set
