Key,English,Russian
CHARACTER_INC_000001,Mikyel,Микаэла
CHARACTER_INC_000011,Noier,Нуар
CHARACTER_INC_000017,[Sage] Radion,Мудрец Энвидий
CHARACTER_INC_000021,Boboku,Бобохан
CHARACTER_INC_000027,Boboko,Бубохан
CHARACTER_INC_000033,Luda,Людор
CHARACTER_INC_000034,Weapons,Оружие
CHARACTER_INC_000035,Armors,Доспехи
CHARACTER_INC_000039,Lui,Луи
CHARACTER_INC_000043,Arrows,Стрелы
CHARACTER_INC_000045,Losha,Люша
CHARACTER_INC_000051,Marche,Марша
CHARACTER_INC_000057,Julia,Джулия
CHARACTER_INC_000059,Dior,Диор
CHARACTER_INC_000065,Is,Иса
CHARACTER_INC_000068,Iske,Парикмахер Эдвард Депп
CHARACTER_INC_000070,Ispim,Ispim
CHARACTER_INC_000072,Isruel,Модница
CHARACTER_INC_000075,Ismeralda,Исмеральда
CHARACTER_INC_000083,Flaris Pang,Пингвид Фларинц
CHARACTER_INC_000091,Jeff,Инженер Джефф
CHARACTER_INC_000099,[High-Dwarpet] Tucani,Карлик Тукани
CHARACTER_INC_000101,[Jester Wise-man] Radyon,[Jester Wise-man] Radyon
CHARACTER_INC_000103,[Ranger Wise-man] Kimel,[Ranger Wise-man] Kimel
CHARACTER_INC_000111,[Pepoview] Brodeay,"Броди из ""Погорелого театра"""
CHARACTER_INC_000113,[Pepoview] Ruminerr,"Руминер из ""Погорелого театра"""
CHARACTER_INC_000115,[Pepoview] Ellangdl,"Чарли из ""Погорелого театра"""
CHARACTER_INC_000117,[Pepoview] Hotse,"Тутси из ""Погорелого театра"""
CHARACTER_INC_000119,[Pepoview] Vianlee,"Вьен Ли из ""Погорелого театра"""
CHARACTER_INC_000121,[Pepoview] Clackcable,"Тренбрен из ""Погорелого театра"""
CHARACTER_INC_000125,Lancomi,Ланкоми
CHARACTER_INC_000127,Helena,Элена
CHARACTER_INC_000129,Martin,Мартин
CHARACTER_INC_000135,Bill,Билл
CHARACTER_INC_000141,Tina,Тина
CHARACTER_INC_000144,Fuel,Fuel
CHARACTER_INC_000147,Bulrox,Булрокс
CHARACTER_INC_000153,Bozman,Бозман
CHARACTER_INC_000159,Colack,Колак
CHARACTER_INC_000165,Karin,Тетушка Карина
CHARACTER_INC_000171,Leann,Лианна
CHARACTER_INC_000172,Accessories,Шоп
CHARACTER_INC_000174,Ann,Энни
CHARACTER_INC_000176,Herth,Герда
CHARACTER_INC_000178,Janne,Жанна
