Key,English
ACHIEVEMENT_KILL_AIBATT_NAME,Aibatt
ACHIEVEMENT_KILL_MUSHPANG_NAME,Mushpang
ACHIEVEMENT_KILL_BURUDENG_NAME,Burudeng
ACHIEVEMENT_KILL_PUKEPUKE_NAME,Pukepuke
ACHIEVEMENT_KILL_PEAKYTURTLE_NAME,Peakyturtle
ACHIEVEMENT_KILL_DEMIAN_NAME,Demian
ACHIEVEMENT_KILL_DORIDOMA_NAME,Doridoma
ACHIEVEMENT_KILL_LAWOLF_NAME,Lawolf
ACHIEVEMENT_KILL_FEFERN_NAME,Fefern
ACHIEVEMENT_KILL_NYANGNYANG_NAME,Nyangnyang
ACHIEVEMENT_KILL_BANG_NAME,Bang
ACHIEVEMENT_KILL_MOTHBEE_NAME,Mothbee
ACHIEVEMENT_KILL_WAGSAAC_NAME,Wagsaac
ACHIEVEMENT_KILL_FLYBAT_NAME,Flybat
ACHIEVEMENT_KILL_MIA_NAME,Mia
ACHIEVEMENT_KILL_MRPUMPKIN_NAME,Mr. Pumpkin
ACHIEVEMENT_KILL_REDMANTIS_NAME,Redmantis
ACHIEVEMENT_KILL_ZENDROS_NAME,Zendros
ACHIEVEMENT_KILL_JACKTHEHAMMER_NAME,Jack the Hammer
ACHIEVEMENT_KILL_GIGGLEBOX_NAME,Giggle Box
ACHIEVEMENT_KILL_ROCKMUSCLE_NAME,Rock Muscle
ACHIEVEMENT_KILL_BUCROW_NAME,Bucrow
ACHIEVEMENT_KILL_NEPARUBA_NAME,Neparuba
ACHIEVEMENT_KILL_HOBO_NAME,Hobo
ACHIEVEMENT_KILL_DUMBBULL_NAME,Dumbbull
ACHIEVEMENT_KILL_TOTEMIA_NAME,Totemia
ACHIEVEMENT_KILL_CARDPUPPET_NAME,Cardpuppet
ACHIEVEMENT_KILL_FLBYRIGEN_NAME,Flybrigen
ACHIEVEMENT_KILL_TOMBSTONEBEARER_NAME,Tombstone Bearer
ACHIEVEMENT_KILL_SCOPICON_NAME,Scorpicon
ACHIEVEMENT_KILL_BASQUE_NAME,Basque
ACHIEVEMENT_KILL_PRANKSTER_NAME,Prankster
ACHIEVEMENT_KILL_ROCKEPELLER_NAME,Rockepeller
ACHIEVEMENT_KILL_WHEELEM_NAME,Wheelem
ACHIEVEMENT_KILL_LEYENA_NAME,Leyena
ACHIEVEMENT_KILL_TRANGFOMA_NAME,Trangfoma
ACHIEVEMENT_KILL_STEAMWALKER_NAME,Steam Walker
ACHIEVEMENT_KILL_STEELKNIGHT_NAME,Steel Knight
ACHIEVEMENT_KILL_ZOMBIGER_NAME,Zombiger
ACHIEVEMENT_KILL_NUTTYWHEEL_NAME,Nuttywheel
ACHIEVEMENT_KILL_NUCTUVEHICLE_NAME,Nuctuvehicle
ACHIEVEMENT_KILL_DRILLER_NAME,Driller
ACHIEVEMENT_KILL_RISEM_NAME,Risem
ACHIEVEMENT_KILL_GRRR_NAME,Grrr
ACHIEVEMENT_KILL_VOLT_NAME,Volt
ACHIEVEMENT_KILL_ELDERGUARD_NAME,Elderguard
ACHIEVEMENT_KILL_DUMP_NAME,Dump
ACHIEVEMENT_KILL_GARBAGEPIDER_NAME,Garbagespider
ACHIEVEMENT_KILL_ZENMA_NAME,Zenma
ACHIEVEMENT_KILL_CRANEMACHINERY_NAME,Crane Machinery
ACHIEVEMENT_KILL_NAUTREPY_NAME,Nautrepy
ACHIEVEMENT_KILL_SYLIACA_NAME,Syliaca
ACHIEVEMENT_KILL_GREEMONG_NAME,Greemong
ACHIEVEMENT_KILL_BOO_NAME,Boo
ACHIEVEMENT_KILL_CARRIERBOMB_NAME,Carrierbomb
ACHIEVEMENT_KILL_LONGWANG_NAME,Longwing
ACHIEVEMENT_KILL_HOPPRE_NAME,Hoppre
ACHIEVEMENT_KILL_MUSHPOIE_NAME,Mushpoie
ACHIEVEMENT_KILL_IREN_NAME,Iren
