Key,English,French
TEXTCLIENT_CONNECTING,Connecting. Please wait.,Connexion en cours.\nMerci de patienter.
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,La connexion ne peut être établie. Merci de vérifier votre connexion internet.
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,Ancienne version du client. Veuillez fermer la page et la ré-ouvrir.
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,Mauvais identifiant serveur
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.","Erreur inconnue, veuillez réessayer."
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,Votre compte est déjà connecté.
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,Souhaitez-vous déconnecter l'autre appareil ?
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,L'appareil est en train d'être déconnecté. Réessayez de vous connecter dans 10 secondes.
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.","Ce canal est actuellement plein, veuillez patienter un moment ou sélectionnez un autre canal."
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,Ce nom est déjà utilisé. Merci d'en choisir un autre.
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,Boss détecté !!!
TEXTCLIENT_APP_MAP,World Map,Carte du Monde
TEXTCLIENT_APP_OPTION,Options,Options
TEXTCLIENT_APP_LOGOUT,Log Out,Déconnexion
TEXTCLIENT_APP_QUIT,Quit,Quitter
TEXTCLIENT_APP_SUPPORT,Support,Assistance
TEXTCLIENT_APP_PRIVACY,Privacy,Confidentialité
TEXTCLIENT_APP_NAVIGATOR,Navigator,Navigateur
TEXTCLIENT_APP_DEBUG,Debug,Debug
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,Quitter le jeu dans %d sec.
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,Changement de personnage dans %d sec(s).
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,Liaison au compte dans %d sec(s).
TEXTCLIENT_LOGOUT,Do you want to disconnect?,Souhaitez-vous vous déconnecter ?
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,#cffff0000Votre personnage invité sera perdu.#nc Veuillez lier un compte.
TEXTCLIENT_EXIT,Do you want to exit the program?,Souhaitez-vous quitter Flyff ?
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,Déconnecté du serveur du jeu.
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,La création de personnage est désactivée sur ce serveur.
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,Les ténèbres vous empêchent de vous repérer dans cette zone.
TEXTCLIENT_ITEM_DESC,Description:,Description :
TEXTCLIENT_INVALIDCHARACTERS,This name contains unauthorized characters.,Ce nom contient des caractères non autorisés.
TEXTCLIENT_INVALIDNAME,This name contains unauthorized words.,Ce nom contient des mots non autorisés.
TEXTCLIENT_IPBANNED,Your public internet address has been banned. Contact the administrator for more informations.,Votre adresse Internet publique a été interdite. Contactez l'administrateur pour plus d'informations.
TEXTCLIENT_IPRESTRAINTED,The game is currently not available in your country.,Ce jeu n'est actuellement pas disponible dans votre pays.
TEXTCLIENT_IPBLOCKED,An important activity has been detected on your public internet address. Please wait %s before trying again.,Une activité importante a été détectée sur votre adresse Internet publique. Veuillez attendre %s avant de réessayer.
TEXTCLIENT_SECS,second(s),seconde(s)
TEXTCLIENT_MINS,minute(s),minute(s)
TEXTCLIENT_HOURS,hour(s),heure(s)
TEXTCLIENT_SESSIONEXPIRED,"Your session has expired, please enter your login and password again.","Votre session a expiré, veuillez saisir à nouveau votre identifiant et votre mot de passe."
TEXTCLIENT_ADMIN,Admin,Admin
TEXTCLIENT_DEVELOPER,Dev,Dev
TEXTCLIENT_GAMEMASTER,Game Master,Maitre du Jeu
TEXTCLIENT_MODERATOR,MOD,Mod
TEXTCLIENT_VENDOR_NPC,[Vendor],[Marchand]
