Key,English,Portuguese
LANGUAGE_CODE,EN,BR
UI_HOME_TITLE,Home,Início
UI_HOME_GUESTCHAR,Guest Character,Personagem Convidado
UI_HOME_NEWCHAR,New Character,Novo Personagem
UI_HOME_NEWCHAR_TIP,Create a new character without an account,Criar um novo personagem sem conta.
UI_HOME_LOGIN,Sign In,Entrar
UI_HOME_REGISTER,Sign Up,Criar conta
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.",Entre o seu ID & Senha e pressione OK para conectar ao jogo.
UI_HOME_ALREADYACCOUNT,Already have an account?,Já possui uma conta?
UI_HOME_WEBSITE,Website,Website
UI_HOME_CREDITS,Credits,Créditos
UI_HOME_OR,Or,Ou
UI_HOME_LOGIN_DOTS,Email:,E-mail:
UI_HOME_PASSWORD,Password:,Senha:
UI_HOME_RECOVER,Forgot password?,Esqueceu a senha?
UI_SELECTSERVER_TITLE,Select Server,Selecionar Servidor
UI_SELECTSERVER_BACK,Back,Voltar
UI_SELECTSERVER_NEXT,Next,Próximo
UI_SELECTSERVER_FULL,full,Cheio
UI_SELECTSERVER_BUSY,busy,Ocupado
UI_SELECTSERVER_BEST,best,melhor
UI_SELECTSERVER_NEWNAME,Please enter another name:,"Por favor, entre outro nome:"
UI_SELECTSERVER_NAMETITLE,Character Name,Nome do Personagem
UI_CHARLIST_TITLE,Characters,Personagens
UI_CHARLIST_PLAY,Play,Jogar
UI_CHARLIST_NEW,New,Novo
UI_CHARLIST_DELETE,Delete,Excluir
UI_DELETECHAR_TITLE,Delete Character,Excluir Personagem
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,Senha para excluir o personagem\nColoque a senha
UI_DELETECHAR_NOPASS,Confirm Deletion?,Deseja confirmar?
UI_DELETECHAR_NOTICE,"If you delete this character, its name cannot be used again for one week.","Caso exclua um personagem, você não poderá utilizar o nome do personagem excluído durante uma semana."
UI_NEWCHAR_NAME,Name:,Nome:
UI_NEWCHAR_GIRL,Girl,Garota
UI_NEWCHAR_BOY,Boy,Garoto
UI_MSGBOX_START,Start,Iniciar
UI_MSGBOX_OK,Ok,Ok
UI_MSGBOX_RETRY,Retry,Repetir
UI_MSGBOX_CANCEL,Cancel,Cancelar
UI_MSGBOX_YES,Yes,Sim
UI_MSGBOX_NO,No,Não
UI_LOADINGSCREEN,"Loading, please wait...","Carregando, aguarde..."
UI_OPTION_TITLE,Options,Opções
UI_OPTION_MUSIC,Music,Música
UI_OPTION_SOUND,Sound,Som
UI_OPTION_TEXQUALITY,Textures,Texturas
