Key,English,German
PROPQUEST_INC_000000,,
PROPQUEST_INC_010000,Daily,Täglich
PROPQUEST_INC_000291,Save the Garden! (Part 1),Rette die Ruinen von Rhisis - Teil 1
PROPQUEST_INC_000292,The Garden of Rhisis is dying! Could you help me?,Der Garten von Rhisis stirbt. Kannst du mir helfen?
PROPQUEST_INC_000293,You need 10 Bearer Hearts from Tombstone Bearers to save the Garden of Rhisis.,Du benötigst 10 Bearer Hearts von den Tombstone Bearer um den Garten von Rhisis zu retten.
PROPQUEST_INC_000294,Thank you!,Vielen Dank!
PROPQUEST_INC_000295,"If you change your mind later, please come back to me!","Du weißt wo du mich findest, falls du deine Meinung änderst."
PROPQUEST_INC_000296,Thank you! You should really talk to Janne.,Vielen Dank! Du solltest auf jeden Fall mit Janne sprechen.
PROPQUEST_INC_000297,Come back when you have the Bearer Hearts.,Komm wieder wenn du ausreichend Bearer Hearts hast.
PROPQUEST_INC_000298,Save the Garden! (Part 2),Rette die Ruinen von Rhisis - Teil 2
PROPQUEST_INC_000299,You have a message from my sister!,Du hast eine Nachricht von meiner Schwester!
PROPQUEST_INC_000300,I see. The Garden of Rhisis is dying... Could you inform my sister Kimberley?,Ich verstehe. Der Garten von Rhisis stirbt... Könntest du bitte meine Schwester Kimberley informieren?
PROPQUEST_INC_000302,The problem with the Garden of Rhisis can wait. I guess...,"Ich schätze, das Problem mit dem Garten von Rhisis kann warten..."
PROPQUEST_INC_000303,Thank you from bringing me this message. I think you should talk to Marche in Eastern Flarine.,Ich danke dir für die Überbringung dieser Nachricht. Ich denke du solltest mit Marche in Ost-Flaris sprechen.
PROPQUEST_INC_000304,You still haven't found Kimberley? She is in Saint City.,Du hast Kimberley noch nicht gefunden? Sie ist in Saint Morning.
PROPQUEST_INC_000308,Save the Garden! (Part 3),Rette die Ruinen von Rhisis - Teil 3
PROPQUEST_INC_000309,The Saint City sisters say that the Garden of Rhisis is dying.,"Die Saint Morning Schwestern sagen, der Garten von Rhisis würde sterben."
PROPQUEST_INC_000310,Could you bring a Live Tea to Ann? You can find it the east of the Leren Mountains.,Könntest du Ann einen Life Tea bringen? Du findest sie im Zentrum der Stadt Saint Morning.
PROPQUEST_INC_000311,Thank you! If you help her she will give you an Earring.,Vielen Dank! Für deine Hilfe bietet sie dir einen Ohrring.
PROPQUEST_INC_000313,I will save the Garden of Rhisis with this tea! Here is an Earring to thank you.,Ich werde den Garten von Rhisis mithilfe dieses Tees retten. Hier ist ein Ohrring als Anerkennung für deine Hilfe.
PROPQUEST_INC_000314,Bring a Live Tea to Ann at Saint City.,Bring einen Life Tea zu Ann in Saint Morning.
PROPQUEST_INC_000422,Find Santa's Socks!,Die roten Socken vom Weihnachtsmann
PROPQUEST_INC_000423,It is a sad Christmas here in Madrigal. Santa Claus has lost all of the stockings that hold the children's presents! We must find the red stockings!,Es ist ein trauriges Weihnachten in Madrigal. Der Weihnachtsmann die Socken mit den Geschenken für die Kinder verloren! Wir müssen sie wiederfinden!
PROPQUEST_INC_000461,A Favor for the Pastor,Ein Gefallen für den Pastor
PROPQUEST_INC_000462,The pastor would like me to deliver 20 bouquets! I wonder what the reward will be!,"Der Pastor möchte, dass ich 20 Bouquets für ihn finde. Ich frage mich, welche Belohnung wohl auf mich wartet?"
PROPQUEST_INC_000465,Give Back the Love.,Etwas Liebe zurückgeben.
PROPQUEST_INC_000466,I have to gather 10 pieces of hearts. It's time to hunt some masquerpets.,Ich muss 10 Piece of Heart sammeln. Zeit für die Monsterjagd.
PROPQUEST_INC_000469,Vagrant Master (Acrobat),Vagrant Master (Acrobat)
PROPQUEST_INC_000470,"So you want to be an Acrobat, huh? You won't regret it! I have a simple test for you before starting the training. Are you ready? …hic!","Du möchtest also ein Acrobat werden, hm? Du wirst es nicht bereuen! Es gibt einen einfachen Test, bevor wir das Training beginnen. Bist du bereit?"
PROPQUEST_INC_000472,Good luck! You'll need it!,Viel Glück! Du wirst es brauchen.
