Key,English,Indonesian
PROPITEM_TXT_000001,,
PROPITEM_TXT_000002,Hand,Tangan
PROPITEM_TXT_000004,Penya,Penya
PROPITEM_TXT_000012,P.K Reward,P.K Reward
PROPITEM_TXT_000014,(Practice) Wooden Sword,(Practice) Wooden Sword
PROPITEM_TXT_000016,Wooden Sword,Pedang Kayu
PROPITEM_TXT_000018,Normal Sword,Pedang Biasa
PROPITEM_TXT_000020,Long Sword,Pedang Panjang
PROPITEM_TXT_000022,Hand Saw,Hand Saw
PROPITEM_TXT_000024,Hand Claw,Hand Claw
PROPITEM_TXT_000026,Leaf Sword,Leaf Sword
PROPITEM_TXT_000028,Parmil Sword,Parmil Sword
PROPITEM_TXT_000030,Penel Sword,Penel Sword
PROPITEM_TXT_000032,Crimson Sword,Crimson Sword
PROPITEM_TXT_000034,Flower Sword,Flower Sword
PROPITEM_TXT_000036,Petal Sword,Petal Sword
PROPITEM_TXT_000038,Star Sword,Star Sword
PROPITEM_TXT_000040,Blink Sword,Blink Sword
PROPITEM_TXT_000042,Slogger Sword,Slogger Sword
PROPITEM_TXT_000044,Outlaw Sword,Outlaw Sword
PROPITEM_TXT_000046,Fairlight Sword,Fairlight Sword
PROPITEM_TXT_000048,Fairslender Sword,Fairslender Sword
PROPITEM_TXT_000050,Turtle Sword,Turtle Sword
PROPITEM_TXT_000052,Clip Sword,Clip Sword
PROPITEM_TXT_000054,Oval Sword,Oval Sword
PROPITEM_TXT_000056,Tao Sword,Tao Sword
PROPITEM_TXT_000058,Jaim Sword,Jaim Sword
PROPITEM_TXT_000060,Sepal Sword,Sepal Sword
PROPITEM_TXT_000062,Hansel Sword,Hansel Sword
PROPITEM_TXT_000064,Cyclos Sword,Cyclos Sword
PROPITEM_TXT_000066,Comet Sword,Comet Sword
PROPITEM_TXT_000068,Invader Sword,Invader Sword
PROPITEM_TXT_000070,Pricker Sword,Pricker Sword
PROPITEM_TXT_000072,Stitch Sword,Stitch Sword
PROPITEM_TXT_000074,Subblade Sword,Subblade Sword
PROPITEM_TXT_000076,Multiblade Sword,Multiblade Sword
PROPITEM_TXT_000078,Bigmas Sword,Bigmas Sword
PROPITEM_TXT_000080,Panggril Sword,Panggril Sword
PROPITEM_TXT_000082,Savage Sword,Savage Sword
PROPITEM_TXT_000084,Carnage Sword,Carnage Sword
PROPITEM_TXT_000086,Knocker Sword,Knocker Sword
PROPITEM_TXT_000088,Janitor Sword,Janitor Sword
PROPITEM_TXT_000090,Blue Shine Sword,Blue Shine Sword
PROPITEM_TXT_000092,Blue Jade Sword,Blue Jade Sword
PROPITEM_TXT_000094,Shyer Sword,Shyer Sword
PROPITEM_TXT_000096,Zeroth Sword,Zeroth Sword
PROPITEM_TXT_000098,Rowbenon Sword,Rowbenon Sword
PROPITEM_TXT_000100,Emeryl Sword,Emeryl Sword
