Key,English,Japanese
PROPMOVER_TXT_000002,Male,男性
PROPMOVER_TXT_000004,Female,女性
PROPMOVER_TXT_000006,Small Aibatt,スモール・アイバット
PROPMOVER_TXT_000008,Aibatt,アイバット
PROPMOVER_TXT_000010,Captain Aibatt,キャプテン・アイバット
PROPMOVER_TXT_000012,Giant Aibatt,ジャイアント・アイバット
PROPMOVER_TXT_000014,Small Mushpang,スモール・マッシュファング
PROPMOVER_TXT_000016,Mushpang,マッシュファング
PROPMOVER_TXT_000018,Captain Mushpang,キャプテン・マッシュファング
PROPMOVER_TXT_000020,Giant Mushpang,ジャイアント・マッシュファング
PROPMOVER_TXT_000022,Small Burudeng,スモール・ブルデング
PROPMOVER_TXT_000024,Burudeng,ブルデング
PROPMOVER_TXT_000026,Captain Burudeng,キャプテン・ブルデング
PROPMOVER_TXT_000028,Giant Burudeng,ジャイアント・ブルデング
PROPMOVER_TXT_000030,Small Pukepuke,スモール・プケプケ
PROPMOVER_TXT_000032,Pukepuke,プケプケ
PROPMOVER_TXT_000034,Captain Pukepuke,キャプテン・プケプケ
PROPMOVER_TXT_000036,Giant Pukepuke,ジャイアント・プケプケ
PROPMOVER_TXT_000038,Small Peakyturtle,スモール・ピーキータートル
PROPMOVER_TXT_000040,Peakyturtle,ピーキータートル
PROPMOVER_TXT_000042,Captain Peakyturtle,キャプテン・ピーキータートル
PROPMOVER_TXT_000044,Giant Peakyturtle,ジャイアント・ピーキータートル
PROPMOVER_TXT_000046,Urchin Demian,いたずらデミアン
PROPMOVER_TXT_000048,Demian,デミアン
PROPMOVER_TXT_000050,Bad Demian,バッド・デミアン
PROPMOVER_TXT_000052,Giant Demian,ジャイアント・デミアン
PROPMOVER_TXT_000054,Small Doridoma,スモール・ドリドマ
PROPMOVER_TXT_000056,Doridoma,ドリドマ
PROPMOVER_TXT_000058,Captain Doridoma,キャプテン・ドリドマ
PROPMOVER_TXT_000060,Giant Doridoma,ジャイアント・ドリドマ
PROPMOVER_TXT_000062,Young Lawolf,ヤング・ラーウルフ
PROPMOVER_TXT_000064,Lawolf,ラーウルフ
PROPMOVER_TXT_000066,Grownup Lawolf,グロウアップ・ラーウルフ
PROPMOVER_TXT_000068,Giant Lawolf,ジャイアント・ラーウルフ
PROPMOVER_TXT_000070,1st Class Fefern,1クラス・フェフェルン
PROPMOVER_TXT_000072,Fefern,フェフェルン
PROPMOVER_TXT_000074,2nd Class Fefern,2クラス・フェフェルン
PROPMOVER_TXT_000076,Giant Fefern,ジャイアント・フェフェルン
PROPMOVER_TXT_000078,Cute Nyangnyang,キュート・ニャングニャング
PROPMOVER_TXT_000080,Nyangnyang,ニャングニャング
PROPMOVER_TXT_000082,Creep Nyangnyang,クリープ・ニャングニャング
PROPMOVER_TXT_000084,Giant Nyangnyang,ジャイアント・ニャングニャング
PROPMOVER_TXT_000086,Bang,ヴァン
PROPMOVER_TXT_000088,Captain Bang,キャプテン・ヴァン
PROPMOVER_TXT_000090,Boss Bang,ボス・ヴァン
PROPMOVER_TXT_000092,Giant Bang,ジャイアント・ヴァン
PROPMOVER_TXT_000094,Small Wagsaac,スモール・ワッグサック
PROPMOVER_TXT_000096,Wagsaac,ワッグサック
PROPMOVER_TXT_000098,Captain Wagsaac,キャプテン・ワッグサック
PROPMOVER_TXT_000100,Giant Wagsaac,ジャイアント・ワッグサック
PROPMOVER_TXT_000102,Small Mia,スモール・ミーア
PROPMOVER_TXT_000104,Mia,ミーア
PROPMOVER_TXT_000106,Captain Mia,キャプテン・ミーア
PROPMOVER_TXT_000108,Giant Mia,ジャイアント・ミーア
PROPMOVER_TXT_000110,Stale Mr. Pumpkin,古カボチャ男爵
PROPMOVER_TXT_000112,Mr. Pumpkin,カボチャ男爵
PROPMOVER_TXT_000114,Rotten Mr Pumpkin,腐ったカボチャ男爵
PROPMOVER_TXT_000116,Giant Mr. Pumpkin,ジャイアント・カボチャ男爵
PROPMOVER_TXT_000118,Red Mantis C,レッドマンティスＣ
PROPMOVER_TXT_000120,Red Mantis B,レッドマンティスＢ
PROPMOVER_TXT_000122,Red Mantis A,レッドマンティスＡ
PROPMOVER_TXT_000124,Giant Red Mantis,ジャイアント・レッドマンティス
PROPMOVER_TXT_000126,Small Jack the Hammer,スモール・ジャックザハンマー
PROPMOVER_TXT_000128,Jack the Hammer,ジャックザハンマー
PROPMOVER_TXT_000130,Captain Jack the Hammer,キャプテン・ジャックザハンマー
PROPMOVER_TXT_000132,Giant Jack the Hammer,ジャイアント・ジャックザハンマー
PROPMOVER_TXT_000134,Small Giggle Box,スモール・ギッグルボックス
PROPMOVER_TXT_000136,Giggle Box,ギッグルボックス
PROPMOVER_TXT_000138,Captain Giggle Box,キャプテン・ギッグルボックス
PROPMOVER_TXT_000140,Giant Giggle Box,ジャイアント・ギッグルボックス
PROPMOVER_TXT_000142,Small Rock Muscle,スモール・ロックマッスル
PROPMOVER_TXT_000144,Rock Muscle,ロックマッスル
PROPMOVER_TXT_000146,Captain Rock Muscle,キャプテン・ロックマッスル
