Key,English,Simplified_Chinese
TEXTCLIENT_CONNECTING,Connecting. Please wait.,正在连接，请稍候。
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,无法连接，请确认网络状态
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,游戏已更新，请关闭页面并重新打开。
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,服务器标识符错误
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.",未知错误，请重试
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,您的帐号已登录。
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,是否要断开其他设备的连接？
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,设备正在断开连接。请在10秒钟后再次登录。
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.",频道已满，请稍候或选择其他频道。
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,角色名已被占用。
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,巨大怪物出现！
TEXTCLIENT_APP_MAP,World Map,世界地图
TEXTCLIENT_APP_OPTION,Options,设置
TEXTCLIENT_APP_LOGOUT,Log Out,重新登陆
TEXTCLIENT_APP_QUIT,Quit,退出游戏
TEXTCLIENT_APP_SUPPORT,Support,支持
TEXTCLIENT_APP_PRIVACY,Privacy,隐私
TEXTCLIENT_APP_NAVIGATOR,Navigator,导航系统
TEXTCLIENT_APP_DEBUG,Debug,bug反馈
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,%d秒后，结束游戏
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,将于%d秒内切换角色。
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,将在%d秒内关联帐号。
TEXTCLIENT_LOGOUT,Do you want to disconnect?,要结束与此服务器的连接吗
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,#cffff0000你会失去你的游客角色。#nc 请关联一个账号。
TEXTCLIENT_EXIT,Do you want to exit the program?,要结束游戏程式吗
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,与服务器连接中断
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,该服务器无法创建角色。
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,似乎有一股邪恶的力量遮蔽了您在这个地区的视野
TEXTCLIENT_ITEM_DESC,Description:,描述:
TEXTCLIENT_INVALIDCHARACTERS,This name contains unauthorized characters.,这个名字里面存在违规字符哦 
TEXTCLIENT_INVALIDNAME,This name contains unauthorized words.,此名称包含非法字符
TEXTCLIENT_IPBANNED,Your public internet address has been banned. Contact the administrator for more informations.,您的IP地址已被禁用。请联系管理员了解更多信息
TEXTCLIENT_IPRESTRAINTED,The game is currently not available in your country.,该游戏目前无法在您的国家游玩。
TEXTCLIENT_IPBLOCKED,An important activity has been detected on your public internet address. Please wait %s before trying again.,在您的公共互联网地址上检测到一项重要活动。 请等待 %s 再试。
TEXTCLIENT_SECS,second(s),秒
TEXTCLIENT_MINS,minute(s),分 
TEXTCLIENT_HOURS,hour(s),小时
TEXTCLIENT_SESSIONEXPIRED,"Your session has expired, please enter your login and password again.",您的会话已过期，请重新输入您的登录名和密码。
TEXTCLIENT_ADMIN,Admin,管理员
TEXTCLIENT_DEVELOPER,Dev,开发
TEXTCLIENT_GAMEMASTER,Game Master,GM
TEXTCLIENT_MODERATOR,MOD,版主
TEXTCLIENT_VENDOR_NPC,[Vendor],[替身商店]
TEXTCLIENT_APP_CHAT,Chat Window,聊天
TEXTCLIENT_INVALIDLOGIN,Your login or password is invalid.,您的账号或密码错误
TEXTCLIENT_INVALIDAUTHTOKEN,Authentication failed. Please try again.,认证失败。请再次尝试。
TEXTCLIENT_NOWPOSITION,"Position: x = %f, y = %f, z = %f, angle = %f","坐标：x = %f, y = %f, z = %f, angle = %f"
TEXTCLIENT_NOTTRANSSELF,You cannot send a PM to yourself.,您不能向自己发送邮件哦
TEXTCLIENT_PLAYERNOTEXIST,%s does not exist or is offline.,%s 不存在或不在线。 
TEXTCLIENT_APP_NOTICE,Notice,公告
TEXTCLIENT_APP_STATUS,Status,状态
TEXTCLIENT_PLAYERINFORMATION,%s - Lv: %d,%s Lv %d
TEXTCLIENT_BLINK_LIMIT,You cannot use it during skill motion.,吟唱时无法使用。
TEXTCLIENT_NOTSIT_BLINK,You cannot use a Blinkwing while sitting.,在休息状态下无法使用回城卷
TEXTCLIENT_STAND_LIMIT,You can use it when you stand up.,站立时才能使用。
TEXTCLIENT_FLIGHT_NOUSE,Unable to use while flying.,飞行时无法使用
TEXTCLIENT_ERROR_NOFLY,You cannot fly here.,此地区无法飞行
TEXTCLIENT_ERROR_NOTALK,You are not allowed to talk.,您已被禁言><
TEXTCLIENT_ERROR_CHATSPAM,You received %d minutes penalty because of too much of chatting.,由于聊天过多，您收到了禁言 %d 分钟的惩罚。
TEXTCLIENT_APP_MOTION,Emotes,动作
TEXTCLIENT_APP_CHARINFO,Character,角色
