Key,English,Spanish
CLIENT_TREEHELP_INC_000003,Basic Operations,Operaciones Básicas
CLIENT_TREEHELP_INC_000008,How do I fly?,¿Cómo puedo volar?
CLIENT_TREEHELP_INC_000009,Aerial Combat,Combate Aéreo
CLIENT_TREEHELP_INC_000013,Magic Attack,Ataque Mágico
CLIENT_TREEHELP_INC_000045,Task bar,Barra de Tareas
CLIENT_TREEHELP_INC_000065,Inviting members to a Party,Invitar a Miembros a la Party
CLIENT_TREEHELP_INC_000073,Call,Llamar
CLIENT_TREEHELP_INC_000076,,
CLIENT_TREEHELP_INC_000082,Guild Information,Información de Guild
CLIENT_TREEHELP_INC_000093,Vagrant,Vagrant
CLIENT_TREEHELP_INC_000097,First Job Transfer,Cambio a la Primera Clase
CLIENT_TREEHELP_INC_000103,Bloody Strike,Golpe Sangriento
CLIENT_TREEHELP_INC_000108,Sneaker,Red Furtiva
CLIENT_TREEHELP_INC_000109,Empower Weapon,Arma Imbuida
CLIENT_TREEHELP_INC_000119,Slow Step,Paso Lento
CLIENT_TREEHELP_INC_000120,Yo-Yo Mastery,Dominio del Yo-Yo
CLIENT_TREEHELP_INC_000121,Snatch,Arrebatar
CLIENT_TREEHELP_INC_000124,Counterattack,Contraataque
CLIENT_TREEHELP_INC_000128,Auto Shot,Disparo Automático
CLIENT_TREEHELP_INC_000129,Aimed Shot,Disparo Preciso
CLIENT_TREEHELP_INC_000139,Cat's Reflex,Reflejos de Gato
CLIENT_TREEHELP_INC_000140,Cannon Ball,Bala de Cañón
CLIENT_TREEHELP_INC_000166,Blinkpool,Parpadeo
CLIENT_TREEHELP_INC_000167,Second Job Transfer,Cambio a la Segunda Clase
CLIENT_TREEHELP_INC_000172,Power Stomp,Pisotón Poderoso
CLIENT_TREEHELP_INC_000187,Critical Swing,Giro crítico
CLIENT_TREEHELP_INC_000194,Vital stab,Vital Stab
CLIENT_TREEHELP_INC_000195,Ranger,Ranger
CLIENT_TREEHELP_INC_000204,RingMaster,Ringmaster
CLIENT_TREEHELP_INC_000219,Bgvur Tialbold,Bgvur Tialbold
CLIENT_TREEHELP_INC_000222,Elementor,Elementor
CLIENT_TREEHELP_INC_000241,Blizzard,Ventisca
CLIENT_TREEHELP_INC_000255,Flying level,Nivel de Vuelo
CLIENT_TREEHELP_INC_000256,Flying experience,Experiencia de Vuelo
CLIENT_TREEHELP_INC_000257,Travel experience point,Puntos de Experiencia de Viaje
CLIENT_TREEHELP_INC_000266,PXP (common experience),PXP (Experiencia común)
CLIENT_TREEHELP_INC_000267,GP (growth point),Puntos de Estadística
CLIENT_TREEHELP_INC_000288,Ulitmate Weapon Upgrade,Mejora de Armas Definitivas
CLIENT_TREEHELP_INC_000289,Mineral,Mineral
CLIENT_TREEHELP_INC_000290,Erons,Erons
CLIENT_TREEHELP_INC_000291,Krasec,Krasec
CLIENT_TREEHELP_INC_000292,Guru,Gurú
CLIENT_TREEHELP_INC_000293,Collector,Recolector
CLIENT_TREEHELP_INC_000298,PK,PK
CLIENT_TREEHELP_INC_000299,PK attack,Ataque PK
CLIENT_TREEHELP_INC_000300,Karma Point and Penalty,Puntos de Karma y Penalización
CLIENT_TREEHELP_INC_000301,Classfying users according to Karma Point,Clasificar a los usuarios dependiendo de los Puntos de Karma
CLIENT_TREEHELP_INC_000302,PK user Field and Recovering Karma Point,Campo de usuarios PK para la recuperación de Puntos de Karma
CLIENT_TREEHELP_INC_000303,Regional setting,Configuración Regional
CLIENT_TREEHELP_INC_000304,Safety Zone,Zona Segura
CLIENT_TREEHELP_INC_000305,Penalty PK zone,Zona con Penalización PK
CLIENT_TREEHELP_INC_000306,Free PK zone,Zona de PK Libre
CLIENT_TREEHELP_INC_000307,Classfying Server,Clasificar Servidor
CLIENT_TREEHELP_INC_000308,Normal Server,Servidor Normal
CLIENT_TREEHELP_INC_000309,PVP server,Servidor PvP
CLIENT_TREEHELP_INC_000313,Weapon store,Tienda de Armas
CLIENT_TREEHELP_INC_000318,Public office,Oficina Pública
CLIENT_TREEHELP_INC_000320,Beauty Shop,Salón de Belleza
CLIENT_TREEHELP_INC_000321,Please select a subcategory to view available information.,"Por favor, selecciona una subcategoría para ver la información disponible."
