Key,English,Finnish
PROPQUEST_DUNGEONANDPK_INC_000001,P.K,P.K
PROPQUEST_DUNGEONANDPK_INC_000002,Hunting Monsters to recover Karma,Hunting Monsters to recover Karma
PROPQUEST_DUNGEONANDPK_INC_000003,Your Karma can be redeemed. Are you ready to pay for your sins?,Your Karma can be redeemed. Are you ready to pay for your sins?
PROPQUEST_DUNGEONANDPK_INC_000004,Hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.,Hunt $QUEST_END_KILL_COUNT$ $QUEST_END_KILL_NAME$.
PROPQUEST_DUNGEONANDPK_INC_000005,You have yet to pay for your sins…,You have yet to pay for your sins…
PROPQUEST_DUNGEONANDPK_INC_000006,Your quest has been accomplished. Your sins have been forgiven.,Your quest has been accomplished. Your sins have been forgiven.
PROPQUEST_DUNGEONANDPK_INC_000007,"If you are truly unwilling to fight for forgiveness, then there is no hope for you.","If you are truly unwilling to fight for forgiveness, then there is no hope for you."
PROPQUEST_DUNGEONANDPK_INC_000019,Hunting $QUEST_END_KILL_NAME$ will recover your Karma points.,Hunting $QUEST_END_KILL_NAME$ will recover your Karma points.
PROPQUEST_DUNGEONANDPK_INC_000376,Get the Key to escape Kebaras Island,Get the Key to escape Kebaras Island
PROPQUEST_DUNGEONANDPK_INC_000377,You can warp away from here at the Warp Zone but you need the Key. Are you ready to earn it?,You can warp away from here at the Warp Zone but you need the Key. Are you ready to earn it?
PROPQUEST_DUNGEONANDPK_INC_000378,I will give you the Key if you can bring me $QUEST_END_ITEM_COUNT$ Beads of Sin. You can get the beads in the empty lot beside the campsite.,I will give you the Key if you can bring me $QUEST_END_ITEM_COUNT$ Beads of Sin. You can get the beads in the empty lot beside the campsite.
PROPQUEST_DUNGEONANDPK_INC_000379,How long until you are ready to leave this place?,How long until you are ready to leave this place?
PROPQUEST_DUNGEONANDPK_INC_000380,Here is the Key. Now go and never return.,Here is the Key. Now go and never return.
PROPQUEST_DUNGEONANDPK_INC_000381,I will give you your freedom for only $QUEST_END_ITEM_COUNT$ beads. How could you pass on an offer like that?,I will give you your freedom for only $QUEST_END_ITEM_COUNT$ beads. How could you pass on an offer like that?
PROPQUEST_DUNGEONANDPK_INC_000382,Keep gathering your beads.,Keep gathering your beads.
PROPQUEST_DUNGEONANDPK_INC_000390,You are welcome to stay for as long as you would like.,You are welcome to stay for as long as you would like.
PROPQUEST_DUNGEONANDPK_INC_000420,Entering the Dekane Mine,Entering the Dekane Mine
PROPQUEST_DUNGEONANDPK_INC_000421,You are really willing to enter the Dekane Mine?,You are really willing to enter the Dekane Mine?
PROPQUEST_DUNGEONANDPK_INC_000422,"Then visit the Dwarpet, Rankashu, in front of the Dekane Mine.","Then visit the Dwarpet, Rankashu, in front of the Dekane Mine."
PROPQUEST_DUNGEONANDPK_INC_000423,Ha ha ha. Of course not. It is far too frightening.,Ha ha ha. Of course not. It is far too frightening.
PROPQUEST_DUNGEONANDPK_INC_000424,Here is the Mine Entrance Card. It is up to you to enter but I advise against it. You may die.,Here is the Mine Entrance Card. It is up to you to enter but I advise against it. You may die.
PROPQUEST_DUNGEONANDPK_INC_000425,Is it so hard to tell me what I want to know? Leave quickly.,Is it so hard to tell me what I want to know? Leave quickly.
PROPQUEST_DUNGEONANDPK_INC_000426,Visit the Dwarpet Rankashu and get the information Cell wanted.,Visit the Dwarpet Rankashu and get the information Cell wanted.
PROPQUEST_DUNGEONANDPK_INC_000429,You have the Mine Entrance Card. Now to find out what everyone is so afraid of.,You have the Mine Entrance Card. Now to find out what everyone is so afraid of.
PROPQUEST_DUNGEONANDPK_INC_000431,Keakoon in Mine (1),Keakoon in Mine (1)
PROPQUEST_DUNGEONANDPK_INC_000432,"I am Drian son of Nevil, great chief of the original Keakoon. We were once friendly with the humans.","I am Drian son of Nevil, great chief of the original Keakoon. We were once friendly with the humans."
PROPQUEST_DUNGEONANDPK_INC_000433,We helped humans develop the mine long ago but when they left some of us were locked up by a new breed of Keakoons.,We helped humans develop the mine long ago but when they left some of us were locked up by a new breed of Keakoons.
PROPQUEST_DUNGEONANDPK_INC_000434,My father is old and cannot last much longer in his prison. Please help me rescue him.,My father is old and cannot last much longer in his prison. Please help me rescue him.
PROPQUEST_DUNGEONANDPK_INC_000435,"The key to the cell where my father is being kept has three pieces. These false Keakoons are inside, keeping them hidden. Go and bring them to me.","The key to the cell where my father is being kept has three pieces. These false Keakoons are inside, keeping them hidden. Go and bring them to me."
PROPQUEST_DUNGEONANDPK_INC_000436,How could you? To think I thought to count you as a friend.,How could you? To think I thought to count you as a friend.
PROPQUEST_DUNGEONANDPK_INC_000437,Oh… Thank you… so much. I could never repay you fully. Thank you so much.,Oh… Thank you… so much. I could never repay you fully. Thank you so much.
PROPQUEST_DUNGEONANDPK_INC_000438,You have to gather all three pieces of the Key.,You have to gather all three pieces of the Key.
PROPQUEST_DUNGEONANDPK_INC_000439,Hunt Keakoon and get all 3 pieces of the prison key.,Hunt Keakoon and get all 3 pieces of the prison key.
PROPQUEST_DUNGEONANDPK_INC_000442,You have delivered all the pieces of the key but it looks like he still has something to say.,You have delivered all the pieces of the key but it looks like he still has something to say.
PROPQUEST_DUNGEONANDPK_INC_000444,Keakoon in Mine (2),Keakoon in Mine (2)
PROPQUEST_DUNGEONANDPK_INC_000445,I still have a need for you. Would you help me yet again?,I still have a need for you. Would you help me yet again?
PROPQUEST_DUNGEONANDPK_INC_000446,You are a true friend. Take this key and free my father. I am not strong enough. Please.,You are a true friend. Take this key and free my father. I am not strong enough. Please.
PROPQUEST_DUNGEONANDPK_INC_000447,You show yourself to be no better than the fiends that imprisoned my father.,You show yourself to be no better than the fiends that imprisoned my father.
PROPQUEST_DUNGEONANDPK_INC_000449,My father is in a prison on the outskirts of Keakoon village. Please hurry he cannot last much longer.,My father is in a prison on the outskirts of Keakoon village. Please hurry he cannot last much longer.
PROPQUEST_DUNGEONANDPK_INC_000450,"Rescue Nevil, father of Drian.","Rescue Nevil, father of Drian."
PROPQUEST_DUNGEONANDPK_INC_000453,You have saved Nevil. Go and talk to him.,You have saved Nevil. Go and talk to him.
PROPQUEST_DUNGEONANDPK_INC_000455,Keakoon in Mine (3),Keakoon in Mine (3)
PROPQUEST_DUNGEONANDPK_INC_000456,"Many thanks, friend. You have done so much for us but would you do something more?","Many thanks, friend. You have done so much for us but would you do something more?"
PROPQUEST_DUNGEONANDPK_INC_000457,Please defeat the Elite Keakoon Guard Leader and bring me the Chief Sign that proves I am the one true Chief of the Keakoon. Would you also please bring me the cargo my son Drian is keeping safe for me?,Please defeat the Elite Keakoon Guard Leader and bring me the Chief Sign that proves I am the one true Chief of the Keakoon. Would you also please bring me the cargo my son Drian is keeping safe for me?
PROPQUEST_DUNGEONANDPK_INC_000458,What kind of person are you if you refuse to help those with less power than you?,What kind of person are you if you refuse to help those with less power than you?
PROPQUEST_DUNGEONANDPK_INC_000459,Thank you. It is my great hope that Keakoon and human can thrive together once again. Take this ring as a gift.,Thank you. It is my great hope that Keakoon and human can thrive together once again. Take this ring as a gift.
PROPQUEST_DUNGEONANDPK_INC_000460,"If, by any chance, you want more adventure visit Bernard in Darken. Be careful. I would hate for something to happen to you.","If, by any chance, you want more adventure visit Bernard in Darken. Be careful. I would hate for something to happen to you."
PROPQUEST_DUNGEONANDPK_INC_000461,Hrmm… It might not be that dangerous for someone as strong as you.,Hrmm… It might not be that dangerous for someone as strong as you.
PROPQUEST_DUNGEONANDPK_INC_000462,Bring the seal of the chief and the package that Drian is holding back to Nevil.,Bring the seal of the chief and the package that Drian is holding back to Nevil.
PROPQUEST_DUNGEONANDPK_INC_000465,"You rescued Nevil, chief of the Keakoon. You can feel the secrets around this place. Maybe you can get some information from Bernard.","You rescued Nevil, chief of the Keakoon. You can feel the secrets around this place. Maybe you can get some information from Bernard."
PROPQUEST_DUNGEONANDPK_INC_000467,Death Mine and Roaches (1),Death Mine and Roaches (1)
PROPQUEST_DUNGEONANDPK_INC_000468,Hmm… Is that the ring of Nevil around your finger?,Hmm… Is that the ring of Nevil around your finger?
PROPQUEST_DUNGEONANDPK_INC_000469,Your strength has been proven then. Would you prove yourself further? The Roach is somehow connected to the death of people in the mine.,Your strength has been proven then. Would you prove yourself further? The Roach is somehow connected to the death of people in the mine.
PROPQUEST_DUNGEONANDPK_INC_000470,There is a mystery to be unlocked here. Would you bring me the blood of the Roach larva?,There is a mystery to be unlocked here. Would you bring me the blood of the Roach larva?
PROPQUEST_DUNGEONANDPK_INC_000471,Thank you. There are two kinds of Roach - Pink and Blue. Break open their eggs and hunt down the larva.,Thank you. There are two kinds of Roach - Pink and Blue. Break open their eggs and hunt down the larva.
PROPQUEST_DUNGEONANDPK_INC_000472,There will be no revelation without danger.,There will be no revelation without danger.
PROPQUEST_DUNGEONANDPK_INC_000473,"Ahh, there is much to be learned from the blood of these Roaches.","Ahh, there is much to be learned from the blood of these Roaches."
PROPQUEST_DUNGEONANDPK_INC_000474,No! No! No! Bring me more information!,No! No! No! Bring me more information!
PROPQUEST_DUNGEONANDPK_INC_000475,Bring the blood of Roaches by destroying their eggs and defeating Roach Larva.,Bring the blood of Roaches by destroying their eggs and defeating Roach Larva.
PROPQUEST_DUNGEONANDPK_INC_000478,Looks like he still has a need of you.,Looks like he still has a need of you.
PROPQUEST_DUNGEONANDPK_INC_000480,Death Mine and Roaches (2),Death Mine and Roaches (2)
PROPQUEST_DUNGEONANDPK_INC_000481,The toxicity of Roaches has poisoned many humans in the mine.,The toxicity of Roaches has poisoned many humans in the mine.
PROPQUEST_DUNGEONANDPK_INC_000482,It seems that the Roach Queens are the source of the poison.,It seems that the Roach Queens are the source of the poison.
PROPQUEST_DUNGEONANDPK_INC_000483,Bring me the blood of Pink and Blue Roach Queens so that I can make a vaccine.,Bring me the blood of Pink and Blue Roach Queens so that I can make a vaccine.
PROPQUEST_DUNGEONANDPK_INC_000484,Sprinkle this liquid on the Roach Queen egg to wake her up. Be careful.,Sprinkle this liquid on the Roach Queen egg to wake her up. Be careful.
PROPQUEST_DUNGEONANDPK_INC_000485,You really will not see this through to the end?,You really will not see this through to the end?
