Key,English,Simplified_Chinese
LANGUAGE_CODE,EN,CNS
UI_HOME_TITLE,Home,开始
UI_HOME_GUESTCHAR,Guest Character,游客角色
UI_HOME_NEWCHAR,New Character,新角色
UI_HOME_NEWCHAR_TIP,Create a new character without an account,不使用账号直接创建一个角色。
UI_HOME_LOGIN,Sign In,登录
UI_HOME_REGISTER,Sign Up,注册
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.",输入账号和密码，然后点击OK进入游戏。
UI_HOME_ALREADYACCOUNT,Already have an account?,已经有了一个账号吗？
UI_HOME_WEBSITE,Website,网址
UI_HOME_CREDITS,Credits,信用
UI_HOME_OR,Or,或者
UI_HOME_LOGIN_DOTS,Email:,邮件：
UI_HOME_PASSWORD,Password:,密码：
UI_HOME_RECOVER,Forgot password?,忘记密码？
UI_SELECTSERVER_TITLE,Select Server,选择服务器
UI_SELECTSERVER_BACK,Back,返回
UI_SELECTSERVER_NEXT,Next,下一步
UI_SELECTSERVER_FULL,full,满员
UI_SELECTSERVER_BUSY,busy,繁忙
UI_SELECTSERVER_BEST,best,空闲
UI_SELECTSERVER_NEWNAME,Please enter another name:,请输入另一个名字:
UI_SELECTSERVER_NAMETITLE,Character Name,角色名称
UI_CHARLIST_TITLE,Characters,角色
UI_CHARLIST_PLAY,Play,进入游戏
UI_CHARLIST_NEW,New,新建角色
UI_CHARLIST_DELETE,Delete,删除
UI_DELETECHAR_TITLE,Delete Character,删除角色
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,删除角色需要输入密码\n输入密码
UI_DELETECHAR_NOPASS,Confirm Deletion?,你确定吗？
UI_DELETECHAR_NOTICE,"If you delete this character, its name cannot be used again for one week.",如果您删除一个角色，您将无法在一周内使用这个名字。
UI_NEWCHAR_NAME,Name:,名称:
UI_NEWCHAR_GIRL,Girl,女性
UI_NEWCHAR_BOY,Boy,男性
UI_MSGBOX_START,Start,开始
UI_MSGBOX_OK,Ok,确认
UI_MSGBOX_RETRY,Retry,再试一次
UI_MSGBOX_CANCEL,Cancel,取消
UI_MSGBOX_YES,Yes,同意
UI_MSGBOX_NO,No,拒绝
UI_LOADINGSCREEN,"Loading, please wait...",加载中，请稍等...
UI_OPTION_TITLE,Options,选项
UI_OPTION_MUSIC,Music,音乐
UI_OPTION_SOUND,Sound,音效
UI_OPTION_TEXQUALITY,Textures,画面质量
UI_OPTION_TEXTOON,Cartoon,卡通风格
UI_OPTION_TEXHIGH,High,高
UI_OPTION_TEXMID,Medium,中
UI_OPTION_TEXLOW,Low,低
UI_OPTION_WEATHER,Weather,天气效果
UI_OPTION_LANGUAGE,Language,语言
UI_OPTION_SAVE,Save,保存
UI_NAVIGATOR_PLAYER,Player,玩家
UI_NAVIGATOR_PARTY,Party,单幕剧团
UI_NAVIGATOR_NPC,NPC,NPC
UI_NAVIGATOR_MONSTER,Monster,怪物
UI_PRIVACY_NOTICE,Privacy Policy,隐私政策
UI_MSGBOX_ACCEPT,Accept,接受
UI_MSGBOX_DECLINE,Decline,降低
UI_MSGBOX_CLOSE,Close,关闭
UI_OPTION_SHADOWS,Shadows,阴影质量
UI_OPTION_SHADOWS_MAXDIST,Maximum Distance,最远距离
UI_OPTION_SHADOWS_MAXQUALITY,Maximum Quality,最高
UI_OPTION_FULLSCREEN,Fullscreen,全屏
UI_MOTION_TAB_MOT,Emotes,动作
UI_MOTION_TAB_EMO,Emoticons,表情符号
UI_REVIVAL_TITLE,Resurrection,复活
