Key,English,French
LANGUAGE_CODE,EN,FR
UI_HOME_TITLE,Home,Accueil
UI_HOME_GUESTCHAR,Guest Character,Personnage invité
UI_HOME_NEWCHAR,New Character,Nouveau personnage
UI_HOME_NEWCHAR_TIP,Create a new character without an account,Créer un nouveau personnage sans compte.
UI_HOME_LOGIN,Sign In,Connexion
UI_HOME_REGISTER,Sign Up,S'enregistrer
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.","Saisissez l'identifiant et le mot de passe, puis appuyez sur OK pour vous connecter au jeu."
UI_HOME_ALREADYACCOUNT,Already have an account?,Vous avez déjà un compte ?
UI_HOME_WEBSITE,Website,Site Web
UI_HOME_CREDITS,Credits,Crédits
UI_HOME_OR,Or,Ou
UI_HOME_LOGIN_DOTS,Email:,E-mail :
UI_HOME_PASSWORD,Password:,Mot de passe :
UI_HOME_RECOVER,Forgot password?,Identifiants oubliés ?
UI_SELECTSERVER_TITLE,Select Server,Choix du serveur
UI_SELECTSERVER_BACK,Back,Retour
UI_SELECTSERVER_NEXT,Next,Suivant
UI_SELECTSERVER_FULL,full,plein
UI_SELECTSERVER_BUSY,busy,occupé
UI_SELECTSERVER_BEST,best,meilleur
UI_SELECTSERVER_NEWNAME,Please enter another name:,Choisissez un autre nom :
UI_SELECTSERVER_NAMETITLE,Character Name,Nom du personnage
UI_CHARLIST_TITLE,Characters,Personnages
UI_CHARLIST_PLAY,Play,Jouer
UI_CHARLIST_NEW,New,Nouveau
UI_CHARLIST_DELETE,Delete,Supprimer
UI_DELETECHAR_TITLE,Delete Character,Suppression du personnage
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,Mot de passe pour supprimer le personnage\nEntrer le mot de passe
UI_DELETECHAR_NOPASS,Confirm Deletion?,Confirmez-vous ce choix ?
UI_DELETECHAR_NOTICE,"If you delete this character, its name cannot be used again for one week.","Si vous supprimez un personnage, vous ne pouvez pas utiliser son nom pendant une semaine."
UI_NEWCHAR_NAME,Name:,Nom
UI_NEWCHAR_GIRL,Girl,Fille
UI_NEWCHAR_BOY,Boy,Garçon
UI_MSGBOX_START,Start,Lancer
UI_MSGBOX_OK,Ok,Ok
UI_MSGBOX_RETRY,Retry,Réessayer
UI_MSGBOX_CANCEL,Cancel,Annuler
UI_MSGBOX_YES,Yes,Oui
UI_MSGBOX_NO,No,Non
UI_LOADINGSCREEN,"Loading, please wait...","Chargement, veuillez patienter..."
UI_OPTION_TITLE,Options,Options
UI_OPTION_MUSIC,Music,Musique
UI_OPTION_SOUND,Sound,Son
UI_OPTION_TEXQUALITY,Textures,Textures
UI_OPTION_TEXTOON,Cartoon,Dessin animé
UI_OPTION_TEXHIGH,High,Élevé
UI_OPTION_TEXMID,Medium,Medium
UI_OPTION_TEXLOW,Low,Faible
UI_OPTION_WEATHER,Weather,Météo
UI_OPTION_LANGUAGE,Language,Langue
UI_OPTION_SAVE,Save,Enregistrer
UI_NAVIGATOR_PLAYER,Player,Joueur
UI_NAVIGATOR_PARTY,Party,Groupe
UI_NAVIGATOR_NPC,NPC,PNJ
UI_NAVIGATOR_MONSTER,Monster,Monstre
UI_PRIVACY_NOTICE,Privacy Policy,Politique de confidentialité
UI_MSGBOX_ACCEPT,Accept,Accepter
UI_MSGBOX_DECLINE,Decline,Refuser
UI_MSGBOX_CLOSE,Close,Fermer
UI_OPTION_SHADOWS,Shadows,Ombres
UI_OPTION_SHADOWS_MAXDIST,Maximum Distance,Distance maximum
UI_OPTION_SHADOWS_MAXQUALITY,Maximum Quality,Qualité maximum
UI_OPTION_FULLSCREEN,Fullscreen,Plein écran
UI_MOTION_TAB_MOT,Emotes,Émotions
UI_MOTION_TAB_EMO,Emoticons,Emôticones
UI_REVIVAL_TITLE,Resurrection,Résurrection
UI_REVIVAL_LODESTAR,Lodestar,Cristal de Vie
UI_REVIVAL_LODESTAR_TIP,Revive at the nearest town,Revivre au Cristal de Vie
UI_REVIVAL_LODELIGHT,Lodelight,Havre de Vie
UI_REVIVAL_LODELIGHT_TIP,Revive at your chosen Lodelight,Revivre au Havre de Vie
UI_CHARINFO_BASE,Base,Infos
UI_CHARINFO_NAME,Name,Nom
UI_CHARINFO_LOGIN,Login,Identifiant
UI_CHARINFO_JOB,Job,Classe
UI_CHARINFO_LEVEL,Level,Niveau
UI_CHARINFO_SERVER,Server,Serveur
UI_CHARINFO_CHANNEL,Channel,Canal
UI_CHARINFO_DETAIL,Detail,Détail
UI_CHARINFO_STR,STR,FOR
UI_CHARINFO_STA,STA,END
UI_CHARINFO_DEX,DEX,DEX
UI_CHARINFO_INT,INT,INT
UI_CHARINFO_STATPOINTS,Stat Points,GP
UI_CHARINFO_APPLY,Confirm,Appliquer
UI_CHARINFO_RESET,Revert,R. A. Z.
UI_CHARINFO_CHANGESTATE,Change State,Améliorer les statistiques
UI_CHARINFO_CURRENTPAGE,Current Stat Page: %d,Page de Stats actuelle : %d
UI_CHARINFO_CHANGEPAGE_TITLE,Switch Stat Page,Changement de Page de Stats
UI_CHARINFO_APPLY_TOOLTIP,Confirm stat allocation,Validation des nouvelles statistiques
UI_CHARINFO_RESET_TOOLTIP,Revert allocation and return to previous stats,Retour aux statistiques actuelles
UI_CHARINFO_CHANGEPAGE_TOOLTIP,Switch to a different stat page,Changer de Page de Stats.
UI_CHARINFO_PLUSMINUS_TOOLTIP,"After allocating your stat points, press Confirm.",Appuyez sur Appliquer après avoir modifié vos points de statistiques.
UI_CHARINFO_STR_TOOLTIP,Increases the weapon's Attack Power (#cffb40000except wands and bows#nc).,Renforce la puissance d'attaque de l'arme (#cffb40000Sauf pour les baguettes#nc)
