Key,English,Thai
TUTORIAL_INTRO,"Hello there, I am #b#cffa0a0ffInfo Pang#nc#nb!\n\nI am your guide to survive in #bMadrigal#nb and I have a lot of useful information.\n\nAre you ready to #blearn the lessons#nb needed to survive in this world?\n\nYou can also check the information that you've learned by using my menu.",สวัสดี ฉัน #b#cffa0a0ffInfo Pang#nc#nb!\n\nฉันเป็นผู้นำทางการเอาตัวรอดใน #bMadrigal#nb และฉันมีข้อมูลที่เป็นประโยชน์มากมาย\n\nคุณพร้อมหรือยังที่จะ #bเรียนรู้ บทเรียน #nb ที่จำเป็นต่อการอยู่รอดในโลกนี้ \n\nคุณยังสามารถตรวจสอบข้อมูลที่คุณได้เรียนรู้โดยใช้เมนูของฉัน 
TUTORIAL_MOVE_PLAYER_TEXT,"Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]","Let's dive into character movement.\n\n[[You can move your character by using either the Keyboard or the Mouse. Left click with your mouse |#bTap where you want to go#nb]] on the screen, and your character will head there as long as there are no obstacles.[[|\n\nAlternatively, use the #bdirectional pad#nb at the bottom left of the screen.]]\n\n#cffff0000Clearing requirement: Move the character[[ (Mouse)|]]"
TUTORIAL_MOVE_PLAYER_TITLE,Moving Method,การเคลื่อนที่
TUTORIAL_MOVE_PLAYER_CONTENT,"#b#cff0000ff■ Move[[ using mouse|]]#nb#nc\n[[Click left-mouse on|Touch on the screen]] the spot you want to move.[[\n\n#b#cff0000ff■ Move using keyboard#nb#nc\nYou can move your character by pressing keys below.\nForward : W\nBackward : S\nLeftward : A\nRightward : D\n\n#b#cff0000ff■ Walking#nb#nc\nPress X. If you want to run again, then press X again.|]]\n\n#b#cff0000ff■ Jumping#nb#nc\n[[Press SPACE BAR|Long press on the screen]] when you want to jump.",#b#cff0000ff■ เคลื่อนที่[[ ใช้เมาส์|]]#nb#nc\n[[คลิกเมาส์ซ้าย|สัมผัสบนหน้าจอ]] จุดที่คุณต้องการเคลื่อนที่[[\n\n#b#cff0000ff■ ย้ายโดยใช้แป้นพิมพ์#nb#nc\nคุณสามารถย้ายตัวละครของคุณได้โดยกดปุ่มด้านล่าง\nไปข้างหน้า : W\nย้อนหลัง : S\nซ้าย : A\nขวา : D\n\n#b#cff0000ff■ เดิน#nb#nc\nกด X หากต้องการวิ่งอีกครั้ง ให้กด X อีกครั้ง|]]\n\n#b#cff0000ff■ กระโดด#nb#nc\n[[กด SPACE BAR | กดบนหน้าจอค้างไว้]] เมื่อคุณต้องการกระโดด
TUTORIAL_MOVE_PLAYER_KEYBOARD_TEXT,"Character movement by Keyboard is as follows.\n\nForward : W\nBackward : S\nTurn Left : A\nTurn Right : D\n\nEasy, huh? Move your character now.\n\n#cffff0000Clear Condition: Move the character(Keyboard)",การเคลื่อนที่ของตัวละครด้วย Keyboard มีดังนี้\n\nข้างหน้า : W\nข้างหลัง : S\nเลี้ยวซ้าย : A\nเลี้ยวขวา : D\n\nง่ายไหมละ? เคลื่อนที่ตัวละครของคุณตอนนี้เลย\n\n#cffff0000เงื่อนไขที่ชัดเจน: เคลื่อนที่ตัวละคร (แป้นพิมพ์)
TUTORIAL_WALK_PLAYER_TEXT,"Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]","Great job!\n\nBy default, your character runs.\n\n[[Press 'X' if you want to walk. If you want to run, just press 'X' again.\n\n#cffff0000Clearing requirement: Hot Key 'X'|Simply tap the #b'Walk' button#nb at the top of the screen to toggle between walking and running.]]"
TUTORIAL_JUMP_PLAYER_TEXT,"Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]","Next up: jumping! To jump, \n\n[[Press the space bar. If you want to jump while moving then press the space bar while moving|either long press anywhere on the screen or tap the #b'Jump' button#nb located at the bottom right of the screen]].\n\n#cffff0000Clearing requirement: Jump[[ (Space Bar)|]]"
TUTORIAL_ROTATE_CAMERA_TEXT,Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]],Let’s explore camera control:\n\n[[The camera is handled with the Mouse and Keyboard. Let's go with the Mouse first.\n\nMove the Mouse pointer to where you want to see while holding down right click|#bSwipe your finger#nb across the screen]] to rotate the camera.\n\n#cffff0000Clearing requirement: Rotate the Camera[[ (Mouse)|]]
TUTORIAL_ROTATE_CAMERA_TITLE,Camera Manage Method,การจัดการกับมุมกล้อง
TUTORIAL_ROTATE_CAMERA_CONTENT,"#b#cff0000ff■ Change view[[ with mouse|]]#nb#nc\nYou can view any direction just by [[rotating your mouse while pressing on the right button of the mouse|sliding your finger on the screen]].[[\n\n#b#cff0000ff■ Change view with keyboard#nb#nc\nYou can change view by pressing keys below.\nUp : ↑\nDown : ↓\nLeft : ←\nRight : →|]]\n\n#b#cff0000ff■ For zoom in and out#nb#nc\n[[you can use mouse wheel. Also Page Up, Page Down keys can be used for change view step by step|pinch the screen and spread or bring your fingers together]].","#b#cff0000ff■ เปลี่ยนมุมมอง[[ ด้วยเมาส์|]]#nb#nc\nคุณสามารถดูทิศทางใดก็ได้โดย [[หมุนเมาส์ของคุณในขณะที่คลิ๊กขวาบนเมาส์|เลื่อนนิ้วของคุณบนหน้าจอ]][[\n\n#b#cff0000ff■ เปลี่ยนมุมมองด้วยแป้นพิมพ์#nb#nc\nคุณสามารถเปลี่ยนมุมมองได้โดยกดปุ่มด้านล่าง\nขึ้น : ↑\nลง : ↓\nซ้าย : ←\nขวา : →|]]\n\n#b#cff0000ff■ สำหรับการซูมเข้าและออก#nb#nc\n[[คุณสามารถใช้ล้อเลื่อนของเมาส์ได้ นอกจากนี้ ปุ่ม Page Up, Page Down สามารถใช"
TUTORIAL_ROTATE_CAMERA_KEYBOARD_TEXT,"Let's go through how the camera works with the Keyboard. Here are the keys to press to rotate the camera:\n\nUp: Up Arrow #b↑#nb\nDown: Down Arrow #b↓#nb\nLeft: Left Arrow #b←#nb\nRight: Right Arrow #b→#nb\n\nPretty easy, huh?\n\n#cffff0000Clear Condition: Press an Arrow Key #b↑↓←→#nb",มาดูกันว่ากล้องทำงานอย่างไรกับคีย์บอร์ดกันนี่คือวิธีการทำงานของกล้องกับคีย์บอร์ด\n\nขึ้น : <ลูกศรขึ้น>#b↑#nb\nลง : <ลูกศรลง> #b↓#nb\nซ้าย : <ลูกศรซ้าย>#b←#nb\nขวา : <ลูกศรขวา> #b→#nb\n\nง่ายใช่ไหม? \n\n#cffff0000ล้างเงื่อนไข: กดลูกศร  #b↑↓←→#nb
TUTORIAL_ZOOM_CAMERA_TEXT,"How's that? Simple, right? Now, let's tackle zooming.\n\n[[Zooming in and out is possible with the Mouse wheel. It is also possible with the Page Up and Page Down Keys|Pinch to #bzoom out#nb and spread your fingers to #bzoom in#nb]].\n\n#cffff0000Clearing requirement: Adjust the camera zoom","How's that? Simple, right? Now, let's tackle zooming.\n\n[[Zooming in and out is possible with the Mouse wheel. It is also possible with the Page Up and Page Down Keys|Pinch to #bzoom out#nb and spread your fingers to #bzoom in#nb]].\n\n#cffff0000Clearing requirement: Adjust the camera zoom"
TUTORIAL_ROTATE_PHONE_TITLE,Viewing,Viewing
TUTORIAL_ROTATE_PHONE_CONTENT,[[|#b#cff0000ff■ Portrait and landscape #nb#nc\nRotate your phone to switch between portrait and landscape mode. ]],[[|#b#cff0000ff■ Portrait and landscape #nb#nc\nRotate your phone to switch between portrait and landscape mode. ]]
TUTORIAL_ROTATE_PHONE_TEXT,Awesome!\n\n[[|You can also #brotate#nb your phone to switch between portrait and landscape mode.]],Awesome!\n\n[[|You can also #brotate#nb your phone to switch between portrait and landscape mode.]]
TUTORIAL_OPEN_MENU_TEXT,"Great! [[It's time to learn how to change settings to enjoy the game the best as possible.\n\nSettings are available from the main game menu.\n\nClick on the #bbutton on bottom left#nb of the screen to open the main menu|Next, let's open the #bmain menu#nb.\n\nJust tap the button at the bottom left of the screen]].\n\n#cffff0000Clearing requirement: Open the main menu","Great! [[It's time to learn how to change settings to enjoy the game the best as possible.\n\nSettings are available from the main game menu.\n\nClick on the #bbutton on bottom left#nb of the screen to open the main menu|Next, let's open the #bmain menu#nb.\n\nJust tap the button at the bottom left of the screen]].\n\n#cffff0000Clearing requirement: Open the main menu"
TUTORIAL_OPEN_OPTION_TEXT,"Now [[click on|tap]] #bOption#nb to access the settings.\n\nHere, you can adjust the #btexture quality, shadows, music volume, language, and more#nb.\n\nOnce finished, hit the #b'Save'#nb button to apply your changes.\n\n#cffff0000Clearing requirement: Open the options window","Now [[click on|tap]] #bOption#nb to access the settings.\n\nHere, you can adjust the #btexture quality, shadows, music volume, language, and more#nb.\n\nOnce finished, hit the #b'Save'#nb button to apply your changes.\n\n#cffff0000Clearing requirement: Open the options window"
TUTORIAL_OPEN_OPTION_TITLE,Settings,ตั้งค่า
TUTORIAL_OPEN_OPTION_CONTENT,"#b#cff0000ff■ Video / Audio tab#nb#nc\nYou can configure texture quality, shadows quality and many other graphical options. Use Save button or your changes will be reset when you close the window. Texture quality and Antialiasing are only applied when saving changes. Antialiasing[[|, Vibrations]] and Fullscreen options are not supported on all devices. All advanced options and high quality settings will consume more energy and Internet bandwidth so consider disabling them if you have a limited Internet connection or experiencing a slow framerate.\n\n#b#cff0000ff■ Game tab#nb#nc\nYou can select the interface language and enable or disable some options relative to your character. Don't forget to save your changes.","#b#cff0000ff■ วิดีโอ / เสียง แท็ป#nb#nc\nคุณสามารถกำหนดค่าคุณภาพพื้นผิว คุณภาพเงา และตัวเลือกกราฟิกอื่นๆได้ อย่าลืมใช้กดปุ่มบันทึกมิฉะนั้นการเปลี่ยนแปลงของคุณจะถูกรีเซ็ตเมื่อคุณปิดหน้าต่าง คุณภาพพื้นผิวและความคมชัดจะใช้เมื่อบันทึกการเปลี่ยนแปลงเท่านั้น ความคมชัด[[|, การสั่นสะเทือน]] และโหมดFullscreen บางอุปกรณ์อาจไม่รองรับระบบเต็มหน้าจอ ตัวเลือกขั้นสูงและการตั้งค่าคุณภาพสูงทั้งหมดจะใช้พลังงานและbandwidthอินเทอร์เน็ตมากขึ้น ดังนั้นให้พิจารณาปิดการใช้งานหากคุณมีการเชื่อมต่ออินเทอร์เน็ตที่จำกัดหรือประสบกับปัญหาอัตราเฟรมเรทที่ช้า\n\n#b#cff0000ff■ แท็บเกม#nb#nc\nคุณสามารถเลือกภาษาและเปิดหรือปิดตัวเลือกบางอย่างที่สัมพันธ์กับตัวละครของคุณ อย่าลืมบันทึกการเปลี่ยนแปลงของคุณด้วยล่ะ"
TUTORIAL_OPEN_MAP_TEXT,"Your adventure takes place in #bMadrigal#nb.\n\n[[Press M key|Tap the #bmini-map#nb]] to check your current location or to view maps of other areas.\n\nTo return to the game, [[press M again|tap the cross button at the top right of the map]].\n\n#cffff0000Clearing requirement: [[Hot Key 'M'|Open the map]]","Your adventure takes place in #bMadrigal#nb.\n\n[[Press M key|Tap the #bmini-map#nb]] to check your current location or to view maps of other areas.\n\nTo return to the game, [[press M again|tap the cross button at the top right of the map]].\n\n#cffff0000Clearing requirement: [[Hot Key 'M'|Open the map]]"
TUTORIAL_OPEN_MAP_TITLE,Map,แผนที่
TUTORIAL_OPEN_MAP_CONTENT,"#b#cff0000ff■ Whole map#nb#nc\n[[Press M key|Touch World Map in main menu]] to see the continent of Madrigal.\n\n#b#cff0000ff■ Mini-Map#nb#nc\n[[Press N key|Touch cross button]] to hide navigator on right corner. If you want to see it again, [[press N key again|touch Navigator in main menu]].",#b#cff0000ff■ แผนที่ Whole map #nb#nc\n[[กดปุ่ม M|แตะ World Map ในเมนูหลัก]] เพื่อดูทวีป Madrigal\n\n#b#cff0000ff■ แผนที่Mini-Map#nb#nc\n[[กดปุ่ม N|แต่ปุ่มข้าม]] เพื่อซ่อนตัวนำทาง Navigator ที่มุมขวา หากต้องการดูอีกครั้ง [[กดปุ่ม N อีกครั้ง|แตะ ตัวนำทาง Navigatorในเมนูหลัก]]
TUTORIAL_OPEN_NAVIGATOR_TEXT,Let's go through the Navigator.\nYou can check your location and the surrounding area with the navigator that’s in the upper right part of the screen.\n[[Activate and deactivate the Navigator by pressing 'N'|Use Navigator in main menu to toggle the mini-map]].\n\n#cffff0000Clear Condition: [[Hot Key 'N'|Open the navigator]],ไปต่อกันที่ตัวนำทาง Navigator กันเถอะ\nคุณสามารถตรวจสอบตำแหน่งของคุณและบริเวณโดยรอบได้ด้วยตัวนำทาง Navigator ที่อยู่ด้านบนขวาของหน้าจอ\n[[เปิดใช้งานและปิดใช้งานตัวนำทาง Navigator โดยกด 'N'|ใช้ตัวนำทางในเมนูหลักเพื่อสลับแผนที่ Mini-map]].\n\n#cffff0000เงื่อนไขการเคลียร์: [[Hot Key 'N'|เปิดตัวนำทาง navigator]]
TUTORIAL_TALK_LUI_TEXT,Navigating #bMadrigal#nb just got easier!\n\nGo talk to #b#cffa0a0ff[General] Lui#nc#nb in Central Flarine by following the #barrow above your head#nb.\n\nHe seems to have important information for you. Best of luck!,Navigating #bMadrigal#nb just got easier!\n\nGo talk to #b#cffa0a0ff[General] Lui#nc#nb in Central Flarine by following the #barrow above your head#nb.\n\nHe seems to have important information for you. Best of luck!
TUTORIAL_START_QUEST_TEXT,"Congratulations on your first quest! Time to explore the #bQuest Diary#nb.\n\nThis diary keeps track of completed quests and those you're currently on.\n\nTo view deatils, [[press 'Q'|tap the #b'Quests'#nb button at the top of the screen]].\n\n#cffff0000Clearing requirement: [[Hot Key 'Q'|Open the Quest Diary]]","Congratulations on your first quest! Time to explore the #bQuest Diary#nb.\n\nThis diary keeps track of completed quests and those you're currently on.\n\nTo view deatils, [[press 'Q'|tap the #b'Quests'#nb button at the top of the screen]].\n\n#cffff0000Clearing requirement: [[Hot Key 'Q'|Open the Quest Diary]]"
TUTORIAL_START_QUEST_TITLE,Quest Window,หน้าต่างเควส
TUTORIAL_START_QUEST_CONTENT,#b#cff0000ff■ Quest Window#nb#nc\nThis is where you can see current quest information and the completed quests.[[\nShortcut key is L.|]],#b#cff0000ff■ Quest Window#nb#nc\nที่นี่คุณสามารถดูข้อมูลเควส (ภารกิจ)ปัจจุบันและเควส (ภารกิจ)ที่เสร็จสิ้นแล้ว[[\nปุ่มลัดคือ L|]]
TUTORIAL_MOTION_TEXT,Looking to express yourself?\n\n[[Press 'O'|Tap the Emotes button on the left]] to unveil a range of #bemoticons and expressions#nb. Give it a go.\n\n#cffff0000Clearing requirement: [[Press 'O'|Open the Emotes window]],Looking to express yourself?\n\n[[Press 'O'|Tap the Emotes button on the left]] to unveil a range of #bemoticons and expressions#nb. Give it a go.\n\n#cffff0000Clearing requirement: [[Press 'O'|Open the Emotes window]]
TUTORIAL_MOTION_TITLE,Emotion Expression,อิโมชั่นแสดงอารมณ์
TUTORIAL_MOTION_CONTENT,"#b#cff0000ff■ Emotion Expression#nb#nc\nYou can use this to express your emotion to other players. There are many emoticons and icons for expression various emotions, so you should try to use it.[[\nShortcut key is O.|]]",#b#cff0000ff■ Emotion Expression#nb#nc\nคุณสามารถใช้เพื่อแสดงความรู้สึกของคุณกับผู้เล่นคนอื่นได้ มีอีโมชั่นและไอคอนมากมายสำหรับแสดงอารมณ์ต่างๆ ลองใช้ดูสิ[[\nปุ่มลัดคือ O |]]
TUTORIAL_CHAT_TEXT,Ready to chat with others?\n\n[[Press ENTER|You can tap the #bChat#nb preview at the bottom]] to open the chat window.\n\nMessage in Normal chat are visible to nearby players.,Ready to chat with others?\n\n[[Press ENTER|You can tap the #bChat#nb preview at the bottom]] to open the chat window.\n\nMessage in Normal chat are visible to nearby players.
TUTORIAL_CHAT_TITLE,Chat Method,ช่องแชท
